# Mon Jun 10 17:47:47 2019
abstime,time_stamp,volt,curr,pf,mul
1560214067183,0.079,122.1,0.00422,0.381,0.196314822
1560214067230,0.126,122.1,0.00422,0.381,0.196314822
1560214067276,0.173,122.1,0.00422,0.381,0.196314822
1560214067330,0.226,122.1,0.00426,0.377,0.196095042
1560214067376,0.272,122.1,0.00426,0.377,0.196095042
1560214067422,0.318,122.1,0.00426,0.377,0.196095042
1560214067468,0.364,122.1,0.00426,0.377,0.196095042
1560214067529,0.425,122.1,0.00428,0.375,0.1959705
1560214067575,0.471,122.1,0.00428,0.375,0.1959705
1560214067621,0.517,122.1,0.00428,0.375,0.1959705
1560214067667,0.563,122.1,0.00428,0.375,0.1959705
1560214067729,0.625,122.1,0.00428,0.379,0.198060852
1560214067775,0.671,122.1,0.00428,0.379,0.198060852
1560214067821,0.717,122.1,0.00428,0.379,0.198060852
1560214067868,0.764,122.1,0.00428,0.379,0.198060852
1560214067930,0.826,122.1,0.00422,0.381,0.196314822
1560214067976,0.872,122.1,0.00422,0.381,0.196314822
1560214068023,0.919,122.1,0.00422,0.381,0.196314822
1560214068069,0.965,122.1,0.00422,0.381,0.196314822
1560214068130,1.026,122.1,0.00423,0.38,0.19626354
1560214068176,1.072,122.1,0.00423,0.38,0.19626354
1560214068222,1.118,122.1,0.00423,0.38,0.19626354
1560214068268,1.164,122.1,0.00423,0.38,0.19626354
1560214068329,1.225,122.1,0.00421,0.383,0.196877703
1560214068375,1.271,122.1,0.00421,0.383,0.196877703
1560214068421,1.317,122.1,0.00421,0.383,0.196877703
1560214068467,1.363,122.1,0.00421,0.383,0.196877703
1560214068529,1.425,122.1,0.00429,0.379,0.198523611
1560214068576,1.472,122.1,0.00429,0.379,0.198523611
1560214068622,1.518,122.1,0.00429,0.379,0.198523611
1560214068668,1.564,122.1,0.00429,0.379,0.198523611
1560214068730,1.626,122.1,0.00428,0.38,0.19858344
1560214068776,1.672,122.1,0.00428,0.38,0.19858344
1560214068822,1.718,122.1,0.00428,0.38,0.19858344
1560214068869,1.765,122.1,0.00428,0.38,0.19858344
1560214068930,1.826,122.1,0.00426,0.381,0.198175626
1560214068976,1.872,122.1,0.00426,0.381,0.198175626
1560214069022,1.918,122.1,0.00426,0.381,0.198175626
1560214069068,1.964,122.1,0.00426,0.381,0.198175626
1560214069129,2.025,122.2,0.00426,0.376,0.195735072
1560214069175,2.071,122.2,0.00426,0.376,0.195735072
1560214069221,2.117,122.2,0.00426,0.376,0.195735072
1560214069267,2.163,122.2,0.00426,0.376,0.195735072
1560214069329,2.225,122.1,0.00423,0.38,0.19626354
1560214069375,2.271,122.1,0.00423,0.38,0.19626354
1560214069421,2.317,122.1,0.00423,0.38,0.19626354
1560214069467,2.363,122.1,0.00423,0.38,0.19626354
1560214069529,2.425,122.1,0.00429,0.377,0.197475993
1560214069576,2.472,122.1,0.00429,0.377,0.197475993
1560214069622,2.518,122.1,0.00429,0.377,0.197475993
1560214069668,2.564,122.1,0.00429,0.377,0.197475993
1560214069729,2.625,122.1,0.0043,0.374,0.19636122
1560214069775,2.671,122.1,0.0043,0.374,0.19636122
