# Mon May 06 20:11:31 2019
abstime,time_stamp,volt,curr,pf,mul
1557198691312,0.08,122.3,0.00111,0.37,0.05022861
1557198691360,0.128,122.3,0.00111,0.37,0.05022861
1557198691406,0.174,122.3,0.00111,0.37,0.05022861
1557198691452,0.22,122.3,0.00111,0.37,0.05022861
1557198691497,0.265,122.2,0.00107,0.375,0.04903275
1557198691543,0.311,122.2,0.00107,0.375,0.04903275
1557198691589,0.357,122.2,0.00107,0.375,0.04903275
1557198691634,0.402,122.2,0.00107,0.375,0.04903275
1557198691695,0.463,122.2,0.00111,0.364,0.049373688
1557198691741,0.509,122.2,0.00111,0.364,0.049373688
1557198691786,0.554,122.2,0.00111,0.364,0.049373688
1557198691832,0.6,122.2,0.00111,0.364,0.049373688
1557198691894,0.662,122.2,0.00108,0.373,0.049227048
1557198691940,0.708,122.2,0.00108,0.373,0.049227048
1557198691986,0.754,122.2,0.00108,0.373,0.049227048
1557198692032,0.8,122.2,0.00108,0.373,0.049227048
1557198692095,0.863,122.2,0.00108,0.369,0.048699144
1557198692141,0.909,122.2,0.00108,0.369,0.048699144
1557198692187,0.955,122.2,0.00108,0.369,0.048699144
1557198692233,1.001,122.2,0.00108,0.369,0.048699144
1557198692294,1.062,122.2,0.00107,0.372,0.048640488
1557198692340,1.108,122.2,0.00107,0.372,0.048640488
1557198692386,1.154,122.2,0.00107,0.372,0.048640488
1557198692432,1.2,122.2,0.00107,0.372,0.048640488
1557198692495,1.263,122.2,0.00108,0.372,0.049095072
1557198692541,1.309,122.2,0.00108,0.372,0.049095072
1557198692587,1.355,122.2,0.00108,0.372,0.049095072
1557198692633,1.401,122.2,0.00108,0.372,0.049095072
1557198692694,1.462,122.1,0.00111,0.364,0.049333284
1557198692740,1.508,122.1,0.00111,0.364,0.049333284
1557198692786,1.554,122.1,0.00111,0.364,0.049333284
1557198692832,1.6,122.1,0.00111,0.364,0.049333284
1557198692894,1.662,122.2,0.00115,0.377,0.05297981
1557198692940,1.708,122.2,0.00115,0.377,0.05297981
1557198692987,1.755,122.2,0.00115,0.377,0.05297981
1557198693032,1.8,122.2,0.00115,0.377,0.05297981
1557198693095,1.863,122.2,0.00111,0.373,0.050594466
1557198693141,1.909,122.2,0.00111,0.373,0.050594466
1557198693187,1.955,122.2,0.00111,0.373,0.050594466
1557198693233,2.001,122.2,0.00111,0.373,0.050594466
1557198693294,2.062,122.2,0.00108,0.376,0.049622976
1557198693340,2.108,122.2,0.00108,0.376,0.049622976
1557198693386,2.154,122.2,0.00108,0.376,0.049622976
1557198693433,2.201,122.2,0.00108,0.376,0.049622976
1557198693495,2.263,122.2,0.00108,0.374,0.049359024
1557198693541,2.309,122.2,0.00108,0.374,0.049359024
1557198693587,2.355,122.2,0.00108,0.374,0.049359024
