# Mon May 06 20:12:08 2019
abstime,time_stamp,volt,curr,pf,mul
1557198728210,0.081,122.2,0.00408,0.391,0.194943216
1557198728257,0.129,122.2,0.00408,0.391,0.194943216
1557198728304,0.175,122.2,0.00404,0.396,0.195500448
1557198728349,0.22,122.2,0.00404,0.396,0.195500448
1557198728395,0.266,122.2,0.00404,0.396,0.195500448
1557198728440,0.311,122.2,0.00404,0.396,0.195500448
1557198728490,0.361,122.3,0.00407,0.391,0.194624551
1557198728536,0.407,122.3,0.00407,0.391,0.194624551
1557198728582,0.453,122.3,0.00407,0.391,0.194624551
1557198728627,0.498,122.3,0.00407,0.391,0.194624551
1557198728691,0.562,122.3,0.00407,0.393,0.195620073
1557198728737,0.608,122.3,0.00407,0.393,0.195620073
1557198728783,0.654,122.3,0.00407,0.393,0.195620073
1557198728829,0.7,122.3,0.00407,0.393,0.195620073
1557198728890,0.761,122.2,0.00402,0.392,0.192567648
1557198728936,0.807,122.2,0.00402,0.392,0.192567648
1557198728982,0.853,122.2,0.00402,0.392,0.192567648
1557198729028,0.899,122.2,0.00402,0.392,0.192567648
1557198729090,0.961,122.2,0.00413,0.39,0.19682754
1557198729136,1.007,122.2,0.00413,0.39,0.19682754
1557198729182,1.053,122.2,0.00413,0.39,0.19682754
1557198729229,1.1,122.2,0.00413,0.39,0.19682754
1557198729290,1.161,122.3,0.00409,0.393,0.196581351
1557198729336,1.207,122.3,0.00409,0.393,0.196581351
1557198729382,1.253,122.3,0.00409,0.393,0.196581351
1557198729428,1.299,122.3,0.00409,0.393,0.196581351
1557198729490,1.361,122.3,0.00406,0.392,0.194642896
1557198729537,1.408,122.3,0.00406,0.392,0.194642896
1557198729583,1.454,122.3,0.00406,0.392,0.194642896
1557198729629,1.5,122.3,0.00406,0.392,0.194642896
1557198729691,1.562,122.2,0.00402,0.392,0.192567648
1557198729737,1.608,122.2,0.00402,0.392,0.192567648
1557198729783,1.654,122.2,0.00402,0.392,0.192567648
1557198729830,1.701,122.2,0.00402,0.392,0.192567648
1557198729891,1.762,122.2,0.00405,0.39,0.1930149
1557198729937,1.808,122.2,0.00405,0.39,0.1930149
1557198729983,1.854,122.2,0.00405,0.39,0.1930149
