# Mon Jun 10 13:01:18 2019
abstime,time_stamp,volt,curr,pf,mul
1560196878764,0.079,121.2,0.05721,0.543,3.765081636
1560196878813,0.128,121.2,0.05721,0.543,3.765081636
1560196878859,0.174,121.2,0.05721,0.543,3.765081636
1560196878925,0.24,121.2,0.0578,0.546,3.82492656
1560196878971,0.286,121.2,0.0578,0.546,3.82492656
1560196879017,0.332,121.2,0.0578,0.546,3.82492656
1560196879062,0.377,121.2,0.0578,0.546,3.82492656
1560196879124,0.439,121.2,0.05823,0.549,3.874554324
1560196879170,0.485,121.2,0.05823,0.549,3.874554324
1560196879216,0.531,121.2,0.05823,0.549,3.874554324
1560196879262,0.577,121.2,0.05823,0.549,3.874554324
1560196879324,0.639,121.3,0.05871,0.55,3.91683765
1560196879370,0.685,121.3,0.05871,0.55,3.91683765
1560196879416,0.731,121.3,0.05871,0.55,3.91683765
1560196879462,0.777,121.3,0.05871,0.55,3.91683765
1560196879525,0.84,121.3,0.05769,0.548,3.834792756
1560196879571,0.886,121.3,0.05769,0.548,3.834792756
1560196879617,0.932,121.3,0.05769,0.548,3.834792756
1560196879663,0.978,121.3,0.05769,0.548,3.834792756
1560196879724,1.039,121.3,0.05685,0.547,3.772060035
1560196879770,1.085,121.3,0.05685,0.547,3.772060035
1560196879816,1.131,121.3,0.05685,0.547,3.772060035
1560196879862,1.177,121.3,0.05685,0.547,3.772060035
1560196879925,1.24,121.2,0.05867,0.549,3.903831396
1560196879971,1.286,121.2,0.05867,0.549,3.903831396
1560196880017,1.332,121.2,0.05867,0.549,3.903831396
1560196880063,1.378,121.2,0.05867,0.549,3.903831396
1560196880124,1.439,121.2,0.05745,0.544,3.78783936
1560196880170,1.485,121.2,0.05745,0.544,3.78783936
1560196880216,1.531,121.2,0.05745,0.544,3.78783936
1560196880262,1.578,121.2,0.05745,0.544,3.78783936
1560196880325,1.64,121.2,0.05708,0.542,3.749608032
1560196880371,1.686,121.2,0.05708,0.542,3.749608032
1560196880417,1.732,121.2,0.05708,0.542,3.749608032
1560196880463,1.778,121.2,0.05708,0.542,3.749608032
1560196880524,1.839,121.2,0.05155,0.529,3.30511794
1560196880570,1.885,121.2,0.05155,0.529,3.30511794
1560196880616,1.931,121.2,0.05155,0.529,3.30511794
1560196880662,1.977,121.2,0.05155,0.529,3.30511794
1560196880725,2.04,121.2,0.05159,0.528,3.301429824
1560196880771,2.086,121.2,0.05159,0.528,3.301429824
1560196880817,2.132,121.2,0.05159,0.528,3.301429824
1560196880863,2.179,121.2,0.05159,0.528,3.301429824
1560196880924,2.24,121.1,0.05177,0.525,3.291407175
1560196880971,2.286,121.1,0.05177,0.525,3.291407175
1560196881016,2.331,121.1,0.05177,0.525,3.291407175
1560196881062,2.378,121.1,0.05177,0.525,3.291407175
1560196881125,2.44,121.1,0.05148,0.528,3.291672384
1560196881171,2.486,121.1,0.05148,0.528,3.291672384
1560196881217,2.532,121.1,0.05148,0.528,3.291672384
1560196881263,2.578,121.1,0.05148,0.528,3.291672384
1560196881324,2.639,121.1,0.05126,0.53,3.29002058
1560196881370,2.685,121.1,0.05126,0.53,3.29002058
1560196881416,2.731,121.1,0.05126,0.53,3.29002058
1560196881462,2.777,121.1,0.05126,0.53,3.29002058
1560196881525,2.84,121.1,0.05115,0.531,3.289154715
1560196881571,2.886,121.1,0.05115,0.531,3.289154715
1560196881617,2.932,121.1,0.05115,0.531,3.289154715
1560196881663,2.978,121.1,0.05115,0.531,3.289154715
1560196881725,3.04,121.1,0.05115,0.531,3.289154715
1560196881771,3.086,121.1,0.05115,0.531,3.289154715
1560196881818,3.133,121.1,0.05115,0.531,3.289154715
1560196881864,3.179,121.1,0.05115,0.531,3.289154715
1560196881925,3.24,121.1,0.05137,0.529,3.290859803
