# Mon Jun 10 13:14:32 2019
abstime,time_stamp,volt,curr,pf,mul
1560197672520,0.08,121.3,0.05499,0.541,3.608625267
1560197672567,0.127,121.3,0.05499,0.541,3.608625267
1560197672613,0.173,121.3,0.05499,0.541,3.608625267
1560197672659,0.219,121.3,0.05894,0.556,3.975078632
1560197672705,0.265,121.3,0.05894,0.556,3.975078632
1560197672751,0.311,121.3,0.05894,0.556,3.975078632
1560197672797,0.357,121.3,0.05894,0.556,3.975078632
1560197672843,0.403,121.3,0.05841,0.553,3.918078549
1560197672889,0.449,121.3,0.05841,0.553,3.918078549
1560197672935,0.495,121.3,0.05841,0.553,3.918078549
1560197672981,0.541,121.3,0.05841,0.553,3.918078549
1560197673042,0.602,121.3,0.05833,0.556,3.933938524
1560197673088,0.648,121.3,0.05833,0.556,3.933938524
1560197673134,0.694,121.3,0.05833,0.556,3.933938524
1560197673181,0.741,121.3,0.05833,0.556,3.933938524
1560197673242,0.802,121.3,0.05851,0.555,3.938980965
1560197673288,0.848,121.3,0.05851,0.555,3.938980965
1560197673334,0.894,121.3,0.05851,0.555,3.938980965
1560197673380,0.94,121.3,0.05851,0.555,3.938980965
1560197673442,1.002,121.3,0.05885,0.555,3.961870275
1560197673488,1.048,121.3,0.05885,0.555,3.961870275
1560197673534,1.094,121.3,0.05885,0.555,3.961870275
1560197673580,1.14,121.3,0.05885,0.555,3.961870275
1560197673643,1.203,121.3,0.05339,0.539,3.490675573
1560197673689,1.249,121.3,0.05339,0.539,3.490675573
1560197673735,1.295,121.3,0.05339,0.539,3.490675573
1560197673781,1.341,121.3,0.05339,0.539,3.490675573
1560197673843,1.403,121.3,0.05068,0.534,3.282756456
1560197673889,1.449,121.3,0.05068,0.534,3.282756456
1560197673936,1.496,121.3,0.05068,0.534,3.282756456
1560197673982,1.542,121.3,0.05068,0.534,3.282756456
1560197674041,1.601,121.3,0.05054,0.535,3.27981857
1560197674088,1.648,121.3,0.05054,0.535,3.27981857
1560197674134,1.694,121.3,0.05054,0.535,3.27981857
1560197674180,1.74,121.3,0.05054,0.535,3.27981857
1560197674241,1.801,121.3,0.05085,0.532,3.28143186
1560197674287,1.847,121.3,0.05085,0.532,3.28143186
1560197674333,1.893,121.3,0.05085,0.532,3.28143186
1560197674380,1.94,121.3,0.05085,0.532,3.28143186
1560197674442,2.002,121.3,0.05215,0.535,3.384300325
1560197674488,2.048,121.3,0.05215,0.535,3.384300325
1560197674534,2.094,121.3,0.05215,0.535,3.384300325
1560197674580,2.14,121.3,0.05215,0.535,3.384300325
1560197674641,2.201,121.3,0.05209,0.537,3.393043629
1560197674687,2.247,121.3,0.05209,0.537,3.393043629
1560197674733,2.293,121.3,0.05209,0.537,3.393043629
1560197674780,2.34,121.3,0.05209,0.537,3.393043629
1560197674842,2.402,121.3,0.05087,0.532,3.282722492
1560197674888,2.448,121.3,0.05087,0.532,3.282722492
1560197674934,2.494,121.3,0.05087,0.532,3.282722492
1560197674980,2.541,121.3,0.05087,0.532,3.282722492
1560197675042,2.602,121.3,0.05075,0.533,3.281134675
1560197675088,2.648,121.3,0.05075,0.533,3.281134675
1560197675134,2.694,121.3,0.05075,0.533,3.281134675
1560197675180,2.74,121.3,0.05075,0.533,3.281134675
1560197675241,2.801,121.4,0.05069,0.533,3.279957278
1560197675287,2.847,121.4,0.05069,0.533,3.279957278
1560197675333,2.893,121.4,0.05069,0.533,3.279957278
1560197675379,2.939,121.4,0.05069,0.533,3.279957278
1560197675442,3.002,121.3,0.05068,0.533,3.276608972
1560197675488,3.048,121.3,0.05068,0.533,3.276608972
1560197675534,3.094,121.3,0.05068,0.533,3.276608972
1560197675580,3.14,121.3,0.05068,0.533,3.276608972
1560197675641,3.201,121.3,0.05062,0.534,3.278870004
1560197675687,3.247,121.3,0.05062,0.534,3.278870004
1560197675733,3.293,121.3,0.05062,0.534,3.278870004
1560197675779,3.339,121.3,0.05062,0.534,3.278870004
1560197675842,3.402,121.3,0.05058,0.534,3.276279036
1560197675888,3.448,121.3,0.05058,0.534,3.276279036
1560197675934,3.494,121.3,0.05058,0.534,3.276279036
1560197675980,3.54,121.3,0.05058,0.534,3.276279036
1560197676041,3.601,121.3,0.05072,0.534,3.285347424
1560197676087,3.647,121.3,0.05072,0.534,3.285347424
1560197676134,3.694,121.3,0.05072,0.534,3.285347424
1560197676180,3.74,121.3,0.05072,0.534,3.285347424
1560197676241,3.801,121.3,0.05098,0.53,3.27745322
1560197676287,3.847,121.3,0.05098,0.53,3.27745322
1560197676333,3.893,121.3,0.05098,0.53,3.27745322
1560197676379,3.939,121.3,0.05098,0.53,3.27745322
1560197676441,4.001,121.3,0.0509,0.53,3.2723101
1560197676488,4.048,121.3,0.0509,0.53,3.2723101
1560197676534,4.094,121.3,0.0509,0.53,3.2723101
1560197676580,4.14,121.3,0.0509,0.53,3.2723101
1560197676641,4.201,121.3,0.05094,0.531,3.281060682
1560197676687,4.247,121.3,0.05094,0.531,3.281060682
