phase, avg pwr, total energy, total time
idle,3.293648,16.484892,5.005056
turn_on,3.520698,0.642862,0.182595
turn_on_idle,3.303327,16.533344,5.005058
scan,3.325296,46.692322,14.041553
scan_idle,3.292013,16.476692,5.005050
connect,3.322903,17.341693,5.218838
connect_idle,3.318663,16.610090,5.005055
200,3.302692,16.530864,5.005270
500,3.302857,16.531743,5.005285
1000,3.302235,16.528461,5.005234
2000,3.304588,16.540318,5.005258
5000,3.304248,16.538620,5.005260
10000,3.308927,16.562032,5.005257
20000,3.425571,17.145983,5.005292
50000,3.397547,17.003330,5.004590
100000,3.367065,32.478167,9.645838
200000,3.368007,56.754309,16.851005
