phase, avg pwr, total energy, total time
idle,3.287042,16.451865,5.005066
turn_on,3.397663,0.585427,0.172303
turn_on_idle,3.295325,16.493310,5.005063
scan,3.310500,47.895538,14.467765
scan_idle,3.278581,16.409460,5.005050
connect,3.307758,18.169626,5.493033
connect_idle,3.304137,16.537385,5.005054
200,3.288441,16.459751,5.005335
500,3.290290,16.468981,5.005328
1000,3.289470,16.465216,5.005431
2000,3.290944,16.472230,5.005321
5000,3.290984,16.470560,5.004752
10000,3.293860,16.486621,5.005259
20000,3.302880,16.529185,5.004476
50000,3.313967,18.848463,5.687583
100000,3.343886,24.966924,7.466439
200000,3.325707,67.660410,20.344668
