# Tue Jun 04 16:39:30 2019
abstime,time_stamp,volt,curr,pf,mul
1559691570159,0.079,122.4,0.05775,0.54,3.817044
1559691570207,0.127,122.4,0.05775,0.54,3.817044
1559691570253,0.173,122.4,0.05775,0.54,3.817044
1559691570318,0.238,122.4,0.05888,0.546,3.934973952
1559691570364,0.284,122.4,0.05888,0.546,3.934973952
1559691570410,0.33,122.4,0.05888,0.546,3.934973952
1559691570456,0.376,122.4,0.05888,0.546,3.934973952
1559691570518,0.438,122.4,0.05876,0.55,3.9557232
1559691570564,0.484,122.4,0.05876,0.55,3.9557232
1559691570610,0.53,122.4,0.05876,0.55,3.9557232
1559691570656,0.576,122.4,0.05876,0.55,3.9557232
1559691570717,0.637,122.4,0.05922,0.546,3.957696288
1559691570763,0.683,122.4,0.05922,0.546,3.957696288
1559691570809,0.729,122.4,0.05922,0.546,3.957696288
1559691570855,0.775,122.4,0.05922,0.546,3.957696288
1559691570917,0.837,122.4,0.05875,0.551,3.962241
1559691570963,0.884,122.4,0.05875,0.551,3.962241
1559691571010,0.93,122.4,0.05875,0.551,3.962241
1559691571056,0.976,122.4,0.05875,0.551,3.962241
1559691571117,1.037,122.4,0.0579,0.546,3.86948016
1559691571163,1.083,122.4,0.0579,0.546,3.86948016
1559691571209,1.129,122.4,0.0579,0.546,3.86948016
1559691571255,1.175,122.4,0.0579,0.546,3.86948016
1559691571317,1.237,122.4,0.05084,0.53,3.29809248
1559691571364,1.284,122.4,0.05084,0.53,3.29809248
1559691571410,1.33,122.4,0.05084,0.53,3.29809248
1559691571456,1.376,122.4,0.05084,0.53,3.29809248
1559691571517,1.437,122.4,0.0509,0.528,3.28952448
1559691571563,1.483,122.4,0.0509,0.528,3.28952448
1559691571609,1.529,122.4,0.0509,0.528,3.28952448
1559691571655,1.575,122.4,0.0509,0.528,3.28952448
1559691571718,1.638,122.4,0.05043,0.532,3.283840224
1559691571764,1.684,122.4,0.05043,0.532,3.283840224
1559691571810,1.73,122.4,0.05043,0.532,3.283840224
1559691571856,1.776,122.4,0.05043,0.532,3.283840224
1559691571917,1.837,122.4,0.0506,0.529,3.27632976
1559691571963,1.883,122.4,0.0506,0.529,3.27632976
1559691572009,1.93,122.4,0.0506,0.529,3.27632976
1559691572056,1.976,122.4,0.0506,0.529,3.27632976
1559691572117,2.037,122.5,0.05054,0.53,3.2813095
1559691572163,2.083,122.5,0.05054,0.53,3.2813095
1559691572209,2.129,122.5,0.05054,0.53,3.2813095
