# Tue Jun 04 16:26:28 2019
abstime,time_stamp,volt,curr,pf,mul
1559690788442,0.081,122.6,0.0512,0.535,3.3582592
1559690788490,0.129,122.6,0.0512,0.535,3.3582592
1559690788536,0.175,122.6,0.0512,0.535,3.3582592
1559690788599,0.238,122.6,0.05176,0.534,3.388644384
1559690788644,0.283,122.6,0.05176,0.534,3.388644384
1559690788690,0.329,122.6,0.05176,0.534,3.388644384
1559690788735,0.374,122.6,0.05176,0.534,3.388644384
1559690788799,0.439,122.6,0.05177,0.534,3.389299068
1559690788844,0.483,122.6,0.05177,0.534,3.389299068
1559690788890,0.529,122.6,0.05177,0.534,3.389299068
1559690788936,0.575,122.6,0.05177,0.534,3.389299068
1559690788999,0.638,122.6,0.05149,0.536,3.383593264
1559690789045,0.684,122.6,0.05149,0.536,3.383593264
1559690789091,0.73,122.6,0.05149,0.536,3.383593264
1559690789137,0.776,122.6,0.05149,0.536,3.383593264
1559690789199,0.838,122.6,0.05127,0.54,3.39427908
1559690789245,0.884,122.6,0.05127,0.54,3.39427908
1559690789291,0.93,122.6,0.05127,0.54,3.39427908
1559690789338,0.977,122.6,0.05127,0.54,3.39427908
1559690789399,1.038,122.6,0.0513,0.54,3.3962652
1559690789444,1.083,122.6,0.0513,0.54,3.3962652
1559690789490,1.13,122.6,0.0513,0.54,3.3962652
1559690789537,1.176,122.6,0.0513,0.54,3.3962652
1559690789599,1.238,122.6,0.05143,0.538,3.392261084
1559690789645,1.284,122.6,0.05143,0.538,3.392261084
1559690789691,1.33,122.6,0.05143,0.538,3.392261084
1559690789737,1.376,122.6,0.05143,0.538,3.392261084
1559690789799,1.438,122.6,0.05139,0.54,3.40222356
1559690789844,1.483,122.6,0.05139,0.54,3.40222356
1559690789891,1.53,122.6,0.05139,0.54,3.40222356
1559690789937,1.576,122.6,0.05139,0.54,3.40222356
1559690789999,1.638,122.6,0.05162,0.537,3.398464644
1559690790045,1.684,122.6,0.05162,0.537,3.398464644
1559690790091,1.73,122.6,0.05162,0.537,3.398464644
1559690790137,1.776,122.6,0.05162,0.537,3.398464644
1559690790199,1.838,122.5,0.05209,0.534,3.40746735
1559690790246,1.885,122.5,0.05209,0.534,3.40746735
1559690790292,1.931,122.5,0.05209,0.534,3.40746735
1559690790338,1.977,122.5,0.05209,0.534,3.40746735
1559690790399,2.038,122.6,0.0526,0.534,3.44363784
1559690790445,2.084,122.6,0.0526,0.534,3.44363784
1559690790491,2.13,122.6,0.0526,0.534,3.44363784
1559690790538,2.177,122.6,0.0526,0.534,3.44363784
1559690790599,2.238,122.6,0.04876,0.524,3.132459424
1559690790645,2.284,122.6,0.04876,0.524,3.132459424
1559690790691,2.33,122.6,0.04876,0.524,3.132459424
1559690790737,2.376,122.6,0.04876,0.524,3.132459424
1559690790799,2.438,122.6,0.04895,0.519,3.11465913
1559690790844,2.483,122.6,0.04895,0.519,3.11465913
1559690790890,2.529,122.6,0.04895,0.519,3.11465913
1559690790937,2.576,122.6,0.04895,0.519,3.11465913
1559690790999,2.638,122.6,0.04864,0.521,3.106860544
1559690791045,2.684,122.6,0.04864,0.521,3.106860544
1559690791091,2.73,122.6,0.04864,0.521,3.106860544
1559690791137,2.776,122.6,0.04864,0.521,3.106860544
1559690791198,2.837,122.6,0.04895,0.517,3.10265659
1559690791244,2.883,122.6,0.04895,0.517,3.10265659
1559690791290,2.929,122.6,0.04895,0.517,3.10265659
1559690791336,2.975,122.6,0.04895,0.517,3.10265659
1559690791399,3.038,122.6,0.04855,0.522,3.10706406
1559690791445,3.084,122.6,0.04855,0.522,3.10706406
1559690791491,3.13,122.6,0.04855,0.522,3.10706406
1559690791537,3.176,122.6,0.04855,0.522,3.10706406
1559690791598,3.237,122.6,0.04838,0.523,3.102115924
1559690791644,3.283,122.6,0.04838,0.523,3.102115924
1559690791690,3.329,122.6,0.04838,0.523,3.102115924
1559690791736,3.375,122.6,0.04838,0.523,3.102115924
1559690791799,3.438,122.6,0.04836,0.523,3.100833528
1559690791845,3.484,122.6,0.04836,0.523,3.100833528
1559690791891,3.53,122.6,0.04836,0.523,3.100833528
1559690791937,3.576,122.6,0.04836,0.523,3.100833528
1559690791999,3.638,122.6,0.04844,0.522,3.100024368
1559690792045,3.684,122.6,0.04844,0.522,3.100024368
1559690792091,3.73,122.6,0.04844,0.522,3.100024368
1559690792137,3.776,122.6,0.04844,0.522,3.100024368
1559690792199,3.838,122.6,0.04856,0.522,3.107704032
1559690792245,3.884,122.6,0.04856,0.522,3.107704032
1559690792291,3.93,122.6,0.04856,0.522,3.107704032
1559690792337,3.976,122.6,0.04856,0.522,3.107704032
1559690792399,4.038,122.6,0.04848,0.524,3.114471552
1559690792446,4.085,122.6,0.04848,0.524,3.114471552
1559690792492,4.131,122.6,0.04848,0.524,3.114471552
1559690792538,4.177,122.6,0.04848,0.524,3.114471552
1559690792599,4.238,122.7,0.04791,0.528,3.103878096
1559690792645,4.284,122.7,0.04791,0.528,3.103878096
1559690792691,4.33,122.7,0.04791,0.528,3.103878096
1559690792737,4.376,122.7,0.04791,0.528,3.103878096
1559690792798,4.437,122.6,0.04825,0.524,3.0996958
1559690792844,4.483,122.6,0.04825,0.524,3.0996958
1559690792890,4.529,122.6,0.04825,0.524,3.0996958
1559690792936,4.575,122.6,0.04825,0.524,3.0996958
1559690792999,4.638,122.6,0.04813,0.525,3.09788745
1559690793045,4.684,122.6,0.04813,0.525,3.09788745
1559690793091,4.73,122.6,0.04813,0.525,3.09788745
1559690793137,4.776,122.6,0.04813,0.525,3.09788745
1559690793198,4.837,122.6,0.0482,0.525,3.102393
1559690793244,4.883,122.6,0.0482,0.525,3.102393
1559690793290,4.929,122.6,0.0482,0.525,3.102393
1559690793337,4.976,122.6,0.0482,0.525,3.102393
1559690793399,5.038,122.6,0.04819,0.525,3.10174935
1559690793444,5.083,122.6,0.04819,0.525,3.10174935
1559690793490,5.129,122.6,0.04819,0.525,3.10174935
1559690793536,5.175,122.6,0.04819,0.525,3.10174935
1559690793599,5.238,122.6,0.04774,0.53,3.10204972
1559690793645,5.284,122.6,0.04774,0.53,3.10204972
1559690793691,5.33,122.6,0.04774,0.53,3.10204972
1559690793737,5.376,122.6,0.04774,0.53,3.10204972
1559690793798,5.437,122.6,0.04796,0.529,3.110464984
1559690793844,5.483,122.6,0.04796,0.529,3.110464984
1559690793890,5.529,122.6,0.04796,0.529,3.110464984
1559690793936,5.575,122.6,0.04796,0.529,3.110464984
1559690793999,5.638,122.6,0.04794,0.528,3.103290432
1559690794045,5.684,122.6,0.04794,0.528,3.103290432
1559690794091,5.73,122.6,0.04794,0.528,3.103290432
1559690794137,5.776,122.6,0.04794,0.528,3.103290432
1559690794198,5.837,122.5,0.04819,0.527,3.111025925
1559690794244,5.883,122.5,0.04819,0.527,3.111025925
1559690794290,5.929,122.5,0.04819,0.527,3.111025925
1559690794336,5.975,122.5,0.04819,0.527,3.111025925
1559690794399,6.038,122.5,0.04809,0.527,3.104570175
1559690794444,6.083,122.5,0.04809,0.527,3.104570175
1559690794490,6.129,122.5,0.04809,0.527,3.104570175
1559690794536,6.175,122.5,0.04809,0.527,3.104570175
1559690794599,6.238,122.6,0.04785,0.529,3.10333089
1559690794645,6.284,122.6,0.04785,0.529,3.10333089
1559690794691,6.33,122.6,0.04785,0.529,3.10333089
1559690794737,6.376,122.6,0.04785,0.529,3.10333089
1559690794798,6.437,122.6,0.04827,0.525,3.10689855
1559690794844,6.483,122.6,0.04827,0.525,3.10689855
1559690794890,6.529,122.6,0.04827,0.525,3.10689855
1559690794936,6.575,122.6,0.04827,0.525,3.10689855
1559690794999,6.638,122.6,0.04808,0.526,3.100563808
1559690795045,6.684,122.6,0.04808,0.526,3.100563808
1559690795091,6.73,122.6,0.04808,0.526,3.100563808
1559690795137,6.776,122.6,0.04808,0.526,3.100563808
1559690795199,6.838,122.6,0.0482,0.525,3.102393
1559690795245,6.884,122.6,0.0482,0.525,3.102393
1559690795291,6.93,122.6,0.0482,0.525,3.102393
1559690795337,6.976,122.6,0.0482,0.525,3.102393
1559690795398,7.037,122.6,0.04796,0.529,3.110464984
1559690795444,7.083,122.6,0.04796,0.529,3.110464984
1559690795490,7.129,122.6,0.04796,0.529,3.110464984
1559690795536,7.175,122.6,0.04796,0.529,3.110464984
1559690795598,7.237,122.6,0.04805,0.527,3.10452011
1559690795645,7.284,122.6,0.04805,0.527,3.10452011
1559690795691,7.33,122.6,0.04805,0.527,3.10452011
1559690795737,7.376,122.6,0.04805,0.527,3.10452011
1559690795798,7.437,122.6,0.04834,0.525,3.1114041
1559690795844,7.483,122.6,0.04834,0.525,3.1114041
1559690795890,7.529,122.6,0.04834,0.525,3.1114041
1559690795936,7.575,122.6,0.04834,0.525,3.1114041
1559690795998,7.638,122.6,0.04798,0.527,3.099997396
1559690796045,7.684,122.6,0.04798,0.527,3.099997396
1559690796091,7.73,122.6,0.04798,0.527,3.099997396
1559690796137,7.776,122.6,0.04798,0.527,3.099997396
1559690796198,7.837,122.6,0.04798,0.527,3.099997396
1559690796244,7.883,122.6,0.04798,0.527,3.099997396
1559690796290,7.929,122.6,0.04798,0.527,3.099997396
1559690796336,7.975,122.6,0.04798,0.527,3.099997396
1559690796398,8.037,122.6,0.04819,0.525,3.10174935
1559690796445,8.084,122.6,0.04819,0.525,3.10174935
1559690796491,8.13,122.6,0.04819,0.525,3.10174935
1559690796536,8.175,122.6,0.04819,0.525,3.10174935
1559690796598,8.237,122.7,0.04815,0.525,3.101702625
1559690796644,8.283,122.7,0.04815,0.525,3.101702625
1559690796690,8.329,122.7,0.04815,0.525,3.101702625
1559690796736,8.375,122.7,0.04815,0.525,3.101702625
1559690796799,8.438,122.7,0.04816,0.527,3.114165264
1559690796845,8.484,122.7,0.04816,0.527,3.114165264
1559690796891,8.53,122.7,0.04816,0.527,3.114165264
1559690796937,8.576,122.7,0.04816,0.527,3.114165264
1559690796998,8.637,122.6,0.04783,0.528,3.096169824
1559690797044,8.683,122.6,0.04783,0.528,3.096169824
1559690797090,8.729,122.6,0.04783,0.528,3.096169824
1559690797136,8.775,122.6,0.04783,0.528,3.096169824
1559690797199,8.838,122.6,0.04824,0.524,3.099053376
1559690797245,8.884,122.6,0.04824,0.524,3.099053376
1559690797291,8.93,122.6,0.04824,0.524,3.099053376
1559690797337,8.976,122.6,0.04824,0.524,3.099053376
1559690797398,9.037,122.6,0.04833,0.528,3.128536224
1559690797444,9.083,122.6,0.04833,0.528,3.128536224
1559690797490,9.129,122.6,0.04833,0.528,3.128536224
1559690797537,9.176,122.6,0.04833,0.528,3.128536224
1559690797598,9.237,122.6,0.04799,0.527,3.100643498
1559690797644,9.283,122.6,0.04799,0.527,3.100643498
1559690797690,9.329,122.6,0.04799,0.527,3.100643498
1559690797736,9.375,122.6,0.04799,0.527,3.100643498
1559690797798,9.437,122.6,0.04787,0.529,3.104627998
1559690797844,9.483,122.6,0.04787,0.529,3.104627998
1559690797891,9.53,122.6,0.04787,0.529,3.104627998
1559690797937,9.576,122.6,0.04787,0.529,3.104627998
1559690797998,9.637,122.6,0.04803,0.527,3.103227906
1559690798044,9.683,122.6,0.04803,0.527,3.103227906
1559690798090,9.729,122.6,0.04803,0.527,3.103227906
1559690798136,9.775,122.6,0.04803,0.527,3.103227906
1559690798198,9.837,122.5,0.04802,0.526,3.0941687
1559690798244,9.883,122.5,0.04802,0.526,3.0941687
1559690798290,9.929,122.5,0.04802,0.526,3.0941687
1559690798336,9.975,122.5,0.04802,0.526,3.0941687
1559690798398,10.038,122.6,0.04836,0.524,3.106762464
1559690798445,10.084,122.6,0.04836,0.524,3.106762464
1559690798491,10.13,122.6,0.04836,0.524,3.106762464
1559690798537,10.176,122.6,0.04836,0.524,3.106762464
1559690798598,10.237,122.6,0.04788,0.529,3.105276552
1559690798644,10.283,122.6,0.04788,0.529,3.105276552
1559690798691,10.33,122.6,0.04788,0.529,3.105276552
1559690798737,10.376,122.6,0.04788,0.529,3.105276552
1559690798798,10.437,122.6,0.04799,0.527,3.100643498
1559690798844,10.483,122.6,0.04799,0.527,3.100643498
1559690798890,10.529,122.6,0.04799,0.527,3.100643498
1559690798937,10.576,122.6,0.04799,0.527,3.100643498
1559690798998,10.637,122.5,0.04824,0.525,3.102435
1559690799044,10.683,122.5,0.04824,0.525,3.102435
1559690799090,10.729,122.5,0.04824,0.525,3.102435
1559690799136,10.775,122.5,0.04824,0.525,3.102435
1559690799198,10.838,122.5,0.04798,0.528,3.1033464
1559690799244,10.883,122.5,0.04798,0.528,3.1033464
1559690799290,10.929,122.5,0.04798,0.528,3.1033464
1559690799336,10.975,122.5,0.04798,0.528,3.1033464
1559690799398,11.037,122.5,0.04785,0.529,3.100799625
1559690799444,11.083,122.5,0.04785,0.529,3.100799625
1559690799491,11.13,122.5,0.04785,0.529,3.100799625
1559690799537,11.176,122.5,0.04785,0.529,3.100799625
1559690799598,11.237,122.5,0.05239,0.537,3.446345175
1559690799644,11.283,122.5,0.05239,0.537,3.446345175
1559690799690,11.329,122.5,0.05239,0.537,3.446345175
1559690799736,11.375,122.5,0.05239,0.537,3.446345175
1559690799798,11.437,122.6,0.04892,0.528,3.166728576
1559690799843,11.482,122.6,0.04892,0.528,3.166728576
1559690799889,11.528,122.6,0.04892,0.528,3.166728576
1559690799936,11.575,122.6,0.04892,0.528,3.166728576
1559690799998,11.637,122.5,0.04828,0.524,3.0990932
1559690800044,11.683,122.5,0.04828,0.524,3.0990932
1559690800090,11.729,122.5,0.04828,0.524,3.0990932
1559690800136,11.775,122.5,0.04828,0.524,3.0990932
1559690800198,11.837,122.5,0.04797,0.527,3.096823275
1559690800244,11.883,122.5,0.04797,0.527,3.096823275
1559690800290,11.929,122.5,0.04797,0.527,3.096823275
1559690800336,11.975,122.5,0.04797,0.527,3.096823275
1559690800398,12.037,122.5,0.04808,0.527,3.1039246
1559690800444,12.083,122.5,0.04808,0.527,3.1039246
1559690800491,12.13,122.5,0.04808,0.527,3.1039246
1559690800537,12.176,122.5,0.04808,0.527,3.1039246
1559690800598,12.237,122.6,0.04818,0.525,3.1011057
1559690800644,12.283,122.6,0.04818,0.525,3.1011057
1559690800690,12.329,122.6,0.04818,0.525,3.1011057
1559690800736,12.375,122.6,0.04818,0.525,3.1011057
1559690800797,12.436,122.6,0.04816,0.526,3.105722816
1559690800843,12.482,122.6,0.04816,0.526,3.105722816
1559690800889,12.528,122.6,0.04816,0.526,3.105722816
1559690800935,12.574,122.6,0.04816,0.526,3.105722816
1559690800998,12.637,122.6,0.04829,0.525,3.10818585
1559690801043,12.682,122.6,0.04829,0.525,3.10818585
1559690801089,12.729,122.6,0.04829,0.525,3.10818585
1559690801135,12.774,122.6,0.04829,0.525,3.10818585
1559690801198,12.837,122.6,0.04757,0.531,3.096835542
1559690801244,12.883,122.6,0.04757,0.531,3.096835542
1559690801290,12.929,122.6,0.04757,0.531,3.096835542
1559690801336,12.975,122.6,0.04757,0.531,3.096835542
1559690801397,13.036,122.6,0.0475,0.534,3.109749
1559690801443,13.082,122.6,0.0475,0.534,3.109749
1559690801489,13.128,122.6,0.0475,0.534,3.109749
1559690801535,13.174,122.6,0.0475,0.534,3.109749
1559690801597,13.236,122.7,0.04735,0.534,3.10245723
