phase, avg pwr, total energy, total time
idle,3.179736,15.915118,5.005169
turnon,3.327267,0.749354,0.225216
scan,3.194420,59.122842,18.508159
connect,3.213327,8.541575,2.658172
200,3.174334,0.003803,0.001198
500,3.174596,0.003654,0.001151
1000,3.171795,0.003730,0.001176
2000,3.173072,0.003855,0.001215
5000,3.174724,0.004486,0.001413
10000,3.174621,0.005673,0.001787
20000,3.174598,0.008330,0.002624
50000,3.179364,2.013959,0.633447
100000,3.217748,18.895270,5.872203
200000,3.233216,54.614906,16.891820
500000,3.225324,163.412702,50.665518
1000000,3.219826,337.646746,104.864890
