phase, avg pwr, total energy, total time
idle,3.118616,15.609272,5.005192
turn_on,3.162543,0.690279,0.218267
turn_on_idle,3.116603,15.598896,5.005095
scan,3.136061,57.558308,18.353698
scan_idle,3.103384,15.532686,5.005081
connect,3.150632,9.254617,2.937384
connect_idle,3.140975,15.720871,5.005092
200,3.112323,0.003707,0.001191
500,3.110413,0.004837,0.001555
1000,3.110718,0.007124,0.002290
2000,3.112199,0.008549,0.002747
5000,3.112177,0.015066,0.004841
10000,3.108064,0.023077,0.007425
20000,3.106402,0.031005,0.009981
50000,3.119927,2.115073,0.677924
100000,3.153093,18.544127,5.881250
200000,3.173970,53.543181,16.869468
500000,3.182097,159.168225,50.019915
1000000,3.174166,333.283174,104.998659
