L1-dcache-loads,L1-dcache-stores,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,r110,r13C,r1A2,r1C2,power
5633164.29,5346327.39,1678696.15,196393.15,61305.14,4102357.36,18576229.56,12011049.52,148355.32,0.00,0.00,2791.18,3.25
5106956.38,4831691.63,1524157.78,185891.99,52353.97,3977716.40,17750539.63,11632442.91,158432.77,0.00,0.00,3080.66,3.25
4658584.97,4393180.62,1392478.68,176944.16,44726.85,3871512.29,17046985.50,11309839.67,167019.56,0.00,0.00,3327.31,3.25
4064005.50,3811676.89,1217860.74,165078.56,34612.63,3730676.40,16114011.54,10882039.72,178406.39,0.00,0.00,3654.40,3.13
3741907.95,3507350.18,1126837.02,159943.42,29009.32,3684932.51,15693979.21,10594904.96,183869.68,0.00,0.00,3779.74,3.13
3747900.95,3600241.15,1157675.46,170589.99,28099.89,3935128.45,16398661.18,10148201.03,178012.07,0.00,0.00,3354.14,3.13
3753158.00,3681724.94,1184726.89,179929.14,27302.13,4154599.88,17016806.94,9756353.14,172873.79,0.00,0.00,2980.81,3.13
3760357.87,3793322.31,1221775.59,192719.72,26209.55,4455180.32,17863397.87,9219691.90,165836.57,0.00,0.00,2469.51,3.13
3784022.92,3866316.82,1242626.79,198529.33,25526.86,4603454.17,18265899.00,8921009.13,161359.53,0.00,0.00,2184.48,3.13
3963933.13,3971799.72,1246761.67,187272.49,24785.89,4446192.31,17684934.86,8891732.88,155857.75,0.00,0.00,2152.34,3.13
4124142.43,4065731.81,1250443.76,177248.32,24126.07,4306151.28,17167588.71,8865662.50,150958.44,0.00,0.00,2123.72,3.13
4340076.70,4192335.92,1255406.58,163737.49,23236.73,4117400.32,16470296.08,8830524.17,144355.02,0.00,0.00,2085.15,3.13
4461828.63,4249746.20,1255064.35,155521.75,22591.54,3992261.04,16020343.53,8841349.96,140638.26,0.00,0.00,2040.40,3.13
4371935.80,4036824.87,1216991.85,154292.09,21313.58,3856270.54,15659476.59,9207255.78,143461.76,0.00,0.00,1792.72,3.13
4288099.59,3838249.32,1181484.53,153145.27,20121.74,3729442.54,15322923.41,9548508.33,146095.02,0.00,0.00,1561.74,3.13
4179290.90,3580523.61,1135400.55,151656.86,18574.87,3564835.99,14886120.36,9991410.58,149512.65,0.00,0.00,1261.94,3.13
4097766.96,3414278.33,1106151.20,150985.09,17477.33,3476003.56,14654788.07,10260686.48,152092.67,0.00,0.00,1067.42,3.13
3930568.58,3435132.77,1117285.33,155581.65,16054.29,3758618.46,15472971.87,9969984.02,157645.29,0.00,0.00,1073.98,3.13
3774140.24,3454643.88,1127702.26,159882.13,14722.91,4023028.81,16238452.59,9698007.08,162840.25,0.00,0.00,1080.11,3.13
3566702.65,3480517.30,1141516.02,165584.94,12957.38,4373659.93,17253546.60,9337342.00,169729.21,0.00,0.00,1088.24,3.13
3427716.88,3505650.40,1152481.69,169606.42,11741.40,4618656.96,17962147.32,9080000.75,174496.31,0.00,0.00,1099.17,3.13
3703456.64,3738587.73,1192754.41,168900.82,12954.90,4497805.58,17589048.80,9021469.83,170530.15,0.00,0.00,1276.27,3.13
3971153.51,3964730.66,1231852.44,168215.81,14133.00,4380479.24,17226832.96,8964646.15,166679.67,0.00,0.00,1448.20,3.13
4337781.84,4274448.15,1285399.74,167277.64,15746.50,4219793.17,16730754.74,8886822.43,161406.19,0.00,0.00,1683.68,3.13
4598067.10,4494297.93,1323325.59,166599.24,16894.22,4105286.78,16377347.01,8832464.37,157655.44,0.00,0.00,1851.46,3.13
4507017.85,4404760.42,1274661.54,161960.83,17374.14,3976257.48,16019309.94,9203663.62,156252.35,0.00,0.00,2032.54,3.13
4414225.19,4313508.45,1225065.68,157233.62,17863.25,3844757.53,15654417.19,9581970.59,154822.39,0.00,0.00,2217.09,3.13
4291817.85,4193133.50,1159641.36,150997.71,18508.46,3671289.51,15173069.30,10081013.82,152936.06,0.00,0.00,2460.53,3.13
4200999.50,4103823.06,1111100.73,146371.07,18987.16,3542587.43,14815940.22,10451271.71,151536.53,0.00,0.00,2641.16,3.13
4116675.90,4034976.91,1115611.86,146541.09,20640.40,3684637.89,15705738.17,10537233.91,157409.45,0.00,0.00,2942.96,3.13
3866498.54,3831961.35,1133370.81,147439.55,25652.02,4129162.53,18453430.44,10769523.01,175466.53,0.00,0.00,3850.20,3.13
3639673.89,3647896.20,1149472.05,148254.15,30195.83,4532193.19,20944640.45,10980129.17,191838.08,0.00,0.00,4672.76,3.13
3471384.63,3511331.74,1161418.13,148858.53,33567.04,4831215.93,22792957.55,11136385.36,203984.71,0.00,0.00,5283.04,3.13
3548024.83,3609985.15,1185881.41,150378.85,32080.46,4784121.46,22281537.82,10932643.84,199405.72,0.00,0.00,4930.57,3.13
3839675.94,3964266.79,1261637.46,155123.33,26395.08,4553255.71,20143834.76,10234183.79,181428.19,0.00,0.00,3632.47,3.13
4100853.64,4281531.01,1329478.08,159372.08,21303.75,4346512.17,18229491.39,9608702.93,165329.05,0.00,0.00,2470.00,3.14
4297807.31,4520779.44,1380636.58,162576.05,17464.38,4190607.20,16785888.20,9137028.84,153188.72,0.00,0.00,1593.38,3.14
4315161.26,4513280.77,1374354.01,161056.58,17464.90,4091150.36,16371002.68,9207210.90,151009.19,0.00,0.00,1471.56,3.14
4280664.88,4376275.89,1329487.95,154499.81,19264.81,3833215.66,15666541.20,9661658.10,149442.51,0.00,0.00,1476.76,3.14
4248666.86,4249193.47,1287871.27,148417.90,20934.35,3593961.65,15013099.72,10083192.37,147989.31,0.00,0.00,1481.58,3.13
4224537.21,4153360.82,1256488.20,143831.55,22193.36,3413540.60,14520340.57,10401070.67,146893.44,0.00,0.00,1485.22,3.13
4141919.81,4069381.14,1238260.83,143498.58,21817.78,3393783.03,14706532.60,10418909.87,148995.97,0.00,0.00,1439.40,3.13
3867091.61,3844640.87,1197588.70,145829.60,19519.97,3461841.21,15745011.52,10238749.01,157299.89,0.00,0.00,1273.96,3.13
3596716.13,3623541.81,1157575.54,148122.85,17259.40,3528796.73,16766665.17,10061507.08,165469.26,0.00,0.00,1111.20,3.13
3399299.11,3462104.39,1128359.58,149797.29,15608.82,3577684.88,17512634.49,9932092.34,171434.20,0.00,0.00,992.36,3.13
