freq,util,power
600000.00,34.36,3.53
600000.00,33.95,3.53
600000.00,33.67,3.53
600000.00,33.39,3.53
600000.00,32.97,3.55
600000.00,31.99,3.55
600000.00,31.36,3.55
600000.00,31.02,3.55
600000.00,32.38,3.53
600000.00,33.33,3.53
600000.00,34.31,3.53
600000.00,34.77,3.53
600000.00,35.34,3.53
600000.00,35.68,3.53
600000.00,35.99,3.53
600000.00,35.53,3.53
600000.00,34.93,3.53
600000.00,34.48,3.53
600000.00,34.14,3.53
600000.00,33.56,3.53
600000.00,32.93,3.52
600000.00,32.46,3.52
600000.00,32.35,3.52
600000.00,32.18,3.52
600000.00,32.03,3.53
600000.00,31.87,3.53
600000.00,31.22,3.53
600000.00,30.64,3.53
600000.00,29.86,3.53
600000.00,29.70,3.53
600000.00,30.29,3.53
600000.00,30.76,3.53
600000.00,31.38,3.53
600000.00,31.49,3.53
600000.00,31.67,3.53
600000.00,31.80,3.53
600000.00,32.05,3.53
600000.00,32.96,3.53
600000.00,33.77,3.53
600000.00,34.58,3.53
600000.00,34.98,3.53
600000.00,34.37,3.53
600000.00,33.91,3.53
600000.00,33.45,3.53
600000.00,32.89,3.53
600000.00,31.60,3.53
600000.00,30.76,3.53
600000.00,30.00,3.53
600000.00,30.00,3.54
600000.00,30.00,3.54
600000.00,30.00,3.54
600000.00,30.10,3.54
600000.00,30.87,3.53
600000.00,31.36,3.53
600000.00,31.84,3.53
600000.00,31.94,3.53
600000.00,31.94,3.53
600000.00,31.94,3.53
600000.00,31.94,3.53
600000.00,31.94,3.53
600000.00,31.94,3.53
600000.00,31.94,3.53
600000.00,32.03,3.53
600000.00,32.47,3.53
600000.00,32.93,3.54
600000.00,33.29,3.54
600000.00,33.33,3.54
600000.00,33.33,3.54
600000.00,33.33,3.53
600000.00,33.26,3.53
600000.00,32.71,3.53
600000.00,32.23,3.53
600000.00,31.59,3.53
600000.00,31.23,3.53
600000.00,30.41,3.53
600000.00,29.79,3.53
600000.00,29.00,3.53
600000.00,29.80,3.53
600000.00,30.54,3.53
600000.00,31.28,3.53
600000.00,31.90,3.53
600000.00,31.62,3.53
600000.00,31.38,3.53
600000.00,31.14,3.53
600000.00,31.16,3.53
600000.00,31.81,3.53
600000.00,32.28,3.53
600000.00,32.75,3.53
600000.00,32.94,3.54
600000.00,33.11,3.54
600000.00,33.23,3.54
600000.00,33.31,3.54
600000.00,32.81,3.53
600000.00,32.46,3.53
600000.00,32.11,3.53
600000.00,31.90,3.53
600000.00,31.62,3.55
600000.00,31.45,3.55
600000.00,31.27,3.55
600000.00,31.33,3.55
600000.00,32.57,3.56
600000.00,33.35,3.56
600000.00,34.13,3.56
600000.00,34.05,3.56
600000.00,33.22,3.54
600000.00,32.75,3.54
600000.00,32.39,3.54
600000.00,32.39,3.54
600000.00,32.39,3.53
600000.00,32.39,3.53
600000.00,32.39,3.53
600000.00,32.39,3.53
600000.00,32.39,3.54
600000.00,32.39,3.54
600000.00,31.52,3.54
600000.00,30.65,3.54
600000.00,29.48,3.53
600000.00,29.27,3.53
600000.00,30.88,3.53
600000.00,32.21,3.53
600000.00,33.97,3.54
600000.00,33.97,3.54
600000.00,32.98,3.54
600000.00,32.27,3.54
600000.00,31.45,3.54
600000.00,31.72,3.54
600000.00,31.96,3.54
600000.00,32.21,3.54
600000.00,32.30,3.54
600000.00,31.84,3.54
600000.00,31.48,3.54
600000.00,31.12,3.54
600000.00,30.80,3.54
600000.00,30.21,3.54
600000.00,29.80,3.54
600000.00,29.42,3.54
600000.00,30.74,3.54
600000.00,31.73,3.54
600000.00,32.72,3.54
600000.00,33.36,3.54
600000.00,33.53,3.54
600000.00,33.64,3.54
600000.00,33.76,3.54
600000.00,33.55,3.54
600000.00,32.52,3.54
600000.00,31.92,3.54
600000.00,31.46,3.54
600000.00,31.85,3.54
600000.00,32.34,3.54
600000.00,32.70,3.54
600000.00,32.91,3.54
600000.00,33.06,3.54
600000.00,33.21,3.54
600000.00,33.32,3.54
600000.00,33.33,3.54
600000.00,33.33,3.54
600000.00,33.33,3.53
600000.00,33.24,3.53
600000.00,32.55,3.53
600000.00,31.96,3.53
600000.00,31.18,3.53
600000.00,30.94,3.53
600000.00,30.75,3.53
600000.00,30.62,3.53
600000.00,30.44,3.55
600000.00,30.58,3.55
600000.00,30.72,3.55
600000.00,30.86,3.55
600000.00,31.12,3.54
600000.00,31.85,3.54
600000.00,32.44,3.54
600000.00,33.03,3.54
600000.00,33.09,3.54
600000.00,32.25,3.54
600000.00,31.66,3.54
600000.00,31.07,3.54
600000.00,30.90,3.54
600000.00,30.68,3.54
600000.00,30.54,3.54
600000.00,30.50,3.54
600000.00,31.21,3.54
600000.00,31.70,3.54
600000.00,32.20,3.54
600000.00,32.50,3.54
600000.00,33.08,3.54
600000.00,33.43,3.54
600000.00,33.78,3.54
600000.00,33.49,3.54
600000.00,32.39,3.53
600000.00,31.79,3.53
600000.00,31.38,3.53
600000.00,31.08,3.53
600000.00,30.74,3.54
600000.00,30.49,3.54
600000.00,31.84,3.54
600000.00,36.77,3.54
600000.00,41.46,3.63
600000.00,45.07,3.63
600000.00,47.06,3.63
600000.00,52.01,3.63
600000.00,56.68,3.87
600000.00,60.14,3.87
600000.00,61.14,3.87
600000.00,59.83,3.87
600000.00,58.51,3.78
600000.00,57.52,3.78
600000.00,57.24,3.78
600000.00,56.89,3.78
600000.00,56.57,3.81
600000.00,56.34,3.81
600000.00,56.18,3.81
600000.00,56.02,3.81
600000.00,55.81,3.77
600000.00,55.66,3.77
600000.00,55.37,3.77
600000.00,55.12,3.77
600000.00,54.79,3.79
600000.00,54.85,3.79
600000.00,55.76,3.79
600000.00,56.48,3.79
600000.00,57.46,3.79
600000.00,57.35,3.79
600000.00,56.74,3.79
600000.00,56.32,3.79
600000.00,55.90,3.77
600000.00,56.03,3.77
600000.00,56.14,3.77
600000.00,56.26,3.77
600000.00,56.49,3.78
600000.00,57.09,3.78
600000.00,57.54,3.78
600000.00,57.99,3.78
600000.00,58.01,3.79
600000.00,57.73,3.79
600000.00,57.54,3.79
600000.00,57.36,3.79
600000.00,57.36,3.80
600000.00,57.44,3.80
600000.00,57.49,3.80
600000.00,57.53,3.80
600000.00,57.53,3.79
600000.00,57.53,3.79
600000.00,57.53,3.79
600000.00,57.53,3.79
600000.00,57.53,3.78
600000.00,57.53,3.78
600000.00,57.53,3.78
600000.00,57.39,3.78
600000.00,56.83,3.78
600000.00,56.53,3.78
600000.00,56.28,3.78
600000.00,55.90,3.78
600000.00,55.48,3.78
600000.00,55.15,3.78
600000.00,55.13,3.78
600000.00,55.36,3.78
600000.00,55.58,3.79
600000.00,55.75,3.79
600000.00,56.24,3.79
600000.00,56.70,3.79
600000.00,57.32,3.78
600000.00,57.49,3.78
600000.00,57.31,3.78
600000.00,57.15,3.78
600000.00,56.96,3.81
600000.00,56.81,3.81
600000.00,56.36,3.81
600000.00,56.05,3.81
600000.00,55.77,3.80
600000.00,56.28,3.80
600000.00,56.74,3.80
600000.00,57.20,3.80
600000.00,57.42,3.79
600000.00,56.95,3.79
600000.00,56.58,3.79
600000.00,56.22,3.79
600000.00,55.97,3.79
600000.00,55.88,3.79
600000.00,55.80,3.79
600000.00,55.73,3.79
600000.00,56.12,3.79
600000.00,57.27,3.79
600000.00,58.03,3.79
600000.00,58.62,3.79
600000.00,57.80,3.79
600000.00,57.21,3.79
600000.00,56.62,3.79
600000.00,56.43,3.79
600000.00,57.00,3.78
600000.00,57.37,3.78
600000.00,57.72,3.78
600000.00,57.43,3.78
600000.00,56.21,3.78
600000.00,55.54,3.78
600000.00,55.13,3.78
600000.00,55.53,3.78
600000.00,56.00,3.82
600000.00,56.34,3.82
600000.00,56.62,3.82
600000.00,56.89,3.82
600000.00,57.21,3.79
600000.00,57.46,3.79
600000.00,57.48,3.79
600000.00,57.29,3.79
600000.00,57.09,3.78
600000.00,56.94,3.78
600000.00,56.43,3.78
600000.00,55.92,3.78
600000.00,55.24,3.79
600000.00,55.06,3.79
600000.00,55.84,3.79
600000.00,56.50,3.79
600000.00,57.40,3.79
600000.00,57.42,3.79
600000.00,56.99,3.79
600000.00,56.69,3.79
600000.00,56.38,3.79
600000.00,56.92,3.79
600000.00,57.43,3.79
600000.00,57.94,3.79
600000.00,58.14,3.79
600000.00,57.28,3.79
600000.00,56.62,3.79
600000.00,55.96,3.79
600000.00,55.71,3.78
600000.00,55.71,3.78
600000.00,55.71,3.78
600000.00,55.71,3.78
600000.00,56.25,3.79
600000.00,56.65,3.79
600000.00,57.05,3.79
600000.00,57.28,3.79
600000.00,56.67,3.78
600000.00,56.26,3.78
600000.00,55.84,3.78
600000.00,55.66,3.78
600000.00,55.39,3.79
600000.00,55.23,3.79
600000.00,55.09,3.79
600000.00,55.72,3.79
