# Thu Jun 06 22:00:48 2019
abstime,time_stamp,volt,curr,pf,mul
1559883648315,0.08,122.6,0.0579,0.531,3.76932474
1559883648362,0.127,122.6,0.0579,0.531,3.76932474
1559883648408,0.173,122.6,0.0579,0.531,3.76932474
1559883648473,0.238,122.6,0.05995,0.533,3.91748071
1559883648519,0.284,122.6,0.05995,0.533,3.91748071
1559883648565,0.33,122.6,0.05995,0.533,3.91748071
1559883648611,0.376,122.6,0.05995,0.533,3.91748071
1559883648672,0.437,122.6,0.05989,0.535,3.92824499
1559883648718,0.483,122.6,0.05989,0.535,3.92824499
1559883648764,0.529,122.6,0.05989,0.535,3.92824499
1559883648810,0.575,122.6,0.05989,0.535,3.92824499
1559883648872,0.637,122.7,0.05972,0.536,3.927617184
1559883648918,0.683,122.7,0.05972,0.536,3.927617184
1559883648964,0.729,122.7,0.05972,0.536,3.927617184
1559883649010,0.775,122.7,0.05972,0.536,3.927617184
1559883649073,0.838,122.7,0.05983,0.536,3.934851576
1559883649119,0.884,122.7,0.05983,0.536,3.934851576
1559883649165,0.93,122.7,0.05983,0.536,3.934851576
1559883649211,0.976,122.7,0.05983,0.536,3.934851576
1559883649272,1.037,122.7,0.06031,0.541,4.003420017
1559883649318,1.083,122.7,0.06031,0.541,4.003420017
1559883649364,1.129,122.7,0.06031,0.541,4.003420017
1559883649410,1.175,122.7,0.06031,0.541,4.003420017
1559883649473,1.238,122.6,0.05204,0.518,3.304893872
1559883649519,1.284,122.6,0.05204,0.518,3.304893872
1559883649565,1.33,122.6,0.05204,0.518,3.304893872
1559883649611,1.376,122.6,0.05204,0.518,3.304893872
1559883649673,1.438,122.6,0.05151,0.52,3.28386552
1559883649719,1.484,122.6,0.05151,0.52,3.28386552
1559883649765,1.53,122.6,0.05151,0.52,3.28386552
1559883649811,1.576,122.6,0.05151,0.52,3.28386552
1559883649872,1.637,122.6,0.05164,0.518,3.279491152
1559883649918,1.683,122.6,0.05164,0.518,3.279491152
1559883649964,1.729,122.6,0.05164,0.518,3.279491152
1559883650010,1.775,122.6,0.05164,0.518,3.279491152
1559883650073,1.838,122.6,0.05171,0.517,3.277596982
1559883650119,1.884,122.6,0.05171,0.517,3.277596982
1559883650165,1.93,122.6,0.05171,0.517,3.277596982
1559883650211,1.976,122.6,0.05171,0.517,3.277596982
1559883650272,2.037,122.7,0.0512,0.522,3.27932928
1559883650318,2.083,122.7,0.0512,0.522,3.27932928
1559883650364,2.129,122.7,0.0512,0.522,3.27932928
1559883650410,2.175,122.7,0.0512,0.522,3.27932928
1559883650473,2.238,122.6,0.05149,0.521,3.288903154
1559883650519,2.284,122.6,0.05149,0.521,3.288903154
1559883650565,2.33,122.6,0.05149,0.521,3.288903154
1559883650611,2.376,122.6,0.05149,0.521,3.288903154
1559883650672,2.437,122.6,0.05151,0.52,3.28386552
1559883650718,2.483,122.6,0.05151,0.52,3.28386552
1559883650764,2.529,122.6,0.05151,0.52,3.28386552
1559883650811,2.576,122.6,0.05151,0.52,3.28386552
1559883650872,2.637,122.6,0.05111,0.523,3.277162978
1559883650918,2.683,122.6,0.05111,0.523,3.277162978
1559883650964,2.729,122.6,0.05111,0.523,3.277162978
1559883651010,2.775,122.6,0.05111,0.523,3.277162978
1559883651072,2.837,122.6,0.05131,0.521,3.277405726
1559883651119,2.884,122.6,0.05131,0.521,3.277405726
1559883651165,2.93,122.6,0.05131,0.521,3.277405726
1559883651211,2.976,122.6,0.05131,0.521,3.277405726
1559883651272,3.037,122.6,0.05132,0.521,3.278044472
1559883651318,3.083,122.6,0.05132,0.521,3.278044472
1559883651364,3.129,122.6,0.05132,0.521,3.278044472
1559883651410,3.175,122.6,0.05132,0.521,3.278044472
1559883651473,3.238,122.6,0.05136,0.521,3.280599456
1559883651519,3.284,122.6,0.05136,0.521,3.280599456
1559883651565,3.33,122.6,0.05136,0.521,3.280599456
1559883651611,3.376,122.6,0.05136,0.521,3.280599456
1559883651672,3.437,122.6,0.05131,0.521,3.277405726
1559883651719,3.484,122.6,0.05131,0.521,3.277405726
1559883651765,3.53,122.6,0.05131,0.521,3.277405726
1559883651811,3.576,122.6,0.05131,0.521,3.277405726
