phase, avg pwr, total energy, total time
idle,3.278970,16.411449,5.005062
turn_on,3.356681,0.612809,0.182564
turn_on_idle,3.293212,16.482737,5.005064
scan,3.309033,53.181130,16.071504
scan_idle,3.277960,16.406335,5.005045
connect,3.368810,14.641431,4.346173
connect_idle,3.322792,16.630744,5.005051
200,3.306483,0.001895,0.000573
500,3.306125,0.002063,0.000624
1000,3.304729,0.001986,0.000601
2000,3.304414,0.002310,0.000699
5000,3.301413,0.003882,0.001176
10000,3.306622,0.005496,0.001662
20000,3.304316,0.009113,0.002758
50000,3.316913,1.448065,0.436570
100000,3.329915,23.849803,7.162285
200000,3.339763,50.095109,14.999598
500000,3.341260,148.045110,44.308169
1000000,3.347047,282.600718,84.432844
