time,freq,util
.155361510,600000,55.9322
.352725625,600000,57.1429
.544948333,600000,55.5556
.738815364,600000,57.1429
.933403020,600000,56
1.128768333,600000,59.4937
1.321594374,600000,55.4054
1.518218697,600000,57.1429
1.717124322,600000,57.1429
1.921127864,600000,58.0247
2.119719530,600000,56.962
2.321099686,600000,57.1429
2.522138332,600000,56.962
2.715733228,600000,49.3333
2.898851613,600000,30.9859
3.083053280,600000,30.9859
3.266376300,600000,32.3944
3.451074686,600000,32.8767
3.635275363,600000,30
3.820098748,600000,31.9444
4.003448852,600000,30
4.185813488,600000,31.4286
4.369234425,600000,31.9444
4.552381352,600000,30
4.735600310,600000,33.3333
4.921144008,600000,30
5.103873019,600000,30.4348
5.286748331,600000,33.3333
5.469304060,600000,32.8767
5.651860154,600000,30.9859
5.835280727,600000,29.4118
6.018223852,600000,33.7838
6.201889893,600000,30.9859
6.385360310,600000,34.2466
6.567995049,600000,34.2466
6.749924528,600000,32.8767
6.933583643,600000,30
7.117990882,600000,32.8767
7.301135882,600000,34.2466
7.485252757,600000,30
7.668518538,600000,33.7838
7.854255726,600000,32.8767
8.037490778,600000,33.7838
8.219226299,600000,32.3944
8.402758226,600000,31.9444
8.600827809,600000,32.4675
8.782444736,600000,32.3944
8.966471611,600000,32.8767
9.150366611,600000,30.9859
9.334934892,600000,30.9859
9.517314684,600000,34.2466
9.703152704,600000,36.9863
9.929706558,600000,55.1724
10.114775673,600000,30.9859
10.297498017,600000,35.5263
10.480319527,600000,33.3333
10.663783329,600000,30.9859
10.848243225,600000,34.2466
11.029894943,600000,34.2466
11.214772235,600000,30
11.399133745,600000,34.6667
11.583691089,600000,29.5775
11.767908797,600000,34.2466
11.949653901,600000,32.8767
12.133724839,600000,31.9444
12.317490672,600000,35.1351
12.500371609,600000,32.3944
12.685437391,600000,29.5775
12.868870047,600000,31.9444
13.052595307,600000,31.4286
13.237360255,600000,32.8767
13.418886609,600000,32.3944
13.602375619,600000,30.9859
13.787119057,600000,34.6667
13.970137859,600000,32.3944
14.156872963,600000,31.4286
14.339760723,600000,32.8767
14.523463171,600000,30.9859
14.707733171,600000,33.7838
14.901217650,600000,33.7838
15.084880202,600000,31.4286
15.266940515,600000,34.6667
15.450628900,600000,32.3944
15.632910567,600000,30.9859
15.815744629,600000,33.3333
16.008231452,600000,32.4324
16.191003483,600000,32.3944
16.374756608,600000,30
16.558394212,600000,33.7838
16.742484420,600000,30.9859
16.928200045,600000,33.7838
17.111272858,600000,32.3944
17.293965878,600000,28.9855
17.477752128,600000,33.7838
17.660795566,600000,31.4286
17.845619212,600000,30.9859
18.029498274,600000,32.8767
18.212068118,600000,30
18.395313743,600000,34.2466
18.576675618,600000,35.1351
18.759674263,600000,32.3944
18.941370409,600000,31.9444
19.126315669,600000,30.9859
19.309995461,600000,30.9859
19.492102909,600000,31.4286
19.674544680,600000,29.4118
19.858636867,600000,33.7838
20.041610305,600000,32.3944
20.224060148,600000,30
20.408155565,600000,33.3333
20.589727648,600000,32.3944
20.778956190,600000,28.169
20.961230460,600000,34.2466
21.144008169,600000,28.9855
21.328092856,600000,35.1351
21.511192960,600000,32.8767
21.695322387,600000,30.9859
21.878872960,600000,33.3333
22.063118012,600000,30.9859
22.247054158,600000,31.9444
22.429025564,600000,32.8767
22.611870616,600000,30.4348
22.795569314,600000,32.8767
22.980196501,600000,31.9444
23.163984991,600000,30
23.349649939,600000,33.7838
23.534749991,600000,30
23.720139782,600000,31.5068
23.904142803,600000,29.4118
24.087971084,600000,34.6667
24.271230928,600000,31.9444
24.457959522,600000,35.5263
24.640436397,600000,30.9859
24.823760980,600000,30.4348
25.006668740,600000,31.9444
25.190849469,600000,33.3333
25.373238688,600000,30
25.557232125,600000,32.8767
25.740163792,600000,31.4286
25.925856396,600000,32.8767
26.108290094,600000,36
26.289873948,600000,31.9444
26.472745979,600000,32.3944
26.656234989,600000,30
26.839225250,600000,32.8767
27.022418427,600000,30.4348
27.207144521,600000,31.9444
27.392906760,600000,30.5556
27.575824677,600000,31.4286
27.759033374,600000,30.9859
27.942826395,600000,30
28.126259624,600000,33.3333
28.309270145,600000,31.9444
28.492275874,600000,30
28.675033739,600000,30.4348
28.860060249,600000,33.7838
29.042762176,600000,31.4286
29.226859884,600000,32.8767
29.409339520,600000,31.9444
29.591813426,600000,30.4348
29.776424207,600000,31.9444
29.962936707,600000,30.5556
30.149468061,600000,32.8767
30.335092228,600000,31.9444
30.520383321,600000,32.8767
30.705017175,600000,29.5775
30.887870769,600000,34.2466
31.069270404,600000,34.2466
31.252227123,600000,31.4286
31.434536290,600000,28.9855
31.617404519,600000,36.8421
31.799348373,600000,35.1351
31.985910144,600000,30.5556
32.169766967,600000,31.4286
32.352541966,600000,31.9444
32.535762956,600000,32.3944
32.717058581,600000,33.3333
32.899075873,600000,32.8767
33.081216862,600000,32.3944
33.264096185,600000,29.4118
33.449652383,600000,31.9444
33.632084101,600000,30.9859
33.816671758,600000,31.9444
33.998658476,600000,33.3333
34.180566862,600000,31.4286
34.362791028,600000,30
34.545453476,600000,31.4286
34.728167330,600000,34.2466
34.913499205,600000,32.4324
35.098640195,600000,30.9859
35.280593997,600000,31.4286
35.463925403,600000,30
35.648749934,600000,30.9859
35.831472538,600000,32.3944
36.014514569,600000,30
36.198301132,600000,34.6667
36.385376757,600000,31.9444
36.568436913,600000,36
36.751599829,600000,31.9444
36.935253840,600000,30
37.118994517,600000,34.2466
37.302559256,600000,30
37.485033475,600000,32.8767
37.668147746,600000,34.2466
37.851121391,600000,31.4286
38.034212641,600000,30.9859
38.218126964,600000,32.8767
38.400268579,600000,33.3333
38.584429308,600000,30.9859
38.767327485,600000,38.4615
38.948805401,600000,32.3944
39.136638422,600000,36.8421
39.319587849,600000,32.8767
39.527736807,600000,55
39.718068057,600000,46.25
39.899918109,600000,32.3944
40.082080089,600000,32.3944
40.264517380,600000,28.9855
40.447285870,600000,35.1351
40.629424932,600000,32.3944
40.812020817,600000,30
40.995673630,600000,31.4286
41.178502067,600000,31.4286
41.360654671,600000,32.8767
41.544213942,600000,30.4348
41.727487119,600000,35.5263
41.909589254,600000,32.3944
42.093941807,600000,28.9855
42.279060296,600000,32.8767
42.463032431,600000,30
42.647419983,600000,33.3333
42.830909410,600000,31.9444
43.015504931,600000,30.9859
43.198894150,600000,35.1351
43.386742639,600000,32.4324
43.570748368,600000,31.4286
43.755261389,600000,31.9444
43.939733108,600000,31.9444
44.123924827,600000,30
44.306691493,600000,35.1351
44.501241285,600000,31.5068
44.683809722,600000,30
44.867531962,600000,32.8767
45.051838264,600000,31.9444
45.234085347,600000,29.4118
45.420943055,600000,32.4324
45.605259461,600000,30.4348
45.788120711,600000,32.8767
45.970042690,600000,32.3944
46.152431076,600000,30
46.335446492,600000,31.4286
46.517791024,600000,36
46.699578211,600000,31.9444
46.886558836,600000,32.8767
47.068639096,600000,33.7838
47.251397065,600000,35.1351
47.434544148,600000,30
47.617707794,600000,36.8421
47.799891909,600000,32.8767
47.985939200,600000,32.3944
48.170120815,600000,33.3333
48.354496492,600000,31.4286
48.537247377,600000,34.6667
48.719571856,600000,32.3944
48.903486752,600000,31.9444
49.088693106,600000,32.8767
49.272713158,600000,31.9444
49.456313210,600000,32.8767
49.645560293,600000,32.4675
49.829002220,600000,32.3944
50.013641595,600000,31.9444
50.197362533,600000,34.6667
50.380020918,600000,34.2466
50.564056960,600000,30
50.748841230,600000,31.9444
50.932828782,600000,31.9444
51.116873001,600000,31.9444
51.299242897,600000,34.6667
51.484504511,600000,30
51.668423470,600000,35.1351
51.850930605,600000,32.8767
52.033925240,600000,30.4348
52.217402323,600000,33.7838
52.400063157,600000,31.9444
52.583398990,600000,30.4348
52.767990292,600000,33.7838
52.954107844,600000,30.5556
53.137807531,600000,34.2466
53.320490813,600000,30.9859
53.503928938,600000,30
53.687653469,600000,35.1351
53.871556177,600000,32.8767
54.054921437,600000,30.9859
54.238127010,600000,34.6667
54.425428156,600000,34.6667
