phase, avg util, total util, total time
idle,32.071153,160.520194,5.005127
turn_on,36.986300,8.470528,0.229018
turn_on_idle,33.398590,167.146719,5.004604
scan,31.967617,530.601226,16.598085
scan_idle,31.963891,159.982820,5.005111
connect,33.977163,150.650936,4.433888
connect_idle,32.351534,161.924509,5.005157
200,30.890285,0.064592,0.002091
500,33.762126,0.047098,0.001395
1000,32.329352,0.049852,0.001542
2000,32.059091,0.060335,0.001882
5000,31.658108,0.098710,0.003118
10000,32.527798,0.108318,0.003330
20000,33.040630,0.223784,0.006773
50000,32.876428,8.812494,0.268049
100000,32.690395,221.262288,6.768419
200000,32.558585,463.593905,14.238761
500000,32.572376,1449.484325,44.500417
1000000,32.592311,2776.907023,85.201293
