phase, avg util, total util, total time
idle,31.890110,159.616859,5.005215
turn_on,49.350600,9.980764,0.202242
turn_on_idle,32.995397,165.145722,5.005114
connect,31.506800,4.556356,0.144615
connect_idle,31.876805,159.549273,5.005184
set_bw,50.340942,19.389368,0.385161
200,32.174418,0.048390,0.001504
500,32.603596,0.040526,0.001243
1000,31.636696,0.041286,0.001305
2000,32.541995,0.047804,0.001469
5000,31.926680,0.072633,0.002275
10000,32.102093,0.056757,0.001768
20000,32.508038,0.089137,0.002742
50000,32.109946,0.068426,0.002131
100000,31.028666,3.787390,0.122061
200000,32.702459,109.846121,3.358956
500000,32.574008,558.370383,17.141593
1000000,33.016034,1286.754277,38.973617
2000000,32.828654,2679.577732,81.623138
5000000,32.852209,7014.733324,213.523948
