# Thu Jun 06 21:05:09 2019
abstime,time_stamp,volt,curr,pf,mul
1559880309876,0.079,122.0,0.05022,0.533,3.26560572
1559880309924,0.126,122.0,0.05022,0.533,3.26560572
1559880309970,0.172,122.0,0.05022,0.533,3.26560572
1559880310021,0.223,122.0,0.0493,0.53,3.187738
1559880310067,0.269,122.0,0.0493,0.53,3.187738
1559880310113,0.315,122.0,0.0493,0.53,3.187738
1559880310159,0.361,122.0,0.0493,0.53,3.187738
1559880310220,0.422,122.0,0.04852,0.525,3.107706
1559880310266,0.468,122.0,0.04852,0.525,3.107706
1559880310312,0.514,122.0,0.04852,0.525,3.107706
1559880310358,0.56,122.0,0.04852,0.525,3.107706
1559880310420,0.622,122.0,0.04853,0.529,3.13202914
1559880310466,0.668,122.0,0.04853,0.529,3.13202914
1559880310512,0.714,122.0,0.04853,0.529,3.13202914
1559880310558,0.76,122.0,0.04853,0.529,3.13202914
1559880310621,0.823,122.0,0.04827,0.528,3.10936032
1559880310667,0.869,122.0,0.04827,0.528,3.10936032
1559880310713,0.915,122.0,0.04827,0.528,3.10936032
1559880310759,0.961,122.0,0.04827,0.528,3.10936032
1559880310820,1.022,122.0,0.04798,0.531,3.10824036
1559880310866,1.068,122.0,0.04798,0.531,3.10824036
1559880310913,1.115,122.0,0.04798,0.531,3.10824036
1559880310959,1.161,122.0,0.04798,0.531,3.10824036
1559880311021,1.223,122.0,0.04843,0.527,3.11375842
1559880311067,1.269,122.0,0.04843,0.527,3.11375842
1559880311113,1.315,122.0,0.04843,0.527,3.11375842
1559880311159,1.361,122.0,0.04843,0.527,3.11375842
1559880311220,1.422,122.0,0.04819,0.529,3.11008622
1559880311266,1.468,122.0,0.04819,0.529,3.11008622
1559880311312,1.514,122.0,0.04819,0.529,3.11008622
1559880311359,1.561,122.0,0.04819,0.529,3.11008622
1559880311420,1.622,122.0,0.04803,0.531,3.11147946
1559880311466,1.668,122.0,0.04803,0.531,3.11147946
1559880311512,1.714,122.0,0.04803,0.531,3.11147946
1559880311558,1.76,122.0,0.04803,0.531,3.11147946
1559880311621,1.823,122.0,0.04802,0.53,3.1049732
1559880311667,1.869,122.0,0.04802,0.53,3.1049732
1559880311713,1.915,122.0,0.04802,0.53,3.1049732
1559880311759,1.961,122.0,0.04802,0.53,3.1049732
1559880311820,2.022,122.0,0.04813,0.53,3.1120858
1559880311866,2.068,122.0,0.04813,0.53,3.1120858
1559880311912,2.114,122.0,0.04813,0.53,3.1120858
1559880311958,2.16,122.0,0.04813,0.53,3.1120858
1559880312021,2.223,122.0,0.04809,0.53,3.1094994
1559880312067,2.269,122.0,0.04809,0.53,3.1094994
1559880312113,2.315,122.0,0.04809,0.53,3.1094994
1559880312159,2.361,122.0,0.04809,0.53,3.1094994
1559880312220,2.422,122.0,0.04809,0.53,3.1094994
1559880312267,2.469,122.0,0.04809,0.53,3.1094994
1559880312313,2.515,122.0,0.04809,0.53,3.1094994
1559880312359,2.561,122.0,0.04809,0.53,3.1094994
1559880312420,2.622,122.0,0.04797,0.533,3.11929722
1559880312466,2.668,122.0,0.04797,0.533,3.11929722
1559880312512,2.714,122.0,0.04797,0.533,3.11929722
1559880312558,2.76,122.0,0.04797,0.533,3.11929722
1559880312619,2.821,122.0,0.04794,0.531,3.10564908
