phase, avg pwr, total energy, total time
idle,3.111358,15.572646,5.005096
turn_on,3.108240,0.494751,0.159174
turn_on_idle,3.320665,16.620265,5.005101
connect,3.264153,0.285202,0.087374
connect_idle,3.265468,16.343911,5.005075
set_bw,3.348014,1.065469,0.318239
200,3.261508,0.003454,0.001059
500,3.295834,0.003721,0.001129
1000,3.260164,0.003309,0.001015
2000,3.259688,0.003993,0.001225
5000,3.274508,0.004434,0.001354
10000,3.258964,0.004748,0.001457
20000,3.284010,0.004969,0.001513
50000,3.260837,0.005883,0.001804
100000,3.269030,0.394225,0.120594
200000,3.304671,10.637572,3.218950
500000,3.307107,55.315317,16.726194
1000000,3.311402,130.330314,39.358044
2000000,3.312602,273.326662,82.511173
5000000,3.292118,705.951746,214.436959
