# Fri Jun 07 18:29:44 2019
abstime,time_stamp,volt,curr,pf,mul
1559957384654,0.079,121.9,0.05834,0.508,3.612716168
1559957384701,0.127,121.9,0.05834,0.508,3.612716168
1559957384747,0.173,121.9,0.05834,0.508,3.612716168
1559957384793,0.219,121.8,0.05423,0.501,3.309212214
1559957384839,0.265,121.8,0.05423,0.501,3.309212214
1559957384885,0.31,121.8,0.05423,0.501,3.309212214
1559957384931,0.357,121.8,0.05423,0.501,3.309212214
1559957384976,0.401,121.8,0.0538,0.5,3.27642
1559957385022,0.447,121.8,0.0538,0.5,3.27642
1559957385068,0.493,121.8,0.0538,0.5,3.27642
1559957385114,0.539,121.8,0.0538,0.5,3.27642
1559957385175,0.601,121.9,0.05364,0.501,3.275896716
1559957385221,0.646,121.9,0.05364,0.501,3.275896716
1559957385266,0.691,121.9,0.05364,0.501,3.275896716
1559957385312,0.737,121.9,0.05364,0.501,3.275896716
1559957385375,0.8,121.9,0.05345,0.503,3.277324165
1559957385421,0.846,121.9,0.05345,0.503,3.277324165
1559957385467,0.892,121.9,0.05345,0.503,3.277324165
1559957385513,0.938,121.9,0.05345,0.503,3.277324165
1559957385575,1.0,121.9,0.054,0.498,3.2781348
1559957385622,1.047,121.9,0.054,0.498,3.2781348
1559957385668,1.093,121.9,0.054,0.498,3.2781348
1559957385714,1.139,121.9,0.054,0.498,3.2781348
1559957385775,1.2,121.8,0.05379,0.5,3.275811
1559957385821,1.246,121.8,0.05379,0.5,3.275811
1559957385867,1.292,121.8,0.05379,0.5,3.275811
1559957385913,1.338,121.8,0.05379,0.5,3.275811
1559957385975,1.4,121.8,0.05417,0.496,3.272561376
1559957386022,1.447,121.8,0.05417,0.496,3.272561376
1559957386068,1.493,121.8,0.05417,0.496,3.272561376
1559957386114,1.539,121.8,0.05417,0.496,3.272561376
1559957386175,1.6,121.9,0.0537,0.501,3.27956103
1559957386221,1.646,121.9,0.0537,0.501,3.27956103
1559957386267,1.692,121.9,0.0537,0.501,3.27956103
1559957386313,1.738,121.9,0.0537,0.501,3.27956103
1559957386375,1.8,121.9,0.05406,0.498,3.281777172
1559957386421,1.846,121.9,0.05406,0.498,3.281777172
1559957386467,1.892,121.9,0.05406,0.498,3.281777172
1559957386513,1.938,121.9,0.05406,0.498,3.281777172
1559957386576,2.001,121.9,0.05429,0.499,3.302357549
1559957386622,2.047,121.9,0.05429,0.499,3.302357549
1559957386668,2.093,121.9,0.05429,0.499,3.302357549
1559957386714,2.139,121.9,0.05429,0.499,3.302357549
1559957386775,2.2,121.8,0.05357,0.502,3.275462652
1559957386822,2.247,121.8,0.05357,0.502,3.275462652
1559957386868,2.293,121.8,0.05357,0.502,3.275462652
1559957386914,2.339,121.8,0.05357,0.502,3.275462652
1559957386975,2.4,121.8,0.05396,0.498,3.273019344
1559957387021,2.446,121.8,0.05396,0.498,3.273019344
1559957387067,2.492,121.8,0.05396,0.498,3.273019344
1559957387114,2.539,121.8,0.05396,0.498,3.273019344
1559957387175,2.6,121.9,0.05353,0.503,3.282229421
1559957387221,2.646,121.9,0.05353,0.503,3.282229421
1559957387268,2.693,121.9,0.05353,0.503,3.282229421
1559957387314,2.739,121.9,0.05353,0.503,3.282229421
1559957387375,2.8,121.9,0.05368,0.501,3.278339592
1559957387421,2.846,121.9,0.05368,0.501,3.278339592
1559957387467,2.892,121.9,0.05368,0.501,3.278339592
1559957387514,2.939,121.9,0.05368,0.501,3.278339592
1559957387575,3.0,121.9,0.05405,0.497,3.274581415
1559957387620,3.045,121.9,0.05405,0.497,3.274581415
1559957387667,3.092,121.9,0.05405,0.497,3.274581415
1559957387714,3.139,121.9,0.05405,0.497,3.274581415
1559957387775,3.2,121.8,0.05347,0.503,3.275860938
1559957387821,3.246,121.8,0.05347,0.503,3.275860938
1559957387867,3.292,121.8,0.05347,0.503,3.275860938
1559957387913,3.338,121.8,0.05347,0.503,3.275860938
1559957387975,3.401,121.8,0.05333,0.504,3.273779376
1559957388021,3.447,121.8,0.05333,0.504,3.273779376
1559957388068,3.493,121.8,0.05333,0.504,3.273779376
1559957388114,3.539,121.8,0.05333,0.504,3.273779376
1559957388175,3.6,121.9,0.05389,0.499,3.278026309
1559957388221,3.646,121.9,0.05389,0.499,3.278026309
1559957388267,3.692,121.9,0.05389,0.499,3.278026309
1559957388314,3.739,121.9,0.05389,0.499,3.278026309
1559957388375,3.8,121.9,0.05364,0.501,3.275896716
1559957388421,3.846,121.9,0.05364,0.501,3.275896716
1559957388467,3.892,121.9,0.05364,0.501,3.275896716
1559957388513,3.938,121.9,0.05364,0.501,3.275896716
1559957388575,4.0,121.9,0.05395,0.498,3.27509949
1559957388621,4.046,121.9,0.05395,0.498,3.27509949
1559957388667,4.092,121.9,0.05395,0.498,3.27509949
1559957388713,4.138,121.9,0.05395,0.498,3.27509949
1559957388775,4.2,121.9,0.05374,0.5,3.275453
1559957388821,4.246,121.9,0.05374,0.5,3.275453
1559957388867,4.292,121.9,0.05374,0.5,3.275453
1559957388913,4.338,121.9,0.05374,0.5,3.275453
1559957388975,4.4,121.8,0.05388,0.498,3.268166832
1559957389021,4.446,121.8,0.05388,0.498,3.268166832
1559957389067,4.492,121.8,0.05388,0.498,3.268166832
1559957389113,4.538,121.8,0.05388,0.498,3.268166832
1559957389175,4.6,121.9,0.05348,0.503,3.279163636
1559957389221,4.646,121.9,0.05348,0.503,3.279163636
1559957389267,4.692,121.9,0.05348,0.503,3.279163636
1559957389313,4.738,121.9,0.05348,0.503,3.279163636
1559957389375,4.8,121.9,0.05424,0.497,3.286092432
1559957389421,4.846,121.9,0.05424,0.497,3.286092432
1559957389467,4.893,121.9,0.05424,0.497,3.286092432
1559957389514,4.939,121.9,0.05424,0.497,3.286092432
1559957389575,5.0,121.9,0.05366,0.501,3.277118154
1559957389621,5.046,121.9,0.05366,0.501,3.277118154
1559957389667,5.092,121.9,0.05366,0.501,3.277118154
1559957389713,5.138,121.9,0.05366,0.501,3.277118154
1559957389775,5.2,121.8,0.05421,0.496,3.274977888
1559957389821,5.246,121.8,0.05421,0.496,3.274977888
1559957389867,5.292,121.8,0.05421,0.496,3.274977888
1559957389913,5.338,121.8,0.05421,0.496,3.274977888
1559957389974,5.399,121.8,0.05359,0.501,3.270158262
1559957390020,5.445,121.8,0.05359,0.501,3.270158262
1559957390066,5.492,121.8,0.05359,0.501,3.270158262
1559957390113,5.538,121.8,0.05359,0.501,3.270158262
1559957390175,5.6,121.9,0.05383,0.499,3.274376623
1559957390221,5.646,121.9,0.05383,0.499,3.274376623
1559957390267,5.692,121.9,0.05383,0.499,3.274376623
1559957390314,5.739,121.9,0.05383,0.499,3.274376623
1559957390375,5.8,121.9,0.05401,0.499,3.285325681
1559957390421,5.846,121.9,0.05401,0.499,3.285325681
1559957390467,5.892,121.9,0.05401,0.499,3.285325681
1559957390513,5.938,121.9,0.05401,0.499,3.285325681
1559957390574,5.999,121.9,0.05372,0.5,3.274234
1559957390620,6.045,121.9,0.05372,0.5,3.274234
1559957390666,6.091,121.9,0.05372,0.5,3.274234
1559957390712,6.137,121.9,0.05372,0.5,3.274234
1559957390775,6.2,121.9,0.05354,0.503,3.282842578
1559957390821,6.246,121.9,0.05354,0.503,3.282842578
1559957390867,6.292,121.9,0.05354,0.503,3.282842578
1559957390913,6.338,121.9,0.05354,0.503,3.282842578
1559957390974,6.399,121.8,0.05378,0.506,3.314504424
1559957391020,6.445,121.8,0.05378,0.506,3.314504424
1559957391066,6.491,121.8,0.05378,0.506,3.314504424
1559957391112,6.537,121.8,0.05378,0.506,3.314504424
1559957391175,6.6,121.9,0.05486,0.503,3.363779302
1559957391221,6.646,121.9,0.05486,0.503,3.363779302
1559957391267,6.692,121.9,0.05486,0.503,3.363779302
1559957391313,6.738,121.9,0.05486,0.503,3.363779302
1559957391374,6.799,121.9,0.05387,0.5,3.2833765
1559957391420,6.845,121.9,0.05387,0.5,3.2833765
1559957391466,6.891,121.9,0.05387,0.5,3.2833765
1559957391512,6.937,121.9,0.05387,0.5,3.2833765
1559957391575,7.0,121.9,0.05408,0.497,3.276398944
1559957391621,7.046,121.9,0.05408,0.497,3.276398944
1559957391667,7.092,121.9,0.05408,0.497,3.276398944
1559957391713,7.138,121.9,0.05408,0.497,3.276398944
1559957391776,7.201,121.9,0.06164,0.518,3.892208488
1559957391822,7.247,121.9,0.06164,0.518,3.892208488
1559957391868,7.293,121.9,0.06164,0.518,3.892208488
1559957391914,7.339,121.9,0.06164,0.518,3.892208488
1559957391975,7.4,121.8,0.05697,0.506,3.511106676
1559957392021,7.446,121.8,0.05697,0.506,3.511106676
1559957392067,7.492,121.8,0.05697,0.506,3.511106676
1559957392113,7.538,121.8,0.05697,0.506,3.511106676
1559957392174,7.599,121.8,0.05778,0.507,3.568065228
1559957392220,7.645,121.8,0.05778,0.507,3.568065228
1559957392266,7.691,121.8,0.05778,0.507,3.568065228
1559957392312,7.737,121.8,0.05778,0.507,3.568065228
1559957392375,7.8,121.9,0.06037,0.514,3.782578942
1559957392421,7.846,121.9,0.06037,0.514,3.782578942
1559957392467,7.892,121.9,0.06037,0.514,3.782578942
1559957392513,7.938,121.9,0.06037,0.514,3.782578942
1559957392574,7.999,121.9,0.05653,0.51,3.51441357
1559957392620,8.045,121.9,0.05653,0.51,3.51441357
1559957392669,8.094,121.9,0.05653,0.51,3.51441357
1559957392715,8.14,121.9,0.05653,0.51,3.51441357
1559957392774,8.199,121.9,0.05717,0.508,3.540263684
1559957392820,8.245,121.9,0.05717,0.508,3.540263684
1559957392866,8.291,121.9,0.05717,0.508,3.540263684
1559957392912,8.337,121.9,0.05717,0.508,3.540263684
1559957392974,8.399,121.8,0.06131,0.515,3.84579237
1559957393020,8.445,121.8,0.06131,0.515,3.84579237
1559957393067,8.492,121.8,0.06131,0.515,3.84579237
1559957393113,8.538,121.8,0.06131,0.515,3.84579237
1559957393174,8.599,121.9,0.05645,0.5,3.4406275
1559957393220,8.645,121.9,0.05645,0.5,3.4406275
1559957393266,8.691,121.9,0.05645,0.5,3.4406275
1559957393312,8.737,121.9,0.05645,0.5,3.4406275
1559957393374,8.799,121.9,0.05611,0.504,3.447263736
1559957393420,8.845,121.9,0.05611,0.504,3.447263736
1559957393467,8.892,121.9,0.05611,0.504,3.447263736
1559957393513,8.938,121.9,0.05611,0.504,3.447263736
1559957393574,8.999,121.9,0.05604,0.505,3.44979438
1559957393620,9.045,121.9,0.05604,0.505,3.44979438
1559957393666,9.091,121.9,0.05604,0.505,3.44979438
1559957393712,9.137,121.9,0.05604,0.505,3.44979438
1559957393775,9.2,121.8,0.05692,0.503,3.487226568
1559957393821,9.246,121.8,0.05692,0.503,3.487226568
1559957393867,9.292,121.8,0.05692,0.503,3.487226568
1559957393913,9.338,121.8,0.05692,0.503,3.487226568
1559957393975,9.4,121.8,0.05662,0.503,3.468846948
1559957394021,9.446,121.8,0.05662,0.503,3.468846948
1559957394067,9.492,121.8,0.05662,0.503,3.468846948
1559957394113,9.538,121.8,0.05662,0.503,3.468846948
1559957394174,9.599,121.9,0.05625,0.501,3.435294375
1559957394220,9.645,121.9,0.05625,0.501,3.435294375
1559957394266,9.691,121.9,0.05625,0.501,3.435294375
1559957394313,9.738,121.9,0.05625,0.501,3.435294375
1559957394374,9.799,121.9,0.05596,0.505,3.44486962
1559957394420,9.845,121.9,0.05596,0.505,3.44486962
1559957394466,9.891,121.9,0.05596,0.505,3.44486962
1559957394512,9.937,121.9,0.05596,0.505,3.44486962
1559957394574,9.999,121.9,0.05547,0.507,3.428229051
1559957394620,10.045,121.9,0.05547,0.507,3.428229051
1559957394666,10.091,121.9,0.05547,0.507,3.428229051
1559957394712,10.137,121.9,0.05547,0.507,3.428229051
1559957394775,10.2,121.8,0.05598,0.504,3.436455456
1559957394821,10.246,121.8,0.05598,0.504,3.436455456
1559957394867,10.292,121.8,0.05598,0.504,3.436455456
1559957394913,10.338,121.8,0.05598,0.504,3.436455456
1559957394974,10.399,121.8,0.05615,0.502,3.43321314
1559957395020,10.445,121.8,0.05615,0.502,3.43321314
1559957395066,10.491,121.8,0.05615,0.502,3.43321314
1559957395113,10.538,121.8,0.05615,0.502,3.43321314
1559957395174,10.599,121.8,0.05598,0.504,3.436455456
1559957395220,10.645,121.8,0.05598,0.504,3.436455456
1559957395266,10.691,121.8,0.05598,0.504,3.436455456
1559957395312,10.737,121.8,0.05598,0.504,3.436455456
1559957395374,10.799,121.9,0.05615,0.503,3.442876555
1559957395420,10.845,121.9,0.05615,0.503,3.442876555
1559957395467,10.892,121.9,0.05615,0.503,3.442876555
1559957395513,10.938,121.9,0.05615,0.503,3.442876555
1559957395574,10.999,121.9,0.05623,0.501,3.434072937
1559957395620,11.045,121.9,0.05623,0.501,3.434072937
1559957395666,11.091,121.9,0.05623,0.501,3.434072937
1559957395712,11.137,121.9,0.05623,0.501,3.434072937
1559957395774,11.199,121.8,0.05559,0.507,3.432827034
1559957395820,11.245,121.8,0.05559,0.507,3.432827034
1559957395866,11.291,121.8,0.05559,0.507,3.432827034
1559957395913,11.338,121.8,0.05559,0.507,3.432827034
1559957395974,11.399,121.8,0.05542,0.508,3.429079248
1559957396019,11.444,121.8,0.05542,0.508,3.429079248
1559957396066,11.491,121.8,0.05542,0.508,3.429079248
1559957396112,11.537,121.8,0.05542,0.508,3.429079248
1559957396174,11.599,121.8,0.05551,0.507,3.427886826
1559957396220,11.645,121.8,0.05551,0.507,3.427886826
1559957396266,11.691,121.8,0.05551,0.507,3.427886826
