# Fri Jun 07 16:37:46 2019
abstime,time_stamp,volt,curr,pf,mul
1559950666957,0.08,121.7,0.05645,0.517,3.551771905
1559950667004,0.127,121.7,0.05645,0.517,3.551771905
1559950667050,0.173,121.7,0.05645,0.517,3.551771905
1559950667096,0.219,121.7,0.05329,0.513,3.327006609
1559950667142,0.265,121.7,0.05329,0.513,3.327006609
1559950667188,0.311,121.7,0.05329,0.513,3.327006609
1559950667234,0.357,121.7,0.05329,0.513,3.327006609
1559950667279,0.402,121.6,0.05269,0.511,3.274030144
1559950667325,0.448,121.6,0.05269,0.511,3.274030144
1559950667371,0.494,121.6,0.05269,0.511,3.274030144
1559950667417,0.54,121.6,0.05269,0.511,3.274030144
1559950667476,0.599,121.6,0.05246,0.514,3.278875904
1559950667522,0.645,121.6,0.05246,0.514,3.278875904
1559950667568,0.691,121.6,0.05246,0.514,3.278875904
1559950667614,0.737,121.6,0.05246,0.514,3.278875904
1559950667676,0.799,121.6,0.05254,0.513,3.277487232
1559950667722,0.846,121.6,0.05254,0.513,3.277487232
1559950667769,0.892,121.6,0.05254,0.513,3.277487232
1559950667815,0.938,121.6,0.05254,0.513,3.277487232
1559950667876,0.999,121.6,0.05264,0.513,3.283725312
1559950667922,1.045,121.6,0.05264,0.513,3.283725312
1559950667968,1.091,121.6,0.05264,0.513,3.283725312
1559950668014,1.137,121.6,0.05264,0.513,3.283725312
1559950668076,1.199,121.6,0.05264,0.512,3.277324288
1559950668122,1.246,121.6,0.05264,0.512,3.277324288
1559950668168,1.292,121.6,0.05264,0.512,3.277324288
1559950668215,1.338,121.6,0.05264,0.512,3.277324288
1559950668276,1.399,121.5,0.05285,0.514,3.30053535
1559950668322,1.445,121.5,0.05285,0.514,3.30053535
1559950668368,1.491,121.5,0.05285,0.514,3.30053535
1559950668414,1.537,121.5,0.05285,0.514,3.30053535
1559950668476,1.599,121.5,0.05259,0.514,3.28429809
1559950668522,1.645,121.5,0.05259,0.514,3.28429809
1559950668568,1.691,121.5,0.05259,0.514,3.28429809
1559950668614,1.737,121.5,0.05259,0.514,3.28429809
1559950668677,1.8,121.5,0.05234,0.515,3.27504465
1559950668723,1.846,121.5,0.05234,0.515,3.27504465
1559950668769,1.892,121.5,0.05234,0.515,3.27504465
1559950668815,1.938,121.5,0.05234,0.515,3.27504465
1559950668876,1.999,121.5,0.05259,0.513,3.277908405
1559950668922,2.045,121.5,0.05259,0.513,3.277908405
1559950668968,2.091,121.5,0.05259,0.513,3.277908405
1559950669014,2.137,121.5,0.05259,0.513,3.277908405
1559950669077,2.2,121.5,0.05271,0.512,3.27898368
1559950669123,2.246,121.5,0.05271,0.512,3.27898368
1559950669169,2.292,121.5,0.05271,0.512,3.27898368
1559950669215,2.338,121.5,0.05271,0.512,3.27898368
1559950669276,2.399,121.5,0.05239,0.514,3.27180789
1559950669322,2.445,121.5,0.05239,0.514,3.27180789
1559950669368,2.491,121.5,0.05239,0.514,3.27180789
1559950669414,2.537,121.5,0.05239,0.514,3.27180789
1559950669476,2.599,121.5,0.05264,0.512,3.27462912
1559950669522,2.645,121.5,0.05264,0.512,3.27462912
1559950669568,2.692,121.5,0.05264,0.512,3.27462912
1559950669615,2.738,121.5,0.05264,0.512,3.27462912
1559950669676,2.799,121.5,0.05251,0.513,3.272922045
1559950669722,2.845,121.5,0.05251,0.513,3.272922045
1559950669768,2.891,121.5,0.05251,0.513,3.272922045
1559950669814,2.937,121.5,0.05251,0.513,3.272922045
1559950669876,2.999,121.6,0.0527,0.511,3.27465152
1559950669922,3.045,121.6,0.0527,0.511,3.27465152
1559950669968,3.091,121.6,0.0527,0.511,3.27465152
1559950670015,3.138,121.6,0.0527,0.511,3.27465152
1559950670076,3.199,121.6,0.05276,0.513,3.291211008
1559950670122,3.245,121.6,0.05276,0.513,3.291211008
1559950670168,3.291,121.6,0.05276,0.513,3.291211008
1559950670214,3.337,121.6,0.05276,0.513,3.291211008
1559950670276,3.399,121.6,0.05234,0.514,3.271375616
1559950670322,3.445,121.6,0.05234,0.514,3.271375616
1559950670368,3.491,121.6,0.05234,0.514,3.271375616
1559950670414,3.538,121.6,0.05234,0.514,3.271375616
1559950670476,3.599,121.6,0.05247,0.513,3.273120576
1559950670522,3.645,121.6,0.05247,0.513,3.273120576
1559950670568,3.691,121.6,0.05247,0.513,3.273120576
1559950670614,3.737,121.6,0.05247,0.513,3.273120576
1559950670676,3.799,121.6,0.05248,0.513,3.273744384
1559950670722,3.845,121.6,0.05248,0.513,3.273744384
1559950670769,3.892,121.6,0.05248,0.513,3.273744384
1559950670815,3.938,121.6,0.05248,0.513,3.273744384
1559950670876,3.999,121.6,0.0525,0.513,3.274992
1559950670922,4.045,121.6,0.0525,0.513,3.274992
1559950670968,4.091,121.6,0.0525,0.513,3.274992
1559950671014,4.137,121.6,0.0525,0.513,3.274992
1559950671076,4.199,121.6,0.05273,0.512,3.282927616
1559950671122,4.245,121.6,0.05273,0.512,3.282927616
1559950671168,4.291,121.6,0.05273,0.512,3.282927616
1559950671215,4.338,121.6,0.05273,0.512,3.282927616
1559950671276,4.399,121.6,0.05241,0.514,3.275750784
1559950671322,4.445,121.6,0.05241,0.514,3.275750784
1559950671368,4.491,121.6,0.05241,0.514,3.275750784
