phase, avg pwr, total energy, total time
idle,3.277701,16.405078,5.005056
turn_on,3.276399,0.335657,0.102447
turn_on_idle,3.502018,17.527849,5.005071
connect_idle,3.453921,103.721471,30.030061
100,1,3.440289,17.219669,5.005298
100,2,3.448505,17.261467,5.005493
100,4,3.456318,51.582170,14.924023
100,5,3.452628,103.832637,30.073507
100,8,3.454241,106.799930,30.918493
100,10,3.451541,166.617533,48.273377
100,20,3.454726,312.160741,90.357591
100,50,3.454736,772.484649,223.601667
200,1,3.459275,17.314676,5.005290
200,2,3.451041,17.274367,5.005553
200,4,3.461760,17.328140,5.005587
200,5,3.461799,49.636303,14.338297
200,8,3.468860,64.456473,18.581457
200,10,3.463130,76.007527,21.947642
200,20,3.392886,154.466236,45.526499
200,50,3.379276,369.311840,109.287283
500,1,3.364517,16.840261,5.005254
500,2,3.358713,16.811868,5.005450
500,4,3.402063,17.029987,5.005783
500,5,3.403342,17.070767,5.015883
500,8,3.406373,19.805752,5.814323
500,10,3.406427,29.130793,8.551715
500,20,3.410892,60.346607,17.692322
500,50,3.394960,148.277102,43.675660
1000,1,3.362033,16.827770,5.005237
1000,2,3.379086,16.914003,5.005496
1000,4,3.378999,16.914242,5.005696
1000,5,3.383674,16.972402,5.015968
1000,8,3.385646,16.949104,5.006166
1000,10,3.403040,17.378579,5.106781
1000,20,3.402503,27.523577,8.089214
1000,50,3.409964,74.293993,21.787323
2000,1,3.376481,16.900176,5.005263
2000,2,3.357343,16.805028,5.005455
2000,4,3.367397,16.856292,5.005733
2000,5,3.380880,16.959013,5.016153
2000,8,3.389285,16.968016,5.006371
2000,10,3.393980,17.331749,5.106615
2000,20,3.416596,17.279931,5.057646
2000,50,3.439692,35.581501,10.344387
5000,1,3.363546,16.835324,5.005230
5000,2,3.384236,16.939678,5.005466
5000,4,3.362149,16.829858,5.005684
5000,5,3.371897,16.913318,5.015966
5000,8,3.375452,16.898316,5.006238
5000,10,3.414984,17.439154,5.106658
5000,20,3.430281,17.349343,5.057704
5000,50,3.487888,17.572651,5.038193
10000,1,3.355930,16.797198,5.005229
10000,2,3.353380,16.785107,5.005430
10000,4,3.363714,16.837816,5.005722
10000,5,3.397945,17.044387,5.016087
10000,8,3.383041,16.936281,5.006230
10000,10,3.378625,17.252923,5.106492
10000,20,3.408505,17.238787,5.057580
10000,50,3.476315,17.514555,5.038253
20000,1,3.357877,16.806998,5.005245
20000,2,3.361360,16.825094,5.005443
20000,4,3.367077,16.854560,5.005695
20000,5,3.375536,16.932006,5.016094
20000,8,3.372933,16.885667,5.006226
20000,10,3.423484,17.483149,5.106830
20000,20,3.403408,17.212979,5.057571
20000,50,3.482398,17.545466,5.038329
50000,1,3.354508,16.790079,5.005228
50000,2,3.353914,16.787810,5.005439
50000,4,3.365025,16.844237,5.005680
50000,5,3.372128,16.914360,5.015931
50000,8,3.367908,16.860306,5.006166
50000,10,3.395887,17.341301,5.106560
50000,20,3.403700,17.214547,5.057599
50000,50,3.472976,17.498015,5.038334
100000,1,3.350797,16.771504,5.005229
100000,2,3.372112,16.878853,5.005425
100000,4,3.362325,16.830808,5.005705
100000,5,3.372357,16.915592,5.015956
100000,8,3.379841,16.920292,5.006239
100000,10,3.389618,17.309165,5.106524
100000,20,3.401094,17.201479,5.057631
100000,50,3.467487,17.470124,5.038267
