phase, avg pwr, total energy, total time
idle,3.278655,16.409836,5.005051
turn_on,3.273793,0.337181,0.102994
turn_on_idle,3.499680,17.516149,5.005071
connect_idle,3.440278,103.311748,30.030059
100,1000,3.435441,17.195223,5.005245
100,2000,3.435240,17.194238,5.005251
100,5000,3.435165,17.193857,5.005250
100,10000,3.446815,17.252187,5.005255
100,20000,3.444615,17.241171,5.005254
100,50000,3.447888,55.932777,16.222332
100,100000,3.443235,151.263174,43.930544
100,200000,3.445730,305.307554,88.604615
100,500000,3.444871,763.264510,221.565488
100,1000000,3.388743,1531.834356,452.036203
200,1000,3.355698,16.796315,5.005311
200,2000,3.347011,16.751252,5.004839
200,5000,3.348792,16.760224,5.004857
200,10000,3.352150,16.777055,5.004864
200,20000,3.360352,16.818117,5.004868
200,50000,3.380098,16.915716,5.004504
200,100000,3.366795,72.669841,21.584281
200,200000,3.369627,148.507365,44.072339
200,500000,3.374427,388.087549,115.008418
200,1000000,3.367693,746.018713,221.522174
500,1000,3.355576,16.795515,5.005256
500,2000,3.347324,16.754162,5.005241
500,5000,3.367156,16.853413,5.005237
500,10000,3.349405,16.764608,5.005249
500,20000,3.356038,16.795115,5.004447
500,50000,3.372903,16.882188,5.005240
500,100000,3.384290,21.983285,6.495685
500,200000,3.382053,57.628963,17.039638
500,500000,3.381678,151.078857,44.675701
500,1000000,3.380962,292.694543,86.571379
1000,1000,3.368518,16.860276,5.005251
1000,2000,3.347328,16.754253,5.005261
1000,5000,3.350007,16.767542,5.005226
1000,10000,3.350595,16.770564,5.005250
1000,20000,3.363557,16.835439,5.005249
1000,50000,3.367675,16.856075,5.005256
1000,100000,3.385459,16.945858,5.005483
1000,200000,3.396604,25.564282,7.526425
1000,500000,3.403412,75.598753,22.212633
1000,1000000,3.398709,146.802925,43.193729
2000,1000,3.348425,16.759903,5.005309
2000,2000,3.356622,16.800818,5.005276
2000,5000,3.366141,16.848365,5.005246
2000,10000,3.350885,16.772005,5.005247
2000,20000,3.351863,16.776895,5.005245
2000,50000,3.361103,16.823159,5.005250
2000,100000,3.379774,16.917365,5.005472
2000,200000,3.418647,17.113347,5.005883
2000,500000,3.435471,35.786848,10.416869
2000,1000000,3.436563,75.268201,21.902173
5000,1000,3.354213,16.788670,5.005248
5000,2000,3.346828,16.748802,5.004381
5000,5000,3.347084,16.753003,5.005253
5000,10000,3.348379,16.756700,5.004422
5000,20000,3.353585,16.785562,5.005259
5000,50000,3.369212,16.860867,5.004394
5000,100000,3.376736,16.902358,5.005531
5000,200000,3.403331,17.036530,5.005840
5000,500000,3.481442,17.778953,5.106779
5000,1000000,3.533733,30.119167,8.523329
10000,1000,3.378474,16.910123,5.005255
10000,2000,3.350057,16.767874,5.005250
10000,5000,3.349164,16.763354,5.005235
10000,10000,3.350708,16.771167,5.005261
10000,20000,3.352087,16.777445,5.005075
10000,50000,3.372651,16.880975,5.005254
10000,100000,3.386404,16.950770,5.005536
10000,200000,3.424582,17.142963,5.005856
10000,500000,3.495728,17.852255,5.106877
10000,1000000,3.562576,22.797263,6.399095
20000,1000,3.371221,16.873818,5.005254
20000,2000,3.378491,16.910220,5.005258
20000,5000,3.398720,17.011486,5.005262
20000,10000,3.373338,16.884452,5.005265
20000,20000,3.371452,16.873498,5.004817
20000,50000,3.392947,16.982602,5.005266
20000,100000,3.395321,16.995396,5.005534
20000,200000,3.428339,17.162269,5.006001
20000,500000,3.489889,17.824093,5.107352
20000,1000000,3.612948,19.428005,5.377327
50000,1000,3.370119,16.868652,5.005358
50000,2000,3.367746,16.856415,5.005251
50000,5000,3.370945,16.872367,5.005234
50000,10000,3.391657,16.976150,5.005267
50000,20000,3.372542,16.880410,5.005248
50000,50000,3.380114,16.918298,5.005245
50000,100000,3.407246,17.055166,5.005558
50000,200000,3.417677,17.108321,5.005833
50000,500000,3.526189,18.007545,5.106801
50000,1000000,3.648746,21.779955,5.969161
100000,1000,3.369810,16.867105,5.005358
100000,2000,3.363900,16.837095,5.005231
100000,5000,3.382084,16.928108,5.005230
100000,10000,3.368754,16.861387,5.005230
100000,20000,3.394778,16.991678,5.005240
100000,50000,3.392915,16.982399,5.005253
100000,100000,3.387858,16.957806,5.005465
100000,200000,3.405290,17.046059,5.005758
100000,500000,3.468656,17.713482,5.106728
100000,1000000,3.565828,26.194471,7.345972
