idle,1.027843,6.032899
turn_on,7.034105,7.136552
turn_on_idle,7.136665,12.141736
connect_idle,12.141822,42.171883
100,1,44.351786,49.357084
100,2,49.357304,54.362797
100,4,54.362959,69.286982
100,5,69.287158,88.668514
100,5,88.668678,118.742185
100,8,118.742367,149.660860
100,10,149.661014,197.934391
100,20,197.934557,288.292148
100,50,288.292303,511.893970
200,1,514.074896,519.080186
200,2,519.080397,524.085950
200,4,524.086136,529.091723
200,5,529.091885,538.654227
200,5,538.654382,552.992679
200,8,552.992842,571.574299
200,10,571.574431,593.522073
200,20,593.522253,639.048752
200,50,639.048867,748.336150
500,1,750.502447,755.507701
500,2,755.507894,760.513344
500,4,760.513497,765.519280
500,5,765.519424,770.525333
500,5,770.525483,775.541366
500,8,775.541510,781.355833
500,10,781.355976,789.907691
500,20,789.907835,807.600157
500,50,807.600309,851.275969
1000,1,853.443493,858.448730
1000,2,858.448912,863.454408
1000,4,863.454561,868.460257
1000,5,868.460392,873.466203
1000,5,873.466345,878.482313
1000,8,878.482455,883.488621
1000,10,883.488758,888.595539
1000,20,888.595678,896.684892
1000,50,896.685036,918.472359
2000,1,920.642126,925.647389
2000,2,925.647586,930.653041
2000,4,930.653182,935.658915
2000,5,935.659052,940.664929
2000,5,940.665073,945.681226
2000,8,945.681377,950.687748
2000,10,950.687887,955.794502
2000,20,955.794639,960.852285
2000,50,960.852423,971.196810
5000,1,973.364515,978.369745
5000,2,978.369925,983.375391
5000,4,983.375539,988.381223
5000,5,988.381369,993.387166
5000,5,993.387300,998.403266
5000,8,998.403406,1003.409644
5000,10,1003.409786,1008.516444
5000,20,1008.516584,1013.574288
5000,50,1013.574421,1018.612614
10000,1,1020.779789,1025.785018
10000,2,1025.785208,1030.790638
10000,4,1030.790779,1035.796501
10000,5,1035.796649,1040.802548
10000,5,1040.802682,1045.818769
10000,8,1045.818918,1050.825148
10000,10,1050.825297,1055.931789
10000,20,1055.931923,1060.989503
10000,50,1060.989640,1066.027893
20000,1,1068.194024,1073.199269
20000,2,1073.199443,1078.204886
20000,4,1078.205026,1083.210721
20000,5,1083.210862,1088.216697
20000,5,1088.216834,1093.232928
20000,8,1093.233067,1098.239293
20000,10,1098.239432,1103.346262
20000,20,1103.346412,1108.403983
20000,50,1108.404116,1113.442445
50000,1,1115.610070,1120.615298
50000,2,1120.615486,1125.620925
50000,4,1125.621064,1130.626744
50000,5,1130.626881,1135.632663
50000,5,1135.632799,1140.648730
50000,8,1140.648864,1145.655030
50000,10,1145.655168,1150.761728
50000,20,1150.761865,1155.819464
50000,50,1155.819615,1160.857949
100000,1,1163.036483,1168.041712
100000,2,1168.041897,1173.047322
100000,4,1173.047467,1178.053172
100000,5,1178.053311,1183.059103
100000,5,1183.059239,1188.075195
100000,8,1188.075332,1193.081571
100000,10,1193.081708,1198.188232
100000,20,1198.188367,1203.245998
100000,50,1203.246133,1208.284400
