idle,1.022848,6.027899
turn_on,7.029082,7.132076
turn_on_idle,7.132204,12.137275
connect_idle,12.137365,42.167424
100,1000,44.344879,49.350124
100,2000,49.350330,54.355581
100,5000,54.355786,59.361036
100,10000,59.361239,64.366494
100,20000,64.366704,69.371958
100,50000,69.372252,85.594584
100,100000,85.594813,129.525357
100,200000,129.525563,218.130178
100,500000,218.130369,439.695857
100,1000000,439.696064,891.732267
200,1000,893.898965,898.904276
200,2000,898.904465,903.909304
200,5000,903.909477,908.914334
200,10000,908.914506,913.919370
200,20000,913.919550,918.924418
200,50000,918.924634,923.929138
200,100000,923.929381,945.513662
200,200000,945.513879,989.586218
200,500000,989.586399,1104.594817
200,1000000,1104.595006,1326.117180
500,1000,1328.284225,1333.289481
500,2000,1333.289678,1338.294919
500,5000,1338.295086,1343.300323
500,10000,1343.300492,1348.305741
500,20000,1348.305928,1353.310375
500,50000,1353.310590,1358.315830
500,100000,1358.316074,1364.811759
500,200000,1364.811988,1381.851626
500,500000,1381.851808,1426.527509
500,1000000,1426.527652,1513.099031
1000,1000,1515.264876,1520.270127
1000,2000,1520.270319,1525.275580
1000,5000,1525.275755,1530.280981
1000,10000,1530.281157,1535.286407
1000,20000,1535.286594,1540.291843
1000,50000,1540.292057,1545.297313
1000,100000,1545.297558,1550.303041
1000,200000,1550.303258,1557.829683
1000,500000,1557.829865,1580.042498
1000,1000000,1580.042641,1623.236370
2000,1000,1625.402954,1630.408263
2000,2000,1630.408455,1635.413731
2000,5000,1635.413907,1640.419153
2000,10000,1640.419366,1645.424613
2000,20000,1645.424805,1650.430050
2000,50000,1650.430268,1655.435518
2000,100000,1655.435761,1660.441233
2000,200000,1660.441456,1665.447339
2000,500000,1665.447523,1675.864392
2000,1000000,1675.864573,1697.766746
5000,1000,1699.932671,1704.937919
5000,2000,1704.938105,1709.942486
5000,5000,1709.942660,1714.947913
5000,10000,1714.948091,1719.952513
5000,20000,1719.952702,1724.957961
5000,50000,1724.958176,1729.962570
5000,100000,1729.962816,1734.968347
5000,200000,1734.968560,1739.974400
5000,500000,1739.974578,1745.081357
5000,1000000,1745.081530,1753.604859
10000,1000,1755.774455,1760.779710
10000,2000,1760.779910,1765.785160
10000,5000,1765.785337,1770.790572
10000,10000,1770.790742,1775.796003
10000,20000,1775.796191,1780.801266
10000,50000,1780.801482,1785.806736
10000,100000,1785.806973,1790.812509
10000,200000,1790.812725,1795.818581
10000,500000,1795.818753,1800.925630
10000,1000000,1800.925802,1807.324897
20000,1000,1809.494881,1814.500135
20000,2000,1814.500318,1819.505576
20000,5000,1819.505755,1824.511017
20000,10000,1824.511202,1829.516467
20000,20000,1829.516640,1834.521457
20000,50000,1834.521673,1839.526939
20000,100000,1839.527187,1844.532721
20000,200000,1844.532937,1849.538938
20000,500000,1849.539112,1854.646464
20000,1000000,1854.646636,1860.023963
50000,1000,1862.195916,1867.201274
50000,2000,1867.201470,1872.206721
50000,5000,1872.206901,1877.212135
50000,10000,1877.212298,1882.217565
50000,20000,1882.217748,1887.222996
50000,50000,1887.223214,1892.228459
50000,100000,1892.228696,1897.234254
50000,200000,1897.234482,1902.240315
50000,500000,1902.240492,1907.347293
50000,1000000,1907.347468,1913.316629
100000,1000,1915.483222,1920.488580
100000,2000,1920.488783,1925.494014
100000,5000,1925.494223,1930.499453
100000,10000,1930.499633,1935.504863
100000,20000,1935.505051,1940.510291
100000,50000,1940.510509,1945.515762
100000,100000,1945.516004,1950.521469
100000,200000,1950.521692,1955.527450
100000,500000,1955.527624,1960.634352
100000,1000000,1960.634524,1967.980496
