# Tue Jun 04 17:41:05 2019
abstime,time_stamp,volt,curr,pf,mul
1559695265341,0.079,122.6,0.05252,0.528,3.399766656
1559695265389,0.126,122.6,0.05252,0.528,3.399766656
1559695265435,0.172,122.6,0.05252,0.528,3.399766656
1559695265481,0.218,122.6,0.05252,0.528,3.399766656
1559695265531,0.268,122.6,0.04934,0.52,3.14552368
1559695265577,0.314,122.6,0.04934,0.52,3.14552368
1559695265623,0.36,122.6,0.04934,0.52,3.14552368
1559695265669,0.406,122.6,0.04934,0.52,3.14552368
1559695265732,0.469,122.6,0.04882,0.519,3.106387308
1559695265778,0.515,122.6,0.04882,0.519,3.106387308
1559695265824,0.561,122.6,0.04882,0.519,3.106387308
1559695265870,0.607,122.6,0.04882,0.519,3.106387308
1559695265931,0.668,122.5,0.04892,0.519,3.1102113
1559695265977,0.714,122.5,0.04892,0.519,3.1102113
1559695266023,0.76,122.5,0.04892,0.519,3.1102113
1559695266069,0.806,122.5,0.04892,0.519,3.1102113
1559695266132,0.869,122.6,0.04903,0.517,3.107727326
1559695266178,0.915,122.6,0.04903,0.517,3.107727326
1559695266224,0.961,122.6,0.04903,0.517,3.107727326
1559695266270,1.007,122.6,0.04903,0.517,3.107727326
1559695266331,1.068,122.6,0.04902,0.517,3.107093484
1559695266377,1.114,122.6,0.04902,0.517,3.107093484
1559695266423,1.161,122.6,0.04902,0.517,3.107093484
1559695266471,1.208,122.6,0.04902,0.517,3.107093484
1559695266532,1.269,122.6,0.04904,0.518,3.114373472
1559695266578,1.315,122.6,0.04904,0.518,3.114373472
1559695266624,1.361,122.6,0.04904,0.518,3.114373472
1559695266670,1.407,122.6,0.04904,0.518,3.114373472
1559695266731,1.468,122.6,0.04887,0.518,3.103577316
1559695266777,1.514,122.6,0.04887,0.518,3.103577316
1559695266823,1.56,122.6,0.04887,0.518,3.103577316
1559695266871,1.608,122.6,0.04887,0.518,3.103577316
1559695266932,1.669,122.6,0.04883,0.519,3.107023602
1559695266978,1.715,122.6,0.04883,0.519,3.107023602
1559695267024,1.761,122.6,0.04883,0.519,3.107023602
1559695267070,1.807,122.6,0.04883,0.519,3.107023602
1559695267131,1.868,122.6,0.04912,0.516,3.107409792
1559695267177,1.914,122.6,0.04912,0.516,3.107409792
1559695267223,1.96,122.6,0.04912,0.516,3.107409792
1559695267270,2.007,122.6,0.04912,0.516,3.107409792
1559695267331,2.068,122.6,0.04891,0.518,3.106117588
1559695267377,2.114,122.6,0.04891,0.518,3.106117588
1559695267423,2.16,122.6,0.04891,0.518,3.106117588
1559695267469,2.206,122.6,0.04891,0.518,3.106117588
1559695267531,2.268,122.6,0.04884,0.518,3.101672112
1559695267578,2.315,122.6,0.04884,0.518,3.101672112
1559695267624,2.361,122.6,0.04884,0.518,3.101672112
1559695267670,2.407,122.6,0.04884,0.518,3.101672112
1559695267731,2.468,122.6,0.04932,0.515,3.11401548
1559695267777,2.514,122.6,0.04932,0.515,3.11401548
1559695267823,2.56,122.6,0.04932,0.515,3.11401548
1559695267869,2.606,122.6,0.04932,0.515,3.11401548
1559695267932,2.669,122.6,0.04981,0.515,3.14495359
1559695267978,2.715,122.6,0.04981,0.515,3.14495359
1559695268024,2.761,122.6,0.04981,0.515,3.14495359
1559695268070,2.807,122.6,0.04981,0.515,3.14495359
1559695268131,2.868,122.6,0.04873,0.52,3.10663496
1559695268177,2.914,122.6,0.04873,0.52,3.10663496
1559695268223,2.96,122.6,0.04873,0.52,3.10663496
1559695268269,3.006,122.6,0.04873,0.52,3.10663496
1559695268332,3.069,122.6,0.049,0.518,3.1118332
1559695268378,3.115,122.6,0.049,0.518,3.1118332
1559695268424,3.161,122.6,0.049,0.518,3.1118332
1559695268470,3.207,122.6,0.049,0.518,3.1118332
1559695268531,3.268,122.6,0.04895,0.517,3.10265659
1559695268577,3.314,122.6,0.04895,0.517,3.10265659
1559695268623,3.36,122.6,0.04895,0.517,3.10265659
1559695268669,3.406,122.6,0.04895,0.517,3.10265659
1559695268731,3.468,122.6,0.04916,0.515,3.10391324
1559695268777,3.514,122.6,0.04916,0.515,3.10391324
1559695268823,3.56,122.6,0.04916,0.515,3.10391324
1559695268869,3.606,122.6,0.04916,0.515,3.10391324
1559695268931,3.668,122.6,0.04885,0.519,3.10829619
