phase, avg pwr, total energy, total time
idle,3.299566,16.514997,5.005202
turn_on,3.282247,0.349566,0.106502
turn_on_idle,3.499649,17.515933,5.005055
connect,3.449776,0.669053,0.193941
connect_idle,3.436613,17.200419,5.005049
set_bw,3.498977,0.609392,0.174163
200,3.446709,0.002554,0.000741
500,3.441937,0.002468,0.000717
1000,3.437297,0.002289,0.000666
2000,3.431890,0.002945,0.000858
5000,3.436480,0.003168,0.000922
10000,3.433431,0.003300,0.000961
20000,3.447292,0.003447,0.001000
50000,3.471489,0.004082,0.001176
100000,3.456906,0.312425,0.090377
200000,3.475752,6.711361,1.930909
500000,3.510896,30.904988,8.802594
1000000,3.514180,64.779873,18.433852
