# Mon Jun 03 12:21:10 2019
abstime,time_stamp,volt,curr,pf,mul
1559589670591,0.08,121.3,0.05664,0.545,3.74438544
1559589670638,0.127,121.3,0.05664,0.545,3.74438544
1559589670684,0.173,121.3,0.05664,0.545,3.74438544
1559589670729,0.218,121.3,0.05664,0.545,3.74438544
1559589670775,0.264,121.3,0.05862,0.551,3.917943906
1559589670820,0.309,121.3,0.05862,0.551,3.917943906
1559589670866,0.355,121.3,0.05862,0.551,3.917943906
1559589670912,0.401,121.3,0.05862,0.551,3.917943906
1559589670957,0.446,121.3,0.05688,0.547,3.774050568
1559589671003,0.492,121.3,0.05688,0.547,3.774050568
1559589671049,0.538,121.3,0.05688,0.547,3.774050568
1559589671095,0.584,121.3,0.05688,0.547,3.774050568
1559589671155,0.644,121.2,0.05761,0.549,3.833300268
1559589671201,0.69,121.2,0.05761,0.549,3.833300268
1559589671247,0.736,121.2,0.05761,0.549,3.833300268
1559589671293,0.782,121.2,0.05761,0.549,3.833300268
1559589671355,0.844,121.2,0.05858,0.552,3.919142592
1559589671401,0.89,121.2,0.05858,0.552,3.919142592
1559589671447,0.936,121.2,0.05858,0.552,3.919142592
1559589671494,0.983,121.2,0.05858,0.552,3.919142592
1559589671554,1.043,121.2,0.05726,0.549,3.810011688
1559589671601,1.09,121.2,0.05726,0.549,3.810011688
1559589671647,1.136,121.2,0.05726,0.549,3.810011688
1559589671693,1.182,121.2,0.05726,0.549,3.810011688
1559589671755,1.244,121.2,0.05718,0.548,3.797758368
1559589671801,1.29,121.2,0.05718,0.548,3.797758368
1559589671847,1.336,121.2,0.05718,0.548,3.797758368
1559589671893,1.382,121.2,0.05718,0.548,3.797758368
1559589671955,1.444,121.2,0.05873,0.552,3.929177952
1559589672000,1.489,121.2,0.05873,0.552,3.929177952
1559589672047,1.536,121.2,0.05873,0.552,3.929177952
1559589672094,1.583,121.2,0.05873,0.552,3.929177952
1559589672155,1.644,121.2,0.05792,0.55,3.8609472
1559589672201,1.69,121.2,0.05792,0.55,3.8609472
1559589672247,1.736,121.2,0.05792,0.55,3.8609472
1559589672293,1.782,121.2,0.05792,0.55,3.8609472
1559589672355,1.844,121.1,0.05635,0.55,3.75319175
1559589672400,1.889,121.1,0.05635,0.55,3.75319175
1559589672447,1.936,121.1,0.05635,0.55,3.75319175
1559589672493,1.982,121.1,0.05635,0.55,3.75319175
1559589672555,2.044,121.1,0.05878,0.551,3.922160158
1559589672601,2.09,121.1,0.05878,0.551,3.922160158
1559589672647,2.136,121.1,0.05878,0.551,3.922160158
1559589672694,2.183,121.1,0.05878,0.551,3.922160158
1559589672755,2.244,121.2,0.05834,0.552,3.903086016
1559589672801,2.29,121.2,0.05834,0.552,3.903086016
1559589672847,2.336,121.2,0.05834,0.552,3.903086016
