# Mon Jun 03 14:54:41 2019
abstime,time_stamp,volt,curr,pf,mul
1559598881558,0.08,121.9,0.05228,0.527,3.358535164
1559598881605,0.127,121.9,0.05315,0.53,3.43386205
1559598881651,0.173,121.9,0.05315,0.53,3.43386205
1559598881696,0.218,121.9,0.05315,0.53,3.43386205
1559598881742,0.264,121.9,0.05315,0.53,3.43386205
1559598881788,0.31,121.9,0.05118,0.524,3.269153208
1559598881833,0.355,121.9,0.05118,0.524,3.269153208
1559598881879,0.401,121.9,0.05118,0.524,3.269153208
1559598881925,0.447,121.9,0.05118,0.524,3.269153208
1559598881988,0.511,121.9,0.05093,0.527,3.271809409
1559598882034,0.557,121.9,0.05093,0.527,3.271809409
1559598882079,0.602,121.9,0.05093,0.527,3.271809409
1559598882125,0.647,121.9,0.05093,0.527,3.271809409
1559598882189,0.711,122.0,0.05127,0.525,3.2838435
1559598882235,0.757,122.0,0.05127,0.525,3.2838435
1559598882281,0.803,122.0,0.05127,0.525,3.2838435
1559598882327,0.849,122.0,0.05127,0.525,3.2838435
1559598882389,0.911,122.0,0.05125,0.526,3.288815
1559598882435,0.957,122.0,0.05125,0.526,3.288815
1559598882481,1.003,122.0,0.05125,0.526,3.288815
1559598882527,1.049,122.0,0.05125,0.526,3.288815
1559598882588,1.11,122.0,0.05121,0.523,3.26750526
1559598882634,1.156,122.0,0.05121,0.523,3.26750526
1559598882680,1.202,122.0,0.05121,0.523,3.26750526
1559598882726,1.248,122.0,0.05121,0.523,3.26750526
1559598882789,1.311,121.9,0.0515,0.521,3.27075985
1559598882835,1.357,121.9,0.0515,0.521,3.27075985
1559598882881,1.403,121.9,0.0515,0.521,3.27075985
1559598882927,1.449,121.9,0.0515,0.521,3.27075985
1559598882988,1.51,121.9,0.05143,0.522,3.272583474
1559598883034,1.556,121.9,0.05143,0.522,3.272583474
1559598883080,1.602,121.9,0.05143,0.522,3.272583474
1559598883126,1.648,121.9,0.05143,0.522,3.272583474
1559598883189,1.711,122.0,0.05117,0.524,3.27119576
1559598883235,1.757,122.0,0.05117,0.524,3.27119576
1559598883281,1.803,122.0,0.05117,0.524,3.27119576
1559598883327,1.849,122.0,0.05117,0.524,3.27119576
1559598883388,1.91,122.0,0.05129,0.522,3.26635236
1559598883434,1.956,122.0,0.05129,0.522,3.26635236
1559598883480,2.002,122.0,0.05129,0.522,3.26635236
1559598883526,2.048,122.0,0.05129,0.522,3.26635236
1559598883589,2.111,121.9,0.05108,0.525,3.2689923
1559598883635,2.157,121.9,0.05108,0.525,3.2689923
1559598883681,2.203,121.9,0.05108,0.525,3.2689923
1559598883727,2.249,121.9,0.05108,0.525,3.2689923
1559598883788,2.31,121.9,0.05121,0.525,3.277311975
1559598883834,2.356,121.9,0.05121,0.525,3.277311975
1559598883880,2.402,121.9,0.05121,0.525,3.277311975
1559598883926,2.448,121.9,0.05121,0.525,3.277311975
1559598883989,2.511,121.9,0.05102,0.526,3.271371788
1559598884035,2.557,121.9,0.05102,0.526,3.271371788
1559598884081,2.603,121.9,0.05102,0.526,3.271371788
1559598884127,2.649,121.9,0.05102,0.526,3.271371788
1559598884188,2.71,121.9,0.05084,0.528,3.272225088
1559598884234,2.756,121.9,0.05084,0.528,3.272225088
1559598884280,2.802,121.9,0.05084,0.528,3.272225088
1559598884326,2.848,121.9,0.05084,0.528,3.272225088
1559598884389,2.911,121.9,0.05118,0.524,3.269153208
1559598884435,2.957,121.9,0.05118,0.524,3.269153208
1559598884481,3.003,121.9,0.05118,0.524,3.269153208
1559598884527,3.049,121.9,0.05118,0.524,3.269153208
1559598884588,3.11,121.9,0.05063,0.529,3.264880613
1559598884634,3.156,121.9,0.05063,0.529,3.264880613
1559598884680,3.202,121.9,0.05063,0.529,3.264880613
1559598884726,3.248,121.9,0.05063,0.529,3.264880613
1559598884789,3.311,121.8,0.05114,0.525,3.2701473
1559598884835,3.357,121.8,0.05114,0.525,3.2701473
1559598884881,3.403,121.8,0.05114,0.525,3.2701473
1559598884927,3.449,121.8,0.05114,0.525,3.2701473
1559598884988,3.51,121.9,0.05141,0.522,3.271310838
1559598885034,3.556,121.9,0.05141,0.522,3.271310838
1559598885080,3.602,121.9,0.05141,0.522,3.271310838
1559598885126,3.648,121.9,0.05141,0.522,3.271310838
1559598885189,3.711,121.9,0.05115,0.524,3.26723694
1559598885235,3.757,121.9,0.05115,0.524,3.26723694
1559598885281,3.803,121.9,0.05115,0.524,3.26723694
1559598885327,3.849,121.9,0.05115,0.524,3.26723694
1559598885388,3.91,121.9,0.0512,0.525,3.276672
1559598885434,3.956,121.9,0.0512,0.525,3.276672
1559598885480,4.002,121.9,0.0512,0.525,3.276672
1559598885526,4.048,121.9,0.0512,0.525,3.276672
1559598885589,4.111,121.9,0.05796,0.542,3.829405608
1559598885635,4.157,121.9,0.05796,0.542,3.829405608
1559598885681,4.203,121.9,0.05796,0.542,3.829405608
1559598885727,4.249,121.9,0.05796,0.542,3.829405608
1559598885788,4.31,121.9,0.05446,0.531,3.525135894
1559598885834,4.356,121.9,0.05446,0.531,3.525135894
1559598885880,4.402,121.9,0.05446,0.531,3.525135894
1559598885926,4.448,121.9,0.05446,0.531,3.525135894
1559598885989,4.511,121.9,0.05446,0.531,3.525135894
1559598886034,4.556,121.9,0.05446,0.531,3.525135894
1559598886081,4.603,121.9,0.05446,0.531,3.525135894
1559598886127,4.649,121.9,0.05446,0.531,3.525135894
1559598886188,4.71,122.0,0.05626,0.532,3.65149904
1559598886234,4.756,122.0,0.05626,0.532,3.65149904
1559598886280,4.802,122.0,0.05626,0.532,3.65149904
1559598886326,4.848,122.0,0.05626,0.532,3.65149904
1559598886388,4.91,122.0,0.05453,0.526,3.49929916
1559598886433,4.955,122.0,0.05453,0.526,3.49929916
1559598886480,5.002,122.0,0.05453,0.526,3.49929916
1559598886526,5.048,122.0,0.05453,0.526,3.49929916
1559598886588,5.11,122.0,0.05451,0.529,3.51796638
1559598886634,5.156,122.0,0.05451,0.529,3.51796638
1559598886680,5.202,122.0,0.05451,0.529,3.51796638
1559598886726,5.248,122.0,0.05451,0.529,3.51796638
1559598886787,5.31,122.0,0.05665,0.532,3.6768116
1559598886833,5.355,122.0,0.05665,0.532,3.6768116
1559598886880,5.402,122.0,0.05665,0.532,3.6768116
1559598886926,5.448,122.0,0.05665,0.532,3.6768116
