# Mon Jun 03 14:27:46 2019
abstime,time_stamp,volt,curr,pf,mul
1559597266160,0.097,121.5,0.05972,0.542,3.93274116
1559597266208,0.145,121.5,0.05972,0.542,3.93274116
1559597266254,0.191,121.5,0.05972,0.542,3.93274116
1559597266300,0.237,121.5,0.05972,0.542,3.93274116
1559597266361,0.298,121.5,0.06168,0.55,4.121766
1559597266406,0.343,121.5,0.06168,0.55,4.121766
1559597266451,0.389,121.5,0.06168,0.55,4.121766
1559597266497,0.435,121.5,0.06168,0.55,4.121766
1559597266560,0.497,121.5,0.06192,0.549,4.13028072
1559597266606,0.543,121.5,0.06192,0.549,4.13028072
1559597266652,0.589,121.5,0.06192,0.549,4.13028072
1559597266698,0.635,121.5,0.06192,0.549,4.13028072
1559597266760,0.697,121.5,0.06231,0.545,4.126012425
1559597266806,0.743,121.5,0.06231,0.545,4.126012425
1559597266852,0.789,121.5,0.06231,0.545,4.126012425
1559597266898,0.835,121.5,0.06231,0.545,4.126012425
1559597266960,0.897,121.5,0.06223,0.546,4.12827597
1559597267007,0.944,121.5,0.06223,0.546,4.12827597
1559597267053,0.99,121.5,0.06223,0.546,4.12827597
1559597267099,1.036,121.5,0.06223,0.546,4.12827597
1559597267160,1.097,121.4,0.06195,0.55,4.1364015
1559597267206,1.143,121.4,0.06195,0.55,4.1364015
1559597267251,1.188,121.4,0.06195,0.55,4.1364015
1559597267297,1.234,121.4,0.06195,0.55,4.1364015
1559597267360,1.297,121.4,0.06212,0.548,4.132669664
1559597267406,1.343,121.4,0.06212,0.548,4.132669664
1559597267452,1.389,121.4,0.06212,0.548,4.132669664
1559597267498,1.435,121.4,0.06212,0.548,4.132669664
1559597267560,1.497,121.5,0.06224,0.549,4.15162584
1559597267607,1.544,121.5,0.06224,0.549,4.15162584
1559597267653,1.59,121.5,0.06224,0.549,4.15162584
1559597267699,1.636,121.5,0.06224,0.549,4.15162584
1559597267760,1.697,121.5,0.06227,0.546,4.13092953
1559597267806,1.743,121.5,0.06227,0.546,4.13092953
1559597267852,1.789,121.5,0.06227,0.546,4.13092953
1559597267899,1.836,121.5,0.06227,0.546,4.13092953
1559597267960,1.897,121.4,0.06251,0.545,4.13584913
1559597268006,1.943,121.4,0.06251,0.545,4.13584913
1559597268051,1.988,121.4,0.06251,0.545,4.13584913
1559597268098,2.035,121.4,0.06251,0.545,4.13584913
1559597268160,2.097,121.4,0.06192,0.55,4.1343984
1559597268206,2.143,121.4,0.06192,0.55,4.1343984
1559597268252,2.189,121.4,0.06192,0.55,4.1343984
1559597268299,2.236,121.4,0.06192,0.55,4.1343984
1559597268360,2.297,121.4,0.06192,0.55,4.1343984
1559597268406,2.343,121.4,0.06192,0.55,4.1343984
1559597268452,2.389,121.4,0.06192,0.55,4.1343984
1559597268497,2.434,121.4,0.06192,0.55,4.1343984
1559597268560,2.497,121.5,0.06198,0.55,4.1418135
1559597268606,2.543,121.5,0.06198,0.55,4.1418135
1559597268652,2.589,121.5,0.06198,0.55,4.1418135
1559597268698,2.635,121.5,0.06198,0.55,4.1418135
1559597268760,2.697,121.5,0.06221,0.548,4.14206622
1559597268806,2.743,121.5,0.06221,0.548,4.14206622
1559597268852,2.789,121.5,0.06221,0.548,4.14206622
1559597268899,2.836,121.5,0.06221,0.548,4.14206622
1559597268959,2.897,121.5,0.06246,0.546,4.14353394
1559597269005,2.942,121.5,0.06246,0.546,4.14353394
1559597269051,2.988,121.5,0.06246,0.546,4.14353394
1559597269096,3.033,121.5,0.06246,0.546,4.14353394
1559597269160,3.097,121.5,0.06227,0.548,4.14606114
1559597269206,3.143,121.5,0.06227,0.548,4.14606114
1559597269252,3.189,121.5,0.06227,0.548,4.14606114
1559597269299,3.236,121.5,0.06227,0.548,4.14606114
1559597269360,3.297,121.5,0.06229,0.547,4.139824545
1559597269406,3.343,121.5,0.06229,0.547,4.139824545
1559597269452,3.389,121.5,0.06229,0.547,4.139824545
1559597269498,3.435,121.5,0.06229,0.547,4.139824545
1559597269560,3.497,121.6,0.06212,0.548,4.139478016
1559597269605,3.542,121.6,0.06212,0.548,4.139478016
1559597269652,3.589,121.6,0.06212,0.548,4.139478016
1559597269698,3.635,121.6,0.06212,0.548,4.139478016
1559597269760,3.697,121.6,0.06238,0.546,4.141632768
1559597269806,3.743,121.6,0.06238,0.546,4.141632768
1559597269852,3.789,121.6,0.06238,0.546,4.141632768
1559597269898,3.835,121.6,0.06238,0.546,4.141632768
1559597269960,3.897,121.5,0.06231,0.547,4.141153755
1559597270005,3.942,121.5,0.06231,0.547,4.141153755
1559597270052,3.989,121.5,0.06231,0.547,4.141153755
1559597270098,4.035,121.5,0.06231,0.547,4.141153755
1559597270160,4.097,121.5,0.06556,0.556,4.42884024
1559597270206,4.143,121.5,0.06556,0.556,4.42884024
1559597270253,4.19,121.5,0.06556,0.556,4.42884024
1559597270299,4.236,121.5,0.06556,0.556,4.42884024
1559597270360,4.297,121.4,0.06641,0.561,4.522879614
1559597270406,4.343,121.4,0.06641,0.561,4.522879614
1559597270452,4.389,121.4,0.06641,0.561,4.522879614
1559597270499,4.436,121.4,0.06641,0.561,4.522879614
1559597270560,4.497,121.4,0.0649,0.559,4.40428274
1559597270606,4.543,121.4,0.0649,0.559,4.40428274
1559597270652,4.589,121.4,0.0649,0.559,4.40428274
1559597270698,4.635,121.4,0.0649,0.559,4.40428274
1559597270759,4.696,121.4,0.06592,0.56,4.48150528
1559597270805,4.742,121.4,0.06592,0.56,4.48150528
1559597270852,4.789,121.4,0.06592,0.56,4.48150528
1559597270898,4.835,121.4,0.06592,0.56,4.48150528
1559597270959,4.896,121.4,0.06464,0.558,4.378791168
1559597271005,4.942,121.4,0.06464,0.558,4.378791168
1559597271051,4.988,121.4,0.06464,0.558,4.378791168
1559597271097,5.034,121.4,0.06464,0.558,4.378791168
1559597271159,5.096,121.4,0.06518,0.558,4.415371416
1559597271205,5.142,121.4,0.06518,0.558,4.415371416
1559597271252,5.189,121.4,0.06518,0.558,4.415371416
1559597271298,5.235,121.4,0.06518,0.558,4.415371416
1559597271360,5.297,121.4,0.06555,0.56,4.4563512
1559597271406,5.343,121.4,0.06555,0.56,4.4563512
1559597271453,5.39,121.4,0.06555,0.56,4.4563512
1559597271499,5.436,121.4,0.06555,0.56,4.4563512
1559597271560,5.497,121.4,0.06648,0.559,4.511505648
1559597271606,5.543,121.4,0.06648,0.559,4.511505648
1559597271651,5.588,121.4,0.06648,0.559,4.511505648
1559597271697,5.634,121.4,0.06648,0.559,4.511505648
1559597271759,5.696,121.4,0.06393,0.555,4.30741161
1559597271806,5.743,121.4,0.06393,0.555,4.30741161
1559597271852,5.789,121.4,0.06393,0.555,4.30741161
1559597271898,5.835,121.4,0.06393,0.555,4.30741161
1559597271960,5.897,121.4,0.06369,0.557,4.306705062
1559597272006,5.943,121.4,0.06369,0.557,4.306705062
1559597272053,5.99,121.4,0.06369,0.557,4.306705062
1559597272099,6.036,121.4,0.06369,0.557,4.306705062
1559597272160,6.097,121.4,0.06393,0.555,4.30741161
1559597272205,6.142,121.4,0.06393,0.555,4.30741161
1559597272251,6.188,121.4,0.06393,0.555,4.30741161
1559597272297,6.234,121.4,0.06393,0.555,4.30741161
1559597272360,6.297,121.4,0.064,0.555,4.312128
1559597272406,6.343,121.4,0.064,0.555,4.312128
1559597272452,6.389,121.4,0.064,0.555,4.312128
1559597272498,6.435,121.4,0.064,0.555,4.312128
1559597272559,6.496,121.5,0.06375,0.556,4.3065675
1559597272605,6.542,121.5,0.06375,0.556,4.3065675
1559597272651,6.588,121.5,0.06375,0.556,4.3065675
1559597272697,6.634,121.5,0.06375,0.556,4.3065675
1559597272759,6.697,121.5,0.06396,0.554,4.30521156
1559597272805,6.742,121.5,0.06396,0.554,4.30521156
1559597272852,6.789,121.5,0.06396,0.554,4.30521156
1559597272898,6.835,121.5,0.06396,0.554,4.30521156
1559597272959,6.896,121.5,0.06385,0.555,4.305565125
1559597273005,6.942,121.5,0.06385,0.555,4.305565125
1559597273051,6.988,121.5,0.06385,0.555,4.305565125
1559597273097,7.034,121.5,0.06385,0.555,4.305565125
1559597273159,7.096,121.5,0.06372,0.555,4.2967989
1559597273205,7.142,121.5,0.06372,0.555,4.2967989
1559597273252,7.189,121.5,0.06372,0.555,4.2967989
