# Mon Jun 03 11:13:03 2019
abstime,time_stamp,volt,curr,pf,mul
1559585583788,0.088,121.2,0.05474,0.51,3.38358888
1559585583835,0.135,121.2,0.05474,0.51,3.38358888
1559585583881,0.181,121.2,0.05474,0.51,3.38358888
1559585583927,0.227,121.2,0.05474,0.51,3.38358888
1559585583983,0.283,121.2,0.05642,0.512,3.501109248
1559585584028,0.328,121.2,0.05642,0.512,3.501109248
1559585584074,0.374,121.2,0.05642,0.512,3.501109248
1559585584119,0.419,121.2,0.05642,0.512,3.501109248
1559585584182,0.482,121.2,0.05568,0.512,3.455188992
1559585584228,0.528,121.2,0.05568,0.512,3.455188992
1559585584274,0.574,121.2,0.05568,0.512,3.455188992
1559585584320,0.62,121.2,0.05568,0.512,3.455188992
1559585584383,0.683,121.2,0.05524,0.509,3.407799792
1559585584429,0.729,121.2,0.05524,0.509,3.407799792
1559585584475,0.775,121.2,0.05524,0.509,3.407799792
1559585584521,0.821,121.2,0.05524,0.509,3.407799792
1559585584582,0.882,121.2,0.0552,0.51,3.4120224
1559585584628,0.928,121.2,0.0552,0.51,3.4120224
1559585584674,0.974,121.2,0.0552,0.51,3.4120224
1559585584720,1.02,121.2,0.0552,0.51,3.4120224
1559585584783,1.083,121.2,0.05465,0.515,3.4111437
1559585584829,1.129,121.2,0.05465,0.515,3.4111437
1559585584875,1.175,121.2,0.05465,0.515,3.4111437
1559585584921,1.221,121.2,0.05465,0.515,3.4111437
1559585584982,1.282,121.2,0.0549,0.512,3.40678656
1559585585028,1.328,121.2,0.0549,0.512,3.40678656
1559585585074,1.374,121.2,0.0549,0.512,3.40678656
1559585585120,1.42,121.2,0.0549,0.512,3.40678656
1559585585182,1.482,121.2,0.05482,0.514,3.415110576
1559585585228,1.528,121.2,0.05482,0.514,3.415110576
1559585585274,1.574,121.2,0.05482,0.514,3.415110576
1559585585320,1.62,121.2,0.05482,0.514,3.415110576
1559585585382,1.682,121.2,0.05595,0.513,3.47872482
1559585585429,1.729,121.2,0.05595,0.513,3.47872482
1559585585475,1.775,121.2,0.05595,0.513,3.47872482
1559585585521,1.821,121.2,0.05595,0.513,3.47872482
1559585585582,1.882,121.2,0.05579,0.512,3.462014976
1559585585628,1.928,121.2,0.05579,0.512,3.462014976
1559585585674,1.974,121.2,0.05579,0.512,3.462014976
1559585585720,2.02,121.2,0.05579,0.512,3.462014976
1559585585782,2.082,121.2,0.05514,0.511,3.414996648
1559585585829,2.129,121.2,0.05514,0.511,3.414996648
1559585585875,2.175,121.2,0.05514,0.511,3.414996648
1559585585921,2.221,121.2,0.05514,0.511,3.414996648
1559585585982,2.282,121.2,0.05527,0.51,3.41634924
1559585586028,2.328,121.2,0.05527,0.51,3.41634924
1559585586074,2.374,121.2,0.05527,0.51,3.41634924
1559585586120,2.42,121.2,0.05527,0.51,3.41634924
1559585586183,2.483,121.2,0.05519,0.51,3.41140428
1559585586229,2.529,121.2,0.05519,0.51,3.41140428
1559585586275,2.575,121.2,0.05519,0.51,3.41140428
1559585586321,2.621,121.2,0.05519,0.51,3.41140428
1559585586382,2.682,121.2,0.05507,0.511,3.410661324
1559585586428,2.728,121.2,0.05507,0.511,3.410661324
1559585586474,2.774,121.2,0.05507,0.511,3.410661324
1559585586520,2.82,121.2,0.05507,0.511,3.410661324
1559585586582,2.882,121.2,0.05482,0.514,3.415110576
1559585586628,2.928,121.2,0.05482,0.514,3.415110576
1559585586674,2.974,121.2,0.05482,0.514,3.415110576
1559585586720,3.02,121.2,0.05482,0.514,3.415110576
1559585586782,3.082,121.2,0.05561,0.514,3.464325048
1559585586828,3.128,121.2,0.05561,0.514,3.464325048
1559585586874,3.174,121.2,0.05561,0.514,3.464325048
1559585586920,3.22,121.2,0.05561,0.514,3.464325048
1559585586982,3.282,121.2,0.05545,0.517,3.47451918
1559585587029,3.329,121.2,0.05545,0.517,3.47451918
1559585587074,3.374,121.2,0.05545,0.517,3.47451918
1559585587121,3.421,121.2,0.05545,0.517,3.47451918
1559585587182,3.482,121.2,0.05521,0.511,3.419331972
1559585587227,3.527,121.2,0.05521,0.511,3.419331972
1559585587274,3.574,121.2,0.05521,0.511,3.419331972
1559585587320,3.62,121.2,0.05521,0.511,3.419331972
1559585587382,3.682,121.2,0.05512,0.511,3.413757984
1559585587428,3.728,121.2,0.05512,0.511,3.413757984
1559585587474,3.774,121.2,0.05512,0.511,3.413757984
