# Sun Jun 02 22:55:18 2019
abstime,time_stamp,volt,curr,pf,mul
1559541318416,0.08,122.3,0.05347,0.514,3.361241834
1559541318463,0.127,122.3,0.05347,0.514,3.361241834
1559541318509,0.173,122.3,0.05347,0.514,3.361241834
1559541318555,0.219,122.3,0.05347,0.514,3.361241834
1559541318605,0.269,122.3,0.05424,0.516,3.422912832
1559541318650,0.314,122.3,0.05424,0.516,3.422912832
1559541318696,0.36,122.3,0.05424,0.516,3.422912832
1559541318742,0.406,122.3,0.05424,0.516,3.422912832
1559541318806,0.47,122.3,0.05492,0.52,3.49269232
1559541318851,0.515,122.3,0.05492,0.52,3.49269232
1559541318897,0.561,122.3,0.05492,0.52,3.49269232
1559541318943,0.607,122.3,0.05492,0.52,3.49269232
1559541319005,0.669,122.3,0.05419,0.52,3.44626724
1559541319051,0.715,122.3,0.05419,0.52,3.44626724
1559541319097,0.761,122.3,0.05419,0.52,3.44626724
1559541319143,0.807,122.3,0.05419,0.52,3.44626724
1559541319205,0.869,122.3,0.05408,0.518,3.426043712
1559541319251,0.916,122.3,0.05408,0.518,3.426043712
1559541319298,0.962,122.3,0.05408,0.518,3.426043712
1559541319344,1.008,122.3,0.05408,0.518,3.426043712
1559541319406,1.07,122.3,0.05414,0.516,3.416602152
1559541319452,1.116,122.3,0.05414,0.516,3.416602152
1559541319498,1.162,122.3,0.05414,0.516,3.416602152
1559541319544,1.209,122.3,0.05414,0.516,3.416602152
1559541319606,1.27,122.3,0.05399,0.517,3.413739109
1559541319652,1.316,122.3,0.05399,0.517,3.413739109
1559541319698,1.362,122.3,0.05399,0.517,3.413739109
1559541319744,1.408,122.3,0.05399,0.517,3.413739109
1559541319805,1.469,122.3,0.05398,0.518,3.419708572
1559541319851,1.515,122.3,0.05398,0.518,3.419708572
1559541319897,1.561,122.3,0.05398,0.518,3.419708572
1559541319943,1.608,122.3,0.05398,0.518,3.419708572
1559541320006,1.67,122.2,0.05429,0.519,3.443169522
1559541320053,1.717,122.2,0.05429,0.519,3.443169522
1559541320099,1.763,122.2,0.05429,0.519,3.443169522
1559541320145,1.809,122.2,0.05429,0.519,3.443169522
1559541320205,1.869,122.3,0.05502,0.519,3.492322974
1559541320251,1.915,122.3,0.05502,0.519,3.492322974
1559541320297,1.961,122.3,0.05502,0.519,3.492322974
1559541320343,2.007,122.3,0.05502,0.519,3.492322974
1559541320405,2.069,122.3,0.0545,0.517,3.44598595
1559541320451,2.115,122.3,0.0545,0.517,3.44598595
1559541320497,2.162,122.3,0.0545,0.517,3.44598595
1559541320544,2.208,122.3,0.0545,0.517,3.44598595
1559541320605,2.269,122.3,0.05426,0.517,3.430810966
