# Fri May 31 22:34:43 2019
abstime,time_stamp,volt,curr,pf,mul
1559367283899,0.08,122.3,0.05691,0.519,3.612288267
1559367283948,0.129,122.3,0.05691,0.519,3.612288267
1559367283994,0.175,122.3,0.05691,0.519,3.612288267
1559367284040,0.221,122.3,0.06477,0.534,4.230012114
1559367284085,0.266,122.3,0.06477,0.534,4.230012114
1559367284131,0.312,122.3,0.06477,0.534,4.230012114
1559367284175,0.356,122.3,0.06477,0.534,4.230012114
1559367284238,0.419,122.3,0.06409,0.537,4.209117159
1559367284284,0.465,122.3,0.06409,0.537,4.209117159
1559367284329,0.51,122.3,0.06409,0.537,4.209117159
1559367284375,0.556,122.3,0.06409,0.537,4.209117159
1559367284438,0.619,122.3,0.06407,0.537,4.207803657
1559367284484,0.665,122.3,0.06407,0.537,4.207803657
1559367284530,0.711,122.3,0.06407,0.537,4.207803657
1559367284576,0.757,122.3,0.06407,0.537,4.207803657
1559367284637,0.818,122.3,0.06366,0.541,4.212019338
1559367284683,0.864,122.3,0.06366,0.541,4.212019338
1559367284729,0.91,122.3,0.06366,0.541,4.212019338
1559367284775,0.956,122.3,0.06366,0.541,4.212019338
1559367284837,1.018,122.2,0.06407,0.539,4.220021806
1559367284883,1.064,122.2,0.06407,0.539,4.220021806
1559367284929,1.11,122.2,0.06407,0.539,4.220021806
1559367284976,1.157,122.2,0.06407,0.539,4.220021806
1559367285038,1.219,122.3,0.06392,0.541,4.229222056
1559367285084,1.265,122.3,0.06392,0.541,4.229222056
1559367285130,1.311,122.3,0.06392,0.541,4.229222056
1559367285176,1.357,122.3,0.06392,0.541,4.229222056
1559367285237,1.418,122.3,0.0637,0.541,4.21466591
1559367285284,1.465,122.3,0.0637,0.541,4.21466591
1559367285330,1.511,122.3,0.0637,0.541,4.21466591
1559367285376,1.557,122.3,0.0637,0.541,4.21466591
1559367285438,1.619,122.3,0.06403,0.538,4.213007522
1559367285484,1.665,122.3,0.06403,0.538,4.213007522
1559367285530,1.711,122.3,0.06403,0.538,4.213007522
1559367285576,1.757,122.3,0.06403,0.538,4.213007522
1559367285637,1.818,122.3,0.06357,0.542,4.213839162
1559367285684,1.865,122.3,0.06357,0.542,4.213839162
1559367285730,1.911,122.3,0.06357,0.542,4.213839162
1559367285776,1.957,122.3,0.06357,0.542,4.213839162
1559367285838,2.019,122.3,0.06366,0.542,4.219804956
1559367285884,2.065,122.3,0.06366,0.542,4.219804956
1559367285930,2.111,122.3,0.06366,0.542,4.219804956
1559367285977,2.158,122.3,0.06366,0.542,4.219804956
1559367286038,2.219,122.3,0.06365,0.542,4.21914209
1559367286084,2.265,122.3,0.06365,0.542,4.21914209
1559367286130,2.311,122.3,0.06365,0.542,4.21914209
1559367286176,2.357,122.3,0.06365,0.542,4.21914209
1559367286237,2.418,122.4,0.06402,0.539,4.223629872
1559367286283,2.464,122.4,0.06402,0.539,4.223629872
1559367286329,2.51,122.4,0.06402,0.539,4.223629872
1559367286375,2.556,122.4,0.06402,0.539,4.223629872
1559367286438,2.619,122.4,0.06455,0.538,4.25069496
1559367286484,2.665,122.4,0.06455,0.538,4.25069496
1559367286530,2.711,122.4,0.06455,0.538,4.25069496
1559367286576,2.757,122.4,0.06455,0.538,4.25069496
1559367286637,2.818,122.4,0.06897,0.549,4.634618472
1559367286683,2.864,122.4,0.06897,0.549,4.634618472
1559367286729,2.91,122.4,0.06897,0.549,4.634618472
1559367286775,2.956,122.4,0.06897,0.549,4.634618472
1559367286838,3.019,122.4,0.06397,0.54,4.22816112
1559367286884,3.065,122.4,0.06397,0.54,4.22816112
1559367286930,3.111,122.4,0.06397,0.54,4.22816112
