# Mon Jun 03 14:11:44 2019
abstime,time_stamp,volt,curr,pf,mul
1559596304629,0.079,121.5,0.05217,0.516,3.27074598
1559596304677,0.127,121.5,0.05291,0.516,3.31713954
1559596304723,0.173,121.5,0.05291,0.516,3.31713954
1559596304769,0.219,121.5,0.05291,0.516,3.31713954
1559596304815,0.265,121.5,0.05291,0.516,3.31713954
1559596304861,0.311,121.5,0.05246,0.514,3.27617946
1559596304907,0.357,121.5,0.05246,0.514,3.27617946
1559596304953,0.403,121.5,0.05246,0.514,3.27617946
1559596304999,0.449,121.5,0.05246,0.514,3.27617946
1559596305060,0.51,121.5,0.05248,0.513,3.27105216
1559596305106,0.556,121.5,0.05248,0.513,3.27105216
1559596305152,0.602,121.5,0.05248,0.513,3.27105216
1559596305198,0.648,121.5,0.05248,0.513,3.27105216
1559596305260,0.71,121.5,0.05228,0.515,3.2712903
1559596305306,0.756,121.5,0.05228,0.515,3.2712903
1559596305352,0.802,121.5,0.05228,0.515,3.2712903
1559596305399,0.849,121.5,0.05228,0.515,3.2712903
1559596305461,0.911,121.5,0.0528,0.512,3.2845824
1559596305507,0.957,121.5,0.0528,0.512,3.2845824
1559596305553,1.003,121.5,0.0528,0.512,3.2845824
1559596305600,1.05,121.5,0.0528,0.512,3.2845824
1559596305661,1.111,121.5,0.05267,0.511,3.270095955
1559596305707,1.157,121.5,0.05267,0.511,3.270095955
1559596305753,1.203,121.5,0.05267,0.511,3.270095955
1559596305799,1.249,121.5,0.05267,0.511,3.270095955
1559596305861,1.311,121.4,0.05282,0.513,3.289534524
1559596305906,1.356,121.4,0.05282,0.513,3.289534524
1559596305953,1.403,121.4,0.05282,0.513,3.289534524
1559596305999,1.449,121.4,0.05282,0.513,3.289534524
1559596306060,1.51,121.5,0.05267,0.513,3.282894765
1559596306106,1.556,121.5,0.05267,0.513,3.282894765
1559596306152,1.602,121.5,0.05267,0.513,3.282894765
1559596306198,1.648,121.5,0.05267,0.513,3.282894765
1559596306261,1.711,121.4,0.05244,0.513,3.265868808
1559596306307,1.757,121.4,0.05244,0.513,3.265868808
1559596306353,1.803,121.4,0.05244,0.513,3.265868808
1559596306399,1.849,121.4,0.05244,0.513,3.265868808
1559596306460,1.91,121.4,0.05241,0.515,3.27672561
1559596306506,1.956,121.4,0.05241,0.515,3.27672561
1559596306552,2.002,121.4,0.05241,0.515,3.27672561
1559596306598,2.048,121.4,0.05241,0.515,3.27672561
1559596306660,2.11,121.4,0.05253,0.513,3.271473846
1559596306706,2.156,121.4,0.05253,0.513,3.271473846
1559596306753,2.203,121.4,0.05253,0.513,3.271473846
1559596306799,2.249,121.4,0.05253,0.513,3.271473846
1559596306861,2.311,121.4,0.05231,0.515,3.27047351
1559596306907,2.357,121.4,0.05231,0.515,3.27047351
1559596306953,2.403,121.4,0.05231,0.515,3.27047351
1559596307000,2.45,121.4,0.05231,0.515,3.27047351
1559596307061,2.511,121.4,0.05259,0.513,3.275210538
1559596307107,2.557,121.4,0.05259,0.513,3.275210538
1559596307153,2.603,121.4,0.05259,0.513,3.275210538
1559596307199,2.649,121.4,0.05259,0.513,3.275210538
1559596307261,2.711,121.4,0.05259,0.513,3.275210538
1559596307307,2.757,121.4,0.05259,0.513,3.275210538
1559596307353,2.803,121.4,0.05259,0.513,3.275210538
1559596307399,2.849,121.4,0.05259,0.513,3.275210538
1559596307460,2.91,121.4,0.05248,0.514,3.274731008
1559596307507,2.957,121.4,0.05248,0.514,3.274731008
1559596307553,3.003,121.4,0.05248,0.514,3.274731008
1559596307599,3.049,121.4,0.05248,0.514,3.274731008
1559596307660,3.11,121.4,0.05246,0.514,3.273483016
1559596307706,3.156,121.4,0.05246,0.514,3.273483016
1559596307752,3.202,121.4,0.05246,0.514,3.273483016
1559596307798,3.248,121.4,0.05246,0.514,3.273483016
1559596307860,3.31,121.4,0.05252,0.513,3.270851064
1559596307906,3.356,121.4,0.05252,0.513,3.270851064
1559596307952,3.402,121.4,0.05252,0.513,3.270851064
1559596307999,3.449,121.4,0.05252,0.513,3.270851064
1559596308061,3.511,121.5,0.05243,0.514,3.27430593
1559596308107,3.557,121.5,0.05243,0.514,3.27430593
1559596308153,3.603,121.5,0.05243,0.514,3.27430593
1559596308199,3.649,121.5,0.05243,0.514,3.27430593
1559596308261,3.711,121.5,0.05251,0.513,3.272922045
1559596308307,3.757,121.5,0.05251,0.513,3.272922045
1559596308353,3.803,121.5,0.05251,0.513,3.272922045
1559596308399,3.849,121.5,0.05251,0.513,3.272922045
1559596308460,3.91,121.5,0.0524,0.517,3.2915322
1559596308506,3.956,121.5,0.0524,0.517,3.2915322
1559596308552,4.002,121.5,0.0524,0.517,3.2915322
1559596308598,4.048,121.5,0.0524,0.517,3.2915322
1559596308660,4.11,121.5,0.0523,0.515,3.27254175
1559596308706,4.156,121.5,0.0523,0.515,3.27254175
1559596308752,4.202,121.5,0.0523,0.515,3.27254175
1559596308799,4.249,121.5,0.0523,0.515,3.27254175
1559596308861,4.311,121.5,0.05198,0.518,3.27146526
1559596308907,4.357,121.5,0.05198,0.518,3.27146526
1559596308953,4.403,121.5,0.05198,0.518,3.27146526
1559596308999,4.449,121.5,0.05198,0.518,3.27146526
1559596309060,4.51,121.6,0.05202,0.518,3.276677376
1559596309106,4.556,121.6,0.05202,0.518,3.276677376
1559596309153,4.603,121.6,0.05202,0.518,3.276677376
1559596309199,4.649,121.6,0.05202,0.518,3.276677376
1559596309260,4.71,121.6,0.05207,0.517,3.273495104
1559596309306,4.756,121.6,0.05207,0.517,3.273495104
1559596309352,4.802,121.6,0.05207,0.517,3.273495104
1559596309398,4.848,121.6,0.05207,0.517,3.273495104
1559596309461,4.911,121.5,0.05229,0.515,3.271916025
1559596309507,4.957,121.5,0.05229,0.515,3.271916025
1559596309553,5.003,121.5,0.05229,0.515,3.271916025
1559596309599,5.049,121.5,0.05229,0.515,3.271916025
1559596309660,5.11,121.5,0.05227,0.515,3.270664575
1559596309706,5.156,121.5,0.05227,0.515,3.270664575
1559596309752,5.202,121.5,0.05227,0.515,3.270664575
1559596309798,5.248,121.5,0.05227,0.515,3.270664575
1559596309861,5.311,121.5,0.0524,0.514,3.2724324
1559596309907,5.357,121.5,0.0524,0.514,3.2724324
1559596309953,5.403,121.5,0.0524,0.514,3.2724324
1559596309999,5.449,121.5,0.0524,0.514,3.2724324
1559596310060,5.51,121.5,0.05245,0.515,3.281927625
1559596310106,5.556,121.5,0.05245,0.515,3.281927625
1559596310152,5.602,121.5,0.05245,0.515,3.281927625
1559596310198,5.648,121.5,0.05245,0.515,3.281927625
1559596310261,5.711,121.5,0.05256,0.513,3.27603852
1559596310307,5.757,121.5,0.05256,0.513,3.27603852
1559596310353,5.803,121.5,0.05256,0.513,3.27603852
1559596310399,5.849,121.5,0.05256,0.513,3.27603852
1559596310460,5.91,121.5,0.05256,0.512,3.26965248
1559596310506,5.956,121.5,0.05256,0.512,3.26965248
1559596310552,6.002,121.5,0.05256,0.512,3.26965248
1559596310598,6.048,121.5,0.05256,0.512,3.26965248
1559596310660,6.11,121.4,0.05224,0.516,3.272438976
1559596310706,6.156,121.4,0.05224,0.516,3.272438976
1559596310752,6.202,121.4,0.05224,0.516,3.272438976
1559596310798,6.248,121.4,0.05224,0.516,3.272438976
1559596310861,6.311,121.4,0.05244,0.514,3.272235024
1559596310907,6.357,121.4,0.05244,0.514,3.272235024
1559596310953,6.403,121.4,0.05244,0.514,3.272235024
1559596310999,6.449,121.4,0.05244,0.514,3.272235024
1559596311060,6.51,121.4,0.05249,0.513,3.268982718
1559596311106,6.556,121.4,0.05249,0.513,3.268982718
1559596311152,6.602,121.4,0.05249,0.513,3.268982718
1559596311198,6.648,121.4,0.05249,0.513,3.268982718
1559596311260,6.71,121.4,0.05236,0.514,3.267243056
1559596311307,6.757,121.4,0.05236,0.514,3.267243056
1559596311353,6.803,121.4,0.05236,0.514,3.267243056
1559596311399,6.849,121.4,0.05236,0.514,3.267243056
1559596311460,6.91,121.4,0.05246,0.516,3.286220304
1559596311506,6.956,121.4,0.05246,0.516,3.286220304
1559596311551,7.001,121.4,0.05246,0.516,3.286220304
1559596311598,7.048,121.4,0.05246,0.516,3.286220304
1559596311660,7.11,121.4,0.0522,0.516,3.26993328
1559596311706,7.156,121.4,0.0522,0.516,3.26993328
1559596311752,7.202,121.4,0.0522,0.516,3.26993328
1559596311799,7.249,121.4,0.0522,0.516,3.26993328
1559596311860,7.31,121.4,0.0523,0.515,3.2698483
1559596311906,7.356,121.4,0.0523,0.515,3.2698483
1559596311952,7.402,121.4,0.0523,0.515,3.2698483
1559596311998,7.448,121.4,0.0523,0.515,3.2698483
1559596312060,7.51,121.4,0.05232,0.516,3.277450368
1559596312106,7.556,121.4,0.05232,0.516,3.277450368
1559596312152,7.602,121.4,0.05232,0.516,3.277450368
1559596312199,7.649,121.4,0.05232,0.516,3.277450368
1559596312260,7.71,121.5,0.05214,0.517,3.27520017
1559596312306,7.756,121.5,0.05214,0.517,3.27520017
1559596312352,7.802,121.5,0.05214,0.517,3.27520017
1559596312398,7.848,121.5,0.05214,0.517,3.27520017
