cache-misses,instructions,power
33573.06,8852050.44,3.30
24566.46,8651518.40,3.12
19273.70,8533675.09,3.12
13980.94,8415831.77,3.12
12452.57,8378861.51,3.12
12505.44,8366598.72,3.12
12537.79,8359094.95,3.12
12569.45,8351750.83,3.12
12346.02,8340268.01,3.12
11213.67,8295226.88,3.12
10546.39,8268684.77,3.12
9864.60,8241565.67,3.12
10882.84,8289501.12,3.12
16622.29,8553001.62,3.13
20036.55,8709751.82,3.13
23450.81,8866502.01,3.13
23524.29,8867387.97,3.13
18466.63,8622959.41,3.12
15428.40,8476127.02,3.12
12390.18,8329294.62,3.12
11144.66,8272200.81,3.12
10321.65,8248539.66,3.12
9828.51,8234362.05,3.12
9335.37,8220184.43,3.12
9129.26,8214881.64,3.12
8997.35,8214410.46,3.12
8919.09,8214130.94,3.12
8840.83,8213851.42,3.12
9206.32,8229070.33,3.12
11218.59,8307440.95,3.12
12439.43,8354988.57,3.12
13686.82,8403569.83,3.12
13790.90,8407416.44,3.12
12018.94,8337331.72,3.12
10940.68,8294684.31,3.12
9862.42,8252036.91,3.12
9569.61,8249419.23,3.12
10311.76,8327829.53,3.12
10761.78,8375375.03,3.12
11211.80,8422920.53,3.12
12418.67,8483713.64,3.12
18096.48,8713547.73,3.12
21549.55,8853325.73,3.12
25002.62,8993103.74,3.12
25501.05,9000695.83,3.12
20108.79,8710609.37,3.12
16861.55,8535917.94,3.12
13614.30,8361226.52,3.12
12189.12,8290500.49,3.12
11657.42,8294520.43,3.12
11329.52,8296999.49,3.12
11001.63,8299478.55,3.12
10802.49,8297323.99,3.12
10485.06,8278411.07,3.13
10285.76,8266536.06,3.13
10090.69,8254913.70,3.13
9936.57,8245163.87,3.13
9539.00,8218274.66,3.12
9292.29,8201589.41,3.12
9045.59,8184904.17,3.12
8924.85,8178389.11,3.12
8883.92,8185070.64,3.12
8859.00,8189138.65,3.12
8832.97,8193387.47,3.12
8907.23,8196784.97,3.12
9432.07,8205567.34,3.12
9757.49,8211012.70,3.12
10082.91,8216458.06,3.12
10421.74,8228288.78,3.12
11483.92,8281872.25,3.11
12172.81,8316624.58,3.11
12847.04,8350637.50,3.11
13914.61,8399033.94,3.11
18546.25,8598406.06,3.13
21435.37,8722770.16,3.13
24324.49,8847134.26,3.13
25039.33,8880228.45,3.13
20366.79,8693956.22,3.12
17442.19,8577365.74,3.12
14517.58,8460775.26,3.12
12828.01,8386065.80,3.12
11609.60,8290082.54,3.12
10833.32,8228928.89,3.12
10057.04,8167775.24,3.12
9667.13,8135963.27,3.12
9899.72,8146592.70,3.12
10045.35,8153248.22,3.12
10190.99,8159903.74,3.12
10372.20,8168491.61,3.12
11074.51,8202673.79,3.12
11519.02,8224308.30,3.12
11963.53,8245942.81,3.12
12553.80,8262672.51,3.12
14931.04,8296359.43,3.12
16494.70,8318517.55,3.12
18025.10,8340204.22,3.12
18744.98,8361140.13,3.12
17831.35,8423050.50,3.13
17241.18,8463042.04,3.13
16651.02,8503033.57,3.13
16713.92,8544164.67,3.13
19887.15,8678826.41,3.12
21903.34,8764387.19,3.12
23919.53,8849947.97,3.12
24417.60,8866466.39,3.12
19398.90,8619123.30,3.13
16175.72,8460270.85,3.13
12952.54,8301418.40,3.13
11011.02,8206931.75,3.13
10812.46,8206318.25,3.12
10684.41,8205922.62,3.12
10556.35,8205526.99,3.12
10611.28,8211262.69,3.12
11629.70,8257261.06,3.12
12297.93,8287442.85,3.12
12966.16,8317624.64,3.12
13231.61,8328691.02,3.12
11892.61,8260460.25,3.12
11017.41,8215863.41,3.12
10142.22,8171266.57,3.12
9637.03,8149949.21,3.12
10161.27,8215314.34,3.12
10500.22,8257576.60,3.12
10839.18,8299838.86,3.12
11009.21,8319518.63,3.12
10640.00,8260955.50,3.12
10390.05,8221307.71,3.12
10145.41,8182503.48,3.12
9946.64,8156942.09,3.12
9597.60,8151938.89,3.12
9365.58,8148613.10,3.12
9133.57,8145287.30,3.12
9688.66,8175305.67,3.12
16394.90,8479328.72,3.13
20771.90,8677756.93,3.13
25148.90,8876185.13,3.13
27380.86,8976042.65,3.13
21398.77,8693056.75,3.12
17395.30,8503670.55,3.12
13391.84,8314284.36,3.12
10585.50,8184581.60,3.12
10469.65,8209851.00,3.12
10393.46,8226470.00,3.12
10317.27,8243089.00,3.12
10218.12,8253501.73,3.12
9775.17,8244154.45,3.12
9476.49,8237851.69,3.12
9177.81,8231548.93,3.12
9011.64,8228548.65,3.12
9486.63,8243516.99,3.12
9808.15,8253648.83,3.12
10129.67,8263780.66,3.12
10418.14,8274954.94,3.12
11010.46,8316419.38,3.12
11409.76,8344371.44,3.12
11817.74,8372931.15,3.12
12053.10,8388191.37,3.12
11525.35,8338644.76,3.13
11173.57,8305619.21,3.13
10813.98,8271859.76,3.13
10964.45,8267617.62,3.13
16488.45,8548844.17,3.12
20209.73,8738294.75,3.12
23931.02,8927745.33,3.12
26359.11,9049786.18,3.12
21503.11,8783367.63,3.12
18123.58,8597953.59,3.12
14815.96,8416484.53,3.12
12244.94,8276510.37,3.12
11304.90,8237637.95,3.12
10656.38,8210820.87,3.12
10007.87,8184003.79,3.12
9557.31,8165401.45,3.12
10345.58,8198394.30,3.11
10887.17,8221062.21,3.11
11428.75,8243730.13,3.11
11840.17,8260487.02,3.11
11601.63,8244640.53,3.12
11435.95,8233634.08,3.12
11270.27,8222627.63,3.12
11230.06,8219551.13,3.12
12605.69,8304947.31,3.12
13557.27,8364019.51,3.12
14529.54,8424375.89,3.12
15190.27,8464862.52,3.12
13896.57,8377235.39,3.12
12991.67,8315943.28,3.12
12086.77,8254651.18,3.12
11292.30,8202812.56,3.12
10520.63,8182471.22,3.12
9974.69,8168080.08,3.12
9416.88,8153376.09,3.12
13192.41,9006028.12,3.12
86567.76,23999944.17,3.13
138983.32,34710824.90,3.13
190283.66,45193814.56,3.13
229680.91,55424357.46,3.13
175711.72,84837287.98,3.42
138651.96,105034662.69,3.42
99945.10,126129698.50,3.42
67024.49,143945288.58,3.42
62439.56,143836655.05,3.43
59202.19,143759949.97,3.43
55894.44,143681577.39,3.43
52367.98,143535477.06,3.43
37730.71,141980918.63,3.42
27264.39,140869338.07,3.42
16798.07,139757757.51,3.42
8047.02,138829853.92,3.42
22026.56,140352225.04,3.40
32146.95,141454335.41,3.40
42267.35,142556445.78,3.40
51201.72,143528707.03,3.40
36679.64,141922149.48,3.40
26368.48,140781440.33,3.40
16057.31,139640731.18,3.40
6625.11,138597867.03,3.40
6216.94,138571935.68,3.39
5918.86,138552998.49,3.39
5620.78,138534061.29,3.39
5432.21,138521262.30,3.39
10192.52,138781853.86,3.39
13600.25,138968401.58,3.39
17007.97,139154949.30,3.39
20421.88,139360718.13,3.39
29939.04,140663503.44,3.43
36942.57,141622202.40,3.43
43946.10,142580901.37,3.43
50580.32,143493208.19,3.43
36288.57,141916524.51,3.39
25967.72,140777915.81,3.39
15646.87,139639307.11,3.39
5730.48,138545516.87,3.39
5558.14,138540047.07,3.39
5430.09,138535982.74,3.39
5302.04,138531918.41,3.39
5189.94,138528414.34,3.39
6566.00,138577068.95,3.39
7575.87,138612775.54,3.39
8585.73,138648482.12,3.39
9565.34,138683456.31,3.39
8073.84,138677901.71,3.40
6975.14,138673810.00,3.40
5876.45,138669718.29,3.40
4788.72,138665758.05,3.40
5333.06,138696455.64,3.38
5742.25,138719531.45,3.38
6151.43,138742607.26,3.38
6560.62,138765683.08,3.38
6074.16,138734124.47,3.39
4841.91,138654381.41,3.39
4105.50,138606725.87,3.39
3369.09,138559070.33,3.39
12126.21,139369562.31,3.40
34221.46,141413962.12,3.40
47551.50,142647346.61,3.40
60881.55,143880731.10,3.40
53636.34,143162297.93,3.43
33991.56,141224069.42,3.43
22177.45,140058443.97,3.43
10363.33,138892818.52,3.43
9133.77,138809175.77,3.39
7063.02,138700906.75,3.39
5804.50,138635104.97,3.39
4545.98,138569303.18,3.39
4275.46,138560731.34,3.39
3800.07,138550153.16,3.39
3503.93,138543563.44,3.39
3214.09,138537113.92,3.39
3864.26,138561329.44,3.40
5561.62,138623932.53,3.40
6592.71,138661962.18,3.40
7623.81,138699991.83,3.40
7132.83,138684181.35,3.39
5689.33,138636884.33,3.39
4784.75,138607245.35,3.39
3899.41,138578236.98,3.39
4661.86,138603809.88,3.40
6815.76,138675918.81,3.40
