cache-misses,instructions,power
80116.33,11773710.01,3.32
59402.68,16765359.86,3.49
75733.76,235208534.21,3.99
19378.01,274033609.02,4.10
15967.02,273891740.56,4.10
14407.58,273835108.40,4.10
14144.64,273846840.25,4.10
13933.53,273856259.60,4.10
13689.02,273867169.08,4.11
13686.40,273877934.93,4.11
15308.47,273913927.01,4.11
16624.24,273943122.63,4.11
22461.27,274139721.69,4.11
16040.36,273897496.04,4.11
16234.42,273955989.82,4.12
16895.07,273959063.63,4.12
14965.27,273973669.17,4.12
15002.97,273944324.04,4.12
15052.06,273906118.92,4.12
15084.42,273880936.03,4.11
15613.90,273897311.45,4.11
17917.48,274017637.14,4.11
19714.20,274111486.65,4.11
21487.91,274204134.78,4.13
23176.70,274285296.96,4.13
25602.46,274364326.18,4.13
27681.92,274432072.79,4.13
30195.88,274513975.27,4.12
31631.42,274559525.87,4.12
27541.56,274408957.44,4.12
23717.71,274268182.43,4.12
18522.30,274076912.96,4.12
15423.26,273957351.77,4.12
15224.19,273925684.69,4.12
15070.89,273901297.39,4.12
14917.45,273876887.26,4.12
14844.26,273859795.20,4.12
15293.18,273877155.67,4.12
15699.74,273892877.87,4.12
16239.12,273913736.08,4.12
16509.02,273924268.63,4.12
15916.34,273902391.20,4.12
15378.33,273882532.07,4.12
14663.27,273856137.55,4.12
14191.34,273839429.41,4.12
13886.31,273837346.01,4.12
13604.82,273835423.41,4.12
13221.46,273832805.04,4.12
12985.21,273831484.49,4.12
12987.99,273835337.34,4.12
12990.54,273838883.41,4.12
12993.89,273843526.40,4.12
13302.03,273864070.82,4.12
17282.31,274093183.32,4.12
20969.60,274305431.29,4.12
25850.05,274586359.93,4.12
28818.54,274749291.19,4.12
26472.42,274492041.88,4.12
24277.90,274251416.27,4.12
21253.84,273919832.07,4.12
19307.12,273715407.47,4.12
18189.11,273725874.93,4.12
17149.81,273735605.60,4.12
15770.27,273748521.68,4.12
14739.24,273758174.91,4.12
14451.18,273766982.51,4.12
13674.07,273792676.71,4.12
12978.99,273815658.55,4.12
12693.03,273829560.36,4.12
13854.70,273834551.13,4.12
14887.53,273838988.41,4.12
16290.15,273845014.32,4.12
17201.75,273849924.04,4.12
17122.57,273868095.56,4.12
17047.70,273885278.96,4.12
16948.54,273908035.11,4.13
16891.41,273922683.79,4.13
17007.54,273920143.32,4.13
17118.22,273917722.05,4.13
17265.56,273914498.79,4.12
17301.56,273911401.40,4.12
16267.67,273894507.91,4.12
15292.75,273878578.04,4.12
13975.70,273857057.85,4.13
13717.02,273864158.57,4.13
20594.54,274122966.50,4.13
26917.78,274360916.57,4.13
35500.23,274683882.79,4.12
40605.76,274871482.68,4.12
34992.27,274608514.10,4.12
29821.27,274366274.88,4.12
23090.36,274050960.24,4.12
18494.51,273838028.99,4.12
17360.36,273825235.70,4.12
16271.37,273812951.84,4.12
14799.54,273796349.57,4.12
13859.90,273786874.85,4.12
14696.16,273824047.35,4.12
15497.53,273859668.92,4.12
16580.46,273907805.87,4.13
17227.17,273940274.97,4.13
17206.05,273982349.80,4.13
17186.74,274020826.44,4.13
17160.42,274073251.49,4.13
17296.16,274098951.64,4.13
18917.39,274045042.97,4.13
20405.02,273995576.60,4.13
22344.05,273931100.64,4.13
23536.58,273886157.07,4.13
21105.35,273862794.80,4.13
18791.35,273840559.03,4.13
15672.66,273810590.83,4.12
13465.95,273792647.26,4.12
17739.53,274001735.81,4.12
21956.90,274208074.02,4.12
27433.23,274476007.92,4.14
31187.20,274657713.67,4.14
27811.17,274438200.38,4.14
24803.21,274242619.40,4.14
20961.20,273992807.57,4.13
18248.34,273818983.51,4.13
17379.13,273817391.18,4.13
16544.93,273815863.00,4.13
15441.59,273813841.76,4.13
14622.09,273812295.25,4.13
14551.64,273810497.35,4.13
14483.17,273808750.08,4.13
14391.90,273806420.75,4.12
14322.92,273804273.61,4.12
14182.90,273793046.25,4.12
14048.10,273782237.94,4.12
13829.97,273764747.27,4.12
13712.20,273759526.32,4.12
13568.41,273768366.58,4.12
13464.67,273774744.55,4.12
13362.38,273781033.32,4.12
13505.48,273786854.67,4.12
15273.26,273796456.40,4.12
16827.73,273804899.50,4.12
18604.46,273814549.79,4.13
20079.00,273822615.40,4.13
18981.05,273819043.49,4.13
17900.95,273815529.64,4.13
16465.04,273810858.22,4.13
15542.95,273811506.39,4.13
19748.60,273983443.62,4.13
23304.09,274128801.07,4.13
28120.46,274325705.78,4.13
30827.37,274433380.86,4.13
26836.94,274234156.35,4.13
23199.49,274052554.07,4.13
18934.29,273839611.11,4.13
15447.36,273666288.89,4.13
15546.49,273703416.08,4.13
15643.17,273739624.88,4.13
15771.11,273787542.94,4.13
15867.70,273823718.74,4.13
15678.59,273813911.62,4.13
15071.23,273779054.61,4.13
14520.92,273747471.66,4.13
14172.17,273724742.58,4.13
14876.13,273736270.70,4.13
15510.61,273746660.96,4.13
16237.58,273758565.83,4.13
16847.43,273768524.40,4.13
16059.26,273754273.07,4.13
15285.78,273740287.31,4.13
14282.18,273722140.68,4.13
13498.76,273708045.50,4.13
13288.98,273707723.58,4.13
13078.82,273707401.06,4.13
12799.26,273706972.06,4.13
12639.26,273709347.17,4.13
15897.63,273895014.50,4.13
19179.04,274081994.21,4.13
23544.25,274330731.32,4.13
