freq,util,power
1200000.00,21.12,3.73
879972.78,21.84,4.27
1160646.69,23.64,4.01
600000.00,26.37,4.37
1000000.00,36.93,3.91
1200000.00,59.62,4.07
1200000.00,34.06,5.27
1200000.00,24.28,4.50
1000154.69,22.26,4.26
600000.00,21.55,4.38
600000.00,23.67,3.87
600000.00,23.89,3.87
600000.00,24.05,3.87
600000.00,24.22,3.87
600000.00,24.38,3.87
600000.00,24.46,3.87
600000.00,24.39,3.87
600000.00,24.33,3.86
900000.00,25.98,3.86
1200000.00,26.70,3.61
1200000.00,26.00,3.61
1200000.00,22.34,3.61
1200000.00,21.40,4.05
1200000.00,22.21,4.05
1200000.00,26.00,4.05
1200000.00,28.13,4.05
1200000.00,29.25,4.38
1200000.00,30.60,4.38
1200000.00,31.63,4.38
1200000.00,31.93,4.38
1200000.00,27.97,4.40
1200000.00,25.22,4.40
1200000.00,22.97,4.40
1200000.00,23.24,4.40
1200000.00,23.59,4.24
1191836.20,23.77,4.24
1071400.12,23.20,4.24
959043.28,22.67,4.24
809981.21,21.96,4.21
697878.02,21.43,4.21
600000.00,21.03,4.21
600000.00,22.12,4.21
600000.00,23.53,3.87
600000.00,24.56,3.87
600000.00,25.59,3.87
600000.00,26.32,3.87
600000.00,26.32,3.96
600000.00,26.32,3.96
600000.00,26.32,3.96
600000.00,26.32,3.96
600000.00,26.45,3.89
600000.00,26.93,3.89
600000.00,27.31,3.89
600000.00,27.65,3.89
600000.00,28.07,3.87
600000.00,28.12,3.87
600000.00,28.12,3.87
600000.00,28.12,3.87
600000.00,28.12,3.87
600000.00,28.12,3.87
600000.00,27.96,3.87
600000.00,27.46,3.87
600000.00,27.00,3.88
600000.00,26.66,3.88
600000.00,26.31,3.88
600000.00,26.00,3.88
600000.00,25.55,3.88
600000.00,25.25,3.88
600000.00,24.94,3.88
600000.00,24.74,3.88
600000.00,24.80,3.95
600000.00,24.85,3.95
600000.00,24.90,3.95
600000.00,24.95,3.95
600000.00,25.05,3.72
600000.00,25.43,3.72
600000.00,25.72,3.72
600000.00,26.01,3.72
600000.00,26.38,3.62
629678.04,26.60,3.62
784174.04,26.93,3.62
908601.34,27.20,3.62
1074809.80,27.56,3.60
1196950.38,27.83,3.60
1200000.00,28.06,3.60
1200000.00,28.76,3.60
1200000.00,29.39,4.00
1200000.00,28.44,4.00
1200000.00,25.45,4.00
1200000.00,23.47,4.00
1200000.00,22.45,4.11
1200000.00,22.05,4.11
1200000.00,21.78,4.11
1200000.00,21.67,4.11
1200000.00,21.67,4.02
1200000.00,21.67,4.02
1173770.92,21.74,4.02
1033038.18,22.16,4.02
880614.46,22.61,3.96
