freq,temp,util,power
942857.14,65451.14,22.18,3.56
600000.00,65438.33,25.15,3.61
600000.00,65528.00,25.10,3.62
600000.00,65528.00,25.61,3.65
600000.00,65528.00,27.06,3.61
660199.49,65528.00,27.06,3.61
857450.13,65528.00,26.96,3.61
1026019.19,65528.00,26.89,3.61
1161258.76,65528.00,26.82,3.61
1200000.00,65528.00,26.57,3.61
1200000.00,65528.00,25.34,3.61
1200000.00,65528.00,24.70,3.87
1098276.58,65883.58,21.97,3.87
600000.00,65528.00,20.71,3.93
600000.00,65528.00,21.92,3.70
600000.00,65799.48,25.13,3.70
600000.00,66186.67,25.29,3.75
600000.00,66297.27,25.07,3.75
600000.00,66448.83,24.77,3.65
600000.00,66562.38,24.55,3.65
600000.00,66566.25,24.49,3.65
600000.00,66424.54,24.56,3.65
600000.00,66316.49,24.61,3.64
600000.00,66213.55,24.66,3.64
600000.00,66110.88,24.71,3.64
633236.69,66066.00,24.73,3.64
793941.61,66066.00,24.73,3.74
910719.28,66066.00,24.73,3.74
1028270.67,66066.00,24.73,3.74
1145480.13,66066.00,24.73,3.74
1200000.00,66137.74,27.66,3.82
1200000.00,66367.68,37.03,3.82
1200000.00,66527.36,43.54,3.82
1200000.00,66604.00,46.74,3.82
1200000.00,66604.00,47.18,4.68
1200000.00,66604.00,47.47,4.68
1200000.00,66604.00,47.57,4.68
1200000.00,66604.00,47.29,4.68
1200000.00,66604.00,46.97,4.64
1200000.00,66615.39,46.70,4.64
1200000.00,66800.57,45.43,4.64
1200000.00,66973.98,44.25,4.64
1200000.00,67142.00,43.25,4.78
1200000.00,67142.00,44.23,4.78
1200000.00,67142.00,45.06,4.78
1200000.00,67142.00,45.88,4.78
1200000.00,67257.44,46.78,4.78
1200000.00,67534.21,48.89,4.78
1200000.00,67680.00,49.97,4.78
1200000.00,67680.00,49.25,4.78
1200000.00,67680.00,48.41,4.62
1200000.00,67680.00,47.71,4.62
1200000.00,67680.00,47.51,4.62
1200000.00,67680.00,47.15,4.62
1200000.00,67699.27,46.74,4.73
1200000.00,67882.43,46.39,4.73
1200000.00,68040.51,46.10,4.73
1200000.00,68201.92,45.79,4.73
1200000.00,68289.22,46.01,4.79
1200000.00,68518.32,46.80,4.79
1200000.00,68708.07,47.45,4.79
1200000.00,68702.16,47.26,4.79
1200000.00,68482.84,45.82,4.72
1200000.00,68331.05,44.81,4.72
1200000.00,68235.16,44.18,4.72
1200000.00,68399.67,45.29,4.72
1200000.00,68595.04,46.61,4.67
1200000.00,68742.16,47.60,4.67
1200000.00,68833.89,47.43,4.67
1200000.00,69082.12,46.61,4.67
1200000.00,69294.00,45.94,4.80
1200000.00,69294.00,46.72,4.80
1200000.00,69294.00,47.46,4.80
1200000.00,69294.00,48.20,4.80
1200000.00,69207.22,48.26,4.79
1200000.00,68961.86,47.91,4.79
1200000.00,68801.97,47.68,4.79
1200000.00,68813.99,47.34,4.79
1200000.00,69081.71,46.03,4.68
1200000.00,69240.73,45.26,4.68
1200000.00,69294.00,45.18,4.68
1200000.00,69294.00,45.87,4.68
1200000.00,69294.00,46.58,4.71
1200000.00,69343.34,46.68,4.71
1200000.00,69550.79,46.29,4.71
1200000.00,69708.90,45.99,4.71
1200000.00,69796.18,45.89,4.80
1200000.00,69629.44,46.46,4.80
1200000.00,69497.67,46.92,4.80
1200000.00,69366.31,47.37,4.80
1200000.00,69375.05,47.49,4.78
1200000.00,69661.98,47.04,4.78
1200000.00,69832.00,46.74,4.78
1200000.00,69832.00,46.17,4.78
1200000.00,69832.00,45.46,4.63
1200000.00,69832.00,45.04,4.63
1200000.00,69832.00,45.82,4.63
1200000.00,69832.00,46.57,4.63
1200000.00,69832.00,47.59,4.83
1200000.00,69832.00,47.92,4.83
1200000.00,69832.00,48.83,4.83
1200000.00,69832.00,49.45,4.83
1200000.00,69832.00,49.69,4.80
1200000.00,69832.00,47.99,4.80
1200000.00,69832.00,46.64,4.80
1200000.00,69832.00,45.29,4.80
1200000.00,69832.00,45.19,4.72
1200000.00,69832.00,45.73,4.72
1200000.00,69832.00,45.96,4.72
1200000.00,69832.00,46.24,4.72
1200000.00,69832.00,46.54,4.69
1200000.00,69868.59,46.73,4.69
1200000.00,70064.12,47.08,4.69
1200000.00,70223.93,47.36,4.69
1200000.00,70337.18,47.62,4.82
1200000.00,70078.74,47.62,4.82
1200000.00,69922.22,47.62,4.82
1200000.00,69899.02,47.51,4.82
1200000.00,70287.24,46.89,4.82
1200000.00,70606.85,46.38,4.82
1200000.00,70903.30,45.93,4.82
1200000.00,70744.71,46.90,4.82
1200000.00,70541.30,48.15,4.64
1200000.00,70384.49,49.12,4.64
1200000.00,70442.97,48.38,4.64
1200000.00,70677.29,45.72,4.64
1200000.00,70891.46,43.29,4.77
1200000.00,70908.00,43.58,4.77
1200000.00,70908.00,45.11,4.77
1200000.00,70908.00,46.17,4.77
1200000.00,70908.00,46.88,4.81
1200000.00,70908.00,47.24,4.81
1200000.00,70908.00,47.51,4.81
1200000.00,70908.00,47.68,4.81
1200000.00,70908.00,48.03,4.72
1200000.00,70908.00,48.26,4.72
1200000.00,70908.00,48.39,4.72
1200000.00,70908.00,48.41,4.72
1200000.00,70908.00,48.43,4.69
1200000.00,70908.00,48.28,4.69
1200000.00,70908.00,47.38,4.69
1200000.00,70908.00,46.63,4.69
1200000.00,70939.44,46.10,4.83
1200000.00,71129.74,47.27,4.83
1200000.00,71332.59,48.53,4.83
1200000.00,71422.92,49.04,4.83
1200000.00,71231.92,47.48,4.81
1200000.00,71071.85,46.17,4.81
1200000.00,70908.94,44.84,4.81
1200000.00,70908.00,44.99,4.81
1200000.00,70908.00,45.56,4.65
1200000.00,70908.00,45.87,4.65
1200000.00,70908.00,46.13,4.65
1200000.00,70908.00,46.87,4.65
1200000.00,70908.00,47.56,4.77
1200000.00,70975.64,47.61,4.77
1200000.00,71194.67,47.58,4.77
1200000.00,71347.20,47.56,4.77
