time_stamp,volt,curr,pf,mul
1559538578534,122.1,0.06689,0.549,4.483830681
1559538578580,122.1,0.06689,0.549,4.483830681
1559538578626,122.1,0.06689,0.549,4.483830681
1559538579136,122.1,0.06276,0.546,4.183995816
1559538579590,122.1,0.06141,0.548,4.108992228
1559538579857,122.1,0.05964,0.545,3.96871398
1559538580056,122.1,0.06205,0.548,4.15181514
1559538580103,122.1,0.06054,0.545,4.02860403
1559538580150,122.1,0.06054,0.545,4.02860403
1559538580206,122.1,0.06054,0.545,4.02860403
1559538580471,122.1,0.06054,0.545,4.02860403
1559538580597,122.1,0.06259,0.549,4.195589211
1559538580734,122.1,0.06259,0.549,4.195589211
1559538580780,122.1,0.05919,0.546,3.945996054
1559538580825,122.1,0.05919,0.546,3.945996054
1559538580891,122.1,0.06179,0.551,4.157052009
1559538580937,122.1,0.06179,0.551,4.157052009
1559538580983,122.1,0.06179,0.551,4.157052009
1559538581028,122.1,0.06179,0.551,4.157052009
1559538581092,122.0,0.06204,0.55,4.162884
1559538581138,122.0,0.06204,0.55,4.162884
1559538581183,122.0,0.06204,0.55,4.162884
1559538581229,122.0,0.06204,0.55,4.162884
1559538581291,122.1,0.05891,0.543,3.905750673
1559538581337,122.1,0.05891,0.543,3.905750673
1559538581383,122.1,0.05891,0.543,3.905750673
1559538581429,122.1,0.05891,0.543,3.905750673
1559538581491,122.1,0.06084,0.547,4.063424508
1559538581538,122.1,0.06084,0.547,4.063424508
1559538581585,122.1,0.06084,0.547,4.063424508
1559538581630,122.1,0.06084,0.547,4.063424508
1559538581692,122.1,0.06148,0.545,4.09115586
1559538581738,122.1,0.06148,0.545,4.09115586
1559538581784,122.1,0.06148,0.545,4.09115586
1559538581830,122.1,0.06148,0.545,4.09115586
1559538581892,122.1,0.05949,0.541,3.929677389
1559538581938,122.1,0.05949,0.541,3.929677389
1559538581984,122.1,0.05949,0.541,3.929677389
1559538582030,122.1,0.05949,0.541,3.929677389
1559538582094,122.1,0.06311,0.547,4.215034857
1559538582140,122.1,0.06311,0.547,4.215034857
1559538582186,122.1,0.06311,0.547,4.215034857
1559538582232,122.1,0.06311,0.547,4.215034857
1559538582292,122.1,0.06367,0.545,4.236888315
1559538582338,122.1,0.06367,0.545,4.236888315
1559538582384,122.1,0.06367,0.545,4.236888315
1559538582430,122.1,0.06367,0.545,4.236888315
1559538582491,122.1,0.06094,0.543,4.040340282
1559538582537,122.1,0.06094,0.543,4.040340282
1559538582583,122.1,0.06094,0.543,4.040340282
1559538582630,122.1,0.06094,0.543,4.040340282
1559538582692,122.1,0.05924,0.542,3.920396568
1559538582737,122.1,0.05924,0.542,3.920396568
1559538582784,122.1,0.05924,0.542,3.920396568
1559538582829,122.1,0.05924,0.542,3.920396568
1559538582892,122.1,0.0617,0.545,4.10579565
1559538582938,122.1,0.0617,0.545,4.10579565
1559538582984,122.1,0.0617,0.545,4.10579565
1559538583029,122.1,0.0617,0.545,4.10579565
1559538583092,122.1,0.06109,0.546,4.072662594
1559538583138,122.1,0.06109,0.546,4.072662594
1559538583183,122.1,0.06109,0.546,4.072662594
1559538583229,122.1,0.06109,0.546,4.072662594
1559538583291,122.1,0.05926,0.538,3.892777548
1559538583337,122.1,0.05926,0.538,3.892777548
1559538583383,122.1,0.05926,0.538,3.892777548
1559538583430,122.1,0.05926,0.538,3.892777548
1559538583492,122.1,0.06149,0.545,4.091821305
1559538583538,122.1,0.06149,0.545,4.091821305
1559538583584,122.1,0.06149,0.545,4.091821305
1559538583630,122.1,0.06149,0.545,4.091821305
1559538583692,122.1,0.06158,0.544,4.090291392
1559538583738,122.1,0.06158,0.544,4.090291392
1559538583784,122.1,0.06158,0.544,4.090291392
1559538583830,122.1,0.06158,0.544,4.090291392
1559538583892,122.1,0.05943,0.538,3.903944814
1559538583938,122.1,0.05943,0.538,3.903944814
1559538583984,122.1,0.05943,0.538,3.903944814
1559538584029,122.1,0.05943,0.538,3.903944814
1559538584091,122.1,0.06121,0.544,4.065715104
1559538584137,122.1,0.06121,0.544,4.065715104
1559538584183,122.1,0.06121,0.544,4.065715104
1559538584229,122.1,0.06121,0.544,4.065715104
1559538584291,122.1,0.06187,0.542,4.094445234
1559538584337,122.1,0.06187,0.542,4.094445234
1559538584383,122.1,0.06187,0.542,4.094445234
1559538584429,122.1,0.06187,0.542,4.094445234
1559538584492,122.1,0.05989,0.539,3.941474691
1559538584538,122.1,0.05989,0.539,3.941474691
1559538584584,122.1,0.05989,0.539,3.941474691
1559538584631,122.1,0.05989,0.539,3.941474691
1559538584692,122.1,0.06079,0.544,4.037817696
1559538584738,122.1,0.06079,0.544,4.037817696
1559538584784,122.1,0.06079,0.544,4.037817696
1559538584830,122.1,0.06079,0.544,4.037817696
1559538584891,122.1,0.06153,0.544,4.086970272
1559538584937,122.1,0.06153,0.544,4.086970272
1559538584983,122.1,0.06153,0.544,4.086970272
1559538585029,122.1,0.06153,0.544,4.086970272
1559538585092,122.1,0.05968,0.544,3.964088832
1559538585138,122.1,0.05968,0.544,3.964088832
1559538585184,122.1,0.05968,0.544,3.964088832
