# Fri Jun 07 19:33:29 2019
abstime,time_stamp,volt,curr,pf,mul
1559961209656,0.08,122.0,0.05704,0.532,3.70212416
1559961209703,0.127,122.0,0.05704,0.532,3.70212416
1559961209749,0.173,122.0,0.05704,0.532,3.70212416
1559961209795,0.219,122.0,0.05974,0.54,3.9356712
1559961209841,0.265,122.0,0.05974,0.54,3.9356712
1559961209887,0.311,122.0,0.05974,0.54,3.9356712
1559961209932,0.356,122.0,0.05974,0.54,3.9356712
1559961209978,0.402,122.0,0.05986,0.539,3.93627388
1559961210024,0.448,122.0,0.05986,0.539,3.93627388
1559961210070,0.494,122.0,0.05986,0.539,3.93627388
1559961210116,0.54,122.0,0.05986,0.539,3.93627388
1559961210177,0.601,122.0,0.05977,0.54,3.9376476
1559961210223,0.647,122.0,0.05977,0.54,3.9376476
1559961210269,0.693,122.0,0.05977,0.54,3.9376476
1559961210315,0.739,122.0,0.05977,0.54,3.9376476
1559961210376,0.8,122.0,0.06011,0.539,3.95271338
1559961210423,0.847,122.0,0.06011,0.539,3.95271338
1559961210469,0.893,122.0,0.06011,0.539,3.95271338
1559961210515,0.939,122.0,0.06011,0.539,3.95271338
1559961210577,1.001,121.9,0.06053,0.539,3.977069173
1559961210623,1.047,121.9,0.06053,0.539,3.977069173
1559961210670,1.094,121.9,0.06053,0.539,3.977069173
1559961210716,1.14,121.9,0.06053,0.539,3.977069173
1559961210777,1.201,121.9,0.0538,0.525,3.4430655
1559961210823,1.247,121.9,0.0538,0.525,3.4430655
1559961210869,1.293,121.9,0.0538,0.525,3.4430655
1559961210915,1.339,121.9,0.0538,0.525,3.4430655
1559961210976,1.4,121.9,0.05182,0.522,3.297399876
1559961211023,1.447,121.9,0.05182,0.522,3.297399876
1559961211069,1.493,121.9,0.05182,0.522,3.297399876
1559961211115,1.539,121.9,0.05182,0.522,3.297399876
1559961211176,1.6,121.9,0.05184,0.52,3.28603392
1559961211222,1.646,121.9,0.05184,0.52,3.28603392
1559961211268,1.692,121.9,0.05184,0.52,3.28603392
1559961211314,1.738,121.9,0.05184,0.52,3.28603392
1559961211377,1.801,121.9,0.05169,0.521,3.282826731
1559961211423,1.847,121.9,0.05169,0.521,3.282826731
1559961211469,1.893,121.9,0.05169,0.521,3.282826731
1559961211515,1.939,121.9,0.05169,0.521,3.282826731
1559961211577,2.001,121.9,0.05154,0.523,3.285865698
1559961211622,2.046,121.9,0.05154,0.523,3.285865698
1559961211668,2.092,121.9,0.05154,0.523,3.285865698
1559961211715,2.139,121.9,0.05154,0.523,3.285865698
1559961211777,2.201,121.8,0.0515,0.524,3.2868948
1559961211823,2.247,121.8,0.0515,0.524,3.2868948
1559961211870,2.294,121.8,0.0515,0.524,3.2868948
1559961211916,2.34,121.8,0.0515,0.524,3.2868948
1559961211977,2.401,121.9,0.05138,0.524,3.281928328
1559961212023,2.447,121.9,0.05138,0.524,3.281928328
1559961212069,2.493,121.9,0.05138,0.524,3.281928328
1559961212116,2.54,121.9,0.05138,0.524,3.281928328
1559961212177,2.601,121.9,0.05165,0.521,3.280286335
1559961212223,2.647,121.9,0.05165,0.521,3.280286335
1559961212269,2.693,121.9,0.05165,0.521,3.280286335
1559961212315,2.739,121.9,0.05165,0.521,3.280286335
1559961212376,2.8,121.9,0.05196,0.519,3.287306556
