phase, avg pwr, total energy, total time
idle,3.303929,16.536551,5.005117
turn_on,3.436808,0.635816,0.185002
turn_on_idle,3.292662,16.471442,5.002469
scan,3.333684,56.417867,16.923580
scan_idle,3.280424,16.418806,5.005087
connect,3.342064,6.554320,1.961159
connect_idle,3.307718,16.555316,5.005056
200,3.288466,0.002450,0.000745
500,3.294287,0.002609,0.000792
1000,3.296701,0.002670,0.000810
2000,3.290100,0.002704,0.000822
5000,3.290329,0.003067,0.000932
10000,3.288334,0.003716,0.001130
20000,3.305119,0.005143,0.001556
50000,3.314747,2.890118,0.871897
100000,3.345325,19.651953,5.874453
200000,3.356377,56.636236,16.874220
500000,3.360809,168.108498,50.020241
1000000,3.362554,352.775780,104.913056
