# Mon Jun 03 19:20:34 2019
abstime,time_stamp,volt,curr,pf,mul
1559614834685,0.079,122.0,0.05133,0.528,3.30647328
1559614834732,0.126,122.0,0.05946,0.55,3.989766
1559614834778,0.172,122.0,0.05946,0.55,3.989766
1559614834824,0.218,122.0,0.05946,0.55,3.989766
1559614834871,0.265,122.0,0.05946,0.55,3.989766
1559614834925,0.319,122.0,0.05917,0.551,3.97752574
1559614834971,0.365,122.0,0.05917,0.551,3.97752574
1559614835017,0.411,122.0,0.05917,0.551,3.97752574
1559614835062,0.456,122.0,0.05917,0.551,3.97752574
1559614835126,0.52,122.0,0.05947,0.55,3.990437
1559614835172,0.566,122.0,0.05947,0.55,3.990437
1559614835218,0.612,122.0,0.05947,0.55,3.990437
1559614835264,0.658,122.0,0.05947,0.55,3.990437
1559614835325,0.719,122.0,0.05939,0.552,3.99956016
1559614835371,0.765,122.0,0.05939,0.552,3.99956016
1559614835417,0.811,122.0,0.05939,0.552,3.99956016
1559614835463,0.857,122.0,0.05939,0.552,3.99956016
1559614835525,0.92,122.0,0.05948,0.552,4.00562112
1559614835572,0.966,122.0,0.05948,0.552,4.00562112
1559614835618,1.012,122.0,0.05948,0.552,4.00562112
1559614835664,1.058,122.0,0.05948,0.552,4.00562112
1559614835725,1.119,122.0,0.05664,0.544,3.75908352
1559614835771,1.165,122.0,0.05664,0.544,3.75908352
1559614835817,1.211,122.0,0.05664,0.544,3.75908352
1559614835863,1.257,122.0,0.05664,0.544,3.75908352
1559614835925,1.319,121.9,0.05119,0.531,3.313472391
1559614835971,1.365,121.9,0.05119,0.531,3.313472391
1559614836017,1.411,121.9,0.05119,0.531,3.313472391
1559614836063,1.457,121.9,0.05119,0.531,3.313472391
1559614836126,1.52,122.0,0.05102,0.532,3.31140208
1559614836172,1.566,122.0,0.05102,0.532,3.31140208
1559614836218,1.612,122.0,0.05102,0.532,3.31140208
1559614836264,1.658,122.0,0.05102,0.532,3.31140208
1559614836325,1.719,122.0,0.05105,0.532,3.3133492
1559614836371,1.765,122.0,0.05105,0.532,3.3133492
1559614836417,1.811,122.0,0.05105,0.532,3.3133492
1559614836463,1.858,122.0,0.05105,0.532,3.3133492
1559614836525,1.919,122.0,0.051,0.531,3.303882
1559614836571,1.965,122.0,0.051,0.531,3.303882
1559614836617,2.011,122.0,0.051,0.531,3.303882
1559614836663,2.057,122.0,0.051,0.531,3.303882
1559614836725,2.119,121.9,0.05114,0.53,3.30400198
1559614836771,2.165,121.9,0.05114,0.53,3.30400198
1559614836817,2.212,121.9,0.05114,0.53,3.30400198
1559614836864,2.258,121.9,0.05114,0.53,3.30400198
1559614836925,2.319,121.9,0.05102,0.532,3.308687816
1559614836971,2.365,121.9,0.05102,0.532,3.308687816
1559614837017,2.411,121.9,0.05102,0.532,3.308687816
1559614837063,2.457,121.9,0.05102,0.532,3.308687816
1559614837124,2.518,122.0,0.05103,0.531,3.30582546
1559614837170,2.564,122.0,0.05103,0.531,3.30582546
1559614837216,2.61,122.0,0.05103,0.531,3.30582546
1559614837262,2.656,122.0,0.05103,0.531,3.30582546
1559614837324,2.719,122.0,0.051,0.533,3.316326
1559614837370,2.765,122.0,0.051,0.533,3.316326
1559614837417,2.811,122.0,0.051,0.533,3.316326
1559614837463,2.857,122.0,0.051,0.533,3.316326
1559614837525,2.919,122.0,0.05117,0.53,3.3086522
1559614837571,2.965,122.0,0.05117,0.53,3.3086522
1559614837617,3.012,122.0,0.05117,0.53,3.3086522
1559614837664,3.058,122.0,0.05117,0.53,3.3086522
1559614837725,3.119,121.9,0.05171,0.532,3.353434868
1559614837771,3.165,121.9,0.05171,0.532,3.353434868
1559614837817,3.211,121.9,0.05171,0.532,3.353434868
1559614837863,3.257,121.9,0.05171,0.532,3.353434868
1559614837924,3.319,121.9,0.05128,0.529,3.306795928
1559614837971,3.365,121.9,0.05128,0.529,3.306795928
1559614838017,3.411,121.9,0.05128,0.529,3.306795928
1559614838063,3.457,121.9,0.05128,0.529,3.306795928
1559614838124,3.518,122.0,0.05118,0.53,3.3092988
1559614838170,3.564,122.0,0.05118,0.53,3.3092988
1559614838216,3.61,122.0,0.05118,0.53,3.3092988
1559614838262,3.657,122.0,0.05118,0.53,3.3092988
1559614838325,3.719,122.0,0.05087,0.532,3.30166648
1559614838371,3.765,122.0,0.05087,0.532,3.30166648
1559614838417,3.811,122.0,0.05087,0.532,3.30166648
1559614838463,3.858,122.0,0.05087,0.532,3.30166648
1559614838524,3.919,122.0,0.05089,0.532,3.30296456
1559614838570,3.965,122.0,0.05089,0.532,3.30296456
1559614838617,4.011,122.0,0.05089,0.532,3.30296456
1559614838663,4.057,122.0,0.05089,0.532,3.30296456
1559614838725,4.119,122.0,0.05145,0.529,3.3204801
1559614838771,4.165,122.0,0.05145,0.529,3.3204801
1559614838817,4.211,122.0,0.05145,0.529,3.3204801
1559614838863,4.257,122.0,0.05145,0.529,3.3204801
1559614838924,4.318,122.0,0.05111,0.531,3.31100802
1559614838970,4.364,122.0,0.05111,0.531,3.31100802
1559614839016,4.411,122.0,0.05111,0.531,3.31100802
1559614839063,4.457,122.0,0.05111,0.531,3.31100802
1559614839125,4.519,122.0,0.05108,0.53,3.3028328
1559614839171,4.565,122.0,0.05108,0.53,3.3028328
1559614839217,4.611,122.0,0.05108,0.53,3.3028328
1559614839263,4.657,122.0,0.05108,0.53,3.3028328
1559614839325,4.719,122.0,0.05118,0.53,3.3092988
1559614839370,4.765,122.0,0.05118,0.53,3.3092988
1559614839416,4.811,122.0,0.05118,0.53,3.3092988
1559614839463,4.857,122.0,0.05118,0.53,3.3092988
1559614839525,4.919,122.0,0.05075,0.533,3.3000695
1559614839571,4.965,122.0,0.05075,0.533,3.3000695
1559614839617,5.011,122.0,0.05075,0.533,3.3000695
1559614839663,5.058,122.0,0.05075,0.533,3.3000695
1559614839725,5.119,122.0,0.05673,0.543,3.75813558
1559614839771,5.165,122.0,0.05673,0.543,3.75813558
1559614839817,5.211,122.0,0.05673,0.543,3.75813558
1559614839863,5.257,122.0,0.05673,0.543,3.75813558
1559614839924,5.318,122.0,0.05244,0.532,3.40356576
1559614839970,5.364,122.0,0.05244,0.532,3.40356576
1559614840016,5.41,122.0,0.05244,0.532,3.40356576
1559614840062,5.456,122.0,0.05244,0.532,3.40356576
1559614840125,5.519,122.0,0.0509,0.532,3.3036136
