# Fri May 31 18:04:39 2019
abstime,time_stamp,volt,curr,pf,mul
1559351079887,0.08,122.4,0.05244,0.535,3.43398096
1559351079934,0.127,122.4,0.06216,0.556,4.230261504
1559351079980,0.173,122.4,0.06216,0.556,4.230261504
1559351080025,0.218,122.4,0.06216,0.556,4.230261504
1559351080071,0.264,122.4,0.06216,0.556,4.230261504
1559351080116,0.309,122.4,0.06284,0.56,4.30730496
1559351080162,0.355,122.4,0.06284,0.56,4.30730496
1559351080208,0.401,122.4,0.06284,0.56,4.30730496
1559351080254,0.447,122.4,0.06284,0.56,4.30730496
1559351080316,0.509,122.4,0.06328,0.557,4.314227904
1559351080362,0.555,122.4,0.06328,0.557,4.314227904
1559351080408,0.601,122.4,0.06328,0.557,4.314227904
1559351080453,0.646,122.4,0.06328,0.557,4.314227904
1559351080517,0.71,122.4,0.06298,0.557,4.293774864
1559351080563,0.756,122.4,0.06298,0.557,4.293774864
1559351080609,0.802,122.4,0.06298,0.557,4.293774864
1559351080655,0.848,122.4,0.06298,0.557,4.293774864
1559351080716,0.909,122.4,0.06304,0.557,4.297865472
1559351080762,0.955,122.4,0.06304,0.557,4.297865472
1559351080808,1.001,122.4,0.06304,0.557,4.297865472
1559351080855,1.048,122.4,0.06304,0.557,4.297865472
1559351080917,1.11,122.4,0.06305,0.557,4.29854724
1559351080963,1.156,122.4,0.06305,0.557,4.29854724
1559351081009,1.202,122.4,0.06305,0.557,4.29854724
1559351081055,1.248,122.4,0.06305,0.557,4.29854724
1559351081116,1.309,122.4,0.06308,0.557,4.300592544
1559351081162,1.355,122.4,0.06308,0.557,4.300592544
1559351081208,1.401,122.4,0.06308,0.557,4.300592544
1559351081254,1.447,122.4,0.06308,0.557,4.300592544
1559351081317,1.51,122.4,0.0633,0.556,4.30784352
1559351081363,1.556,122.4,0.0633,0.556,4.30784352
1559351081409,1.602,122.4,0.0633,0.556,4.30784352
1559351081455,1.648,122.4,0.0633,0.556,4.30784352
1559351081516,1.709,122.4,0.06317,0.556,4.298996448
1559351081562,1.755,122.4,0.06317,0.556,4.298996448
1559351081608,1.801,122.4,0.06317,0.556,4.298996448
1559351081654,1.847,122.4,0.06317,0.556,4.298996448
1559351081716,1.909,122.4,0.06333,0.556,4.309885152
1559351081763,1.956,122.4,0.06333,0.556,4.309885152
1559351081809,2.002,122.4,0.06333,0.556,4.309885152
1559351081855,2.048,122.4,0.06333,0.556,4.309885152
1559351081916,2.109,122.4,0.06298,0.558,4.301483616
1559351081962,2.155,122.4,0.06298,0.558,4.301483616
1559351082008,2.201,122.4,0.06298,0.558,4.301483616
1559351082054,2.247,122.4,0.06298,0.558,4.301483616
1559351082116,2.309,122.3,0.06352,0.554,4.303746784
1559351082162,2.355,122.3,0.06352,0.554,4.303746784
1559351082209,2.402,122.3,0.06352,0.554,4.303746784
1559351082255,2.448,122.3,0.06352,0.554,4.303746784
1559351082316,2.509,122.3,0.06346,0.554,4.299681532
1559351082362,2.555,122.3,0.06346,0.554,4.299681532
1559351082408,2.601,122.3,0.06346,0.554,4.299681532
1559351082454,2.647,122.3,0.06346,0.554,4.299681532
1559351082516,2.709,122.3,0.06338,0.555,4.30201257
1559351082562,2.755,122.3,0.06338,0.555,4.30201257
1559351082609,2.802,122.3,0.06338,0.555,4.30201257
1559351082655,2.848,122.3,0.06338,0.555,4.30201257
1559351082716,2.909,122.3,0.06328,0.556,4.302964064
1559351082762,2.955,122.3,0.06328,0.556,4.302964064
1559351082808,3.001,122.3,0.06328,0.556,4.302964064
1559351082854,3.047,122.3,0.06328,0.556,4.302964064
1559351082916,3.109,122.3,0.06387,0.551,4.304026851
1559351082962,3.156,122.3,0.06387,0.551,4.304026851
1559351083009,3.202,122.3,0.06387,0.551,4.304026851
1559351083055,3.248,122.3,0.06387,0.551,4.304026851
1559351083116,3.309,122.3,0.06402,0.551,4.314134946
1559351083162,3.355,122.3,0.06402,0.551,4.314134946
1559351083208,3.401,122.3,0.06402,0.551,4.314134946
1559351083254,3.447,122.3,0.06402,0.551,4.314134946
1559351083316,3.509,122.4,0.06324,0.556,4.303760256
1559351083363,3.556,122.4,0.06324,0.556,4.303760256
1559351083409,3.602,122.4,0.06324,0.556,4.303760256
1559351083455,3.648,122.4,0.06324,0.556,4.303760256
1559351083516,3.709,122.4,0.06286,0.561,4.316369904
1559351083562,3.755,122.4,0.06286,0.561,4.316369904
1559351083608,3.801,122.4,0.06286,0.561,4.316369904
1559351083654,3.847,122.4,0.06286,0.561,4.316369904
1559351083717,3.91,122.4,0.06343,0.554,4.301162928
1559351083763,3.956,122.4,0.06343,0.554,4.301162928
1559351083809,4.002,122.4,0.06343,0.554,4.301162928
1559351083856,4.049,122.4,0.06343,0.554,4.301162928
1559351083916,4.109,122.4,0.06348,0.554,4.304553408
