# Thu May 30 16:12:33 2019
abstime,time_stamp,volt,curr,pf,mul
1559257953959,0.08,121.7,0.04941,0.533,3.205034001
1559257954006,0.127,121.7,0.04941,0.533,3.205034001
1559257954051,0.172,121.7,0.05481,0.541,3.608673957
1559257954097,0.218,121.7,0.05481,0.541,3.608673957
1559257954142,0.263,121.7,0.05481,0.541,3.608673957
1559257954187,0.308,121.7,0.05481,0.541,3.608673957
1559257954239,0.36,121.7,0.05406,0.538,3.539556876
1559257954285,0.406,121.7,0.05406,0.538,3.539556876
1559257954330,0.451,121.7,0.05406,0.538,3.539556876
1559257954376,0.497,121.7,0.05406,0.538,3.539556876
1559257954439,0.56,121.7,0.05399,0.539,3.541544237
1559257954485,0.606,121.7,0.05399,0.539,3.541544237
1559257954531,0.652,121.7,0.05399,0.539,3.541544237
1559257954577,0.699,121.7,0.05399,0.539,3.541544237
1559257954640,0.761,121.7,0.05402,0.54,3.55008636
1559257954686,0.807,121.7,0.05402,0.54,3.55008636
1559257954732,0.853,121.7,0.05402,0.54,3.55008636
1559257954778,0.899,121.7,0.05402,0.54,3.55008636
1559257954839,0.96,121.7,0.05411,0.538,3.542830606
1559257954885,1.006,121.7,0.05411,0.538,3.542830606
1559257954931,1.052,121.7,0.05411,0.538,3.542830606
1559257954977,1.098,121.7,0.05411,0.538,3.542830606
1559257955039,1.161,121.7,0.05401,0.539,3.542856163
1559257955086,1.207,121.7,0.05401,0.539,3.542856163
1559257955132,1.253,121.7,0.05401,0.539,3.542856163
1559257955178,1.299,121.7,0.05401,0.539,3.542856163
1559257955239,1.36,121.7,0.05408,0.538,3.540866368
1559257955285,1.406,121.7,0.05408,0.538,3.540866368
1559257955331,1.452,121.7,0.05408,0.538,3.540866368
1559257955377,1.498,121.7,0.05408,0.538,3.540866368
1559257955439,1.561,121.6,0.05376,0.541,3.536633856
1559257955486,1.607,121.6,0.05376,0.541,3.536633856
1559257955532,1.653,121.6,0.05376,0.541,3.536633856
1559257955578,1.699,121.6,0.05376,0.541,3.536633856
1559257955639,1.76,121.6,0.0538,0.541,3.53926528
1559257955685,1.806,121.6,0.0538,0.541,3.53926528
1559257955731,1.852,121.6,0.0538,0.541,3.53926528
1559257955777,1.898,121.6,0.0538,0.541,3.53926528
1559257955839,1.961,121.6,0.05409,0.538,3.538611072
1559257955886,2.007,121.6,0.05409,0.538,3.538611072
1559257955932,2.053,121.6,0.05409,0.538,3.538611072
1559257955978,2.099,121.6,0.05409,0.538,3.538611072
1559257956039,2.16,121.6,0.05419,0.537,3.538563648
1559257956085,2.206,121.6,0.05419,0.537,3.538563648
1559257956131,2.252,121.6,0.05419,0.537,3.538563648
1559257956177,2.298,121.6,0.05419,0.537,3.538563648
1559257956240,2.361,121.6,0.05426,0.537,3.543134592
1559257956286,2.407,121.6,0.05426,0.537,3.543134592
1559257956332,2.453,121.6,0.05426,0.537,3.543134592
1559257956378,2.499,121.6,0.05426,0.537,3.543134592
1559257956439,2.56,121.6,0.05436,0.538,3.556274688
1559257956485,2.606,121.6,0.05436,0.538,3.556274688
1559257956531,2.652,121.6,0.05436,0.538,3.556274688
1559257956577,2.698,121.6,0.05436,0.538,3.556274688
1559257956640,2.761,121.6,0.05397,0.54,3.54388608
1559257956686,2.807,121.6,0.05397,0.54,3.54388608
1559257956732,2.853,121.6,0.05397,0.54,3.54388608
1559257956778,2.899,121.6,0.05397,0.54,3.54388608
1559257956839,2.96,121.6,0.05404,0.539,3.541911296
1559257956885,3.006,121.6,0.05404,0.539,3.541911296
1559257956931,3.052,121.6,0.05404,0.539,3.541911296
1559257956978,3.099,121.6,0.05404,0.539,3.541911296
1559257957039,3.16,121.6,0.05422,0.538,3.547115776
1559257957085,3.206,121.6,0.05422,0.538,3.547115776
1559257957131,3.252,121.6,0.05422,0.538,3.547115776
1559257957177,3.298,121.6,0.05422,0.538,3.547115776
1559257957239,3.36,121.6,0.0543,0.537,3.54574656
1559257957285,3.406,121.6,0.0543,0.537,3.54574656
1559257957331,3.452,121.6,0.0543,0.537,3.54574656
1559257957378,3.499,121.6,0.0543,0.537,3.54574656
1559257957439,3.56,121.6,0.05401,0.539,3.539945024
1559257957484,3.605,121.6,0.05401,0.539,3.539945024
1559257957531,3.652,121.6,0.05401,0.539,3.539945024
1559257957577,3.698,121.6,0.05401,0.539,3.539945024
1559257957639,3.76,121.6,0.05417,0.538,3.543844736
1559257957685,3.806,121.6,0.05417,0.538,3.543844736
1559257957731,3.852,121.6,0.05417,0.538,3.543844736
1559257957777,3.898,121.6,0.05417,0.538,3.543844736
1559257957840,3.961,121.7,0.05423,0.537,3.544087767
1559257957888,4.009,121.7,0.05423,0.537,3.544087767
1559257957934,4.055,121.7,0.05423,0.537,3.544087767
1559257957980,4.101,121.7,0.05423,0.537,3.544087767
1559257958038,4.159,121.7,0.05439,0.536,3.547924968
1559257958084,4.205,121.7,0.05439,0.536,3.547924968
1559257958129,4.25,121.7,0.05439,0.536,3.547924968
1559257958175,4.296,121.7,0.05439,0.536,3.547924968
1559257958239,4.36,121.7,0.05439,0.536,3.547924968
1559257958285,4.406,121.7,0.05439,0.536,3.547924968
1559257958331,4.452,121.7,0.05439,0.536,3.547924968
1559257958376,4.497,121.7,0.05439,0.536,3.547924968
1559257958439,4.56,121.7,0.05397,0.539,3.540232311
1559257958485,4.606,121.7,0.05397,0.539,3.540232311
1559257958531,4.652,121.7,0.05397,0.539,3.540232311
1559257958577,4.698,121.7,0.05397,0.539,3.540232311
1559257958638,4.759,121.7,0.05398,0.54,3.54745764
1559257958684,4.805,121.7,0.05398,0.54,3.54745764
1559257958730,4.851,121.7,0.05398,0.54,3.54745764
1559257958777,4.898,121.7,0.05398,0.54,3.54745764
1559257958839,4.96,121.7,0.05423,0.538,3.550687558
1559257958885,5.006,121.7,0.05423,0.538,3.550687558
1559257958931,5.052,121.7,0.05423,0.538,3.550687558
1559257958977,5.099,121.7,0.05423,0.538,3.550687558
1559257959038,5.16,121.7,0.05508,0.54,3.61974744
1559257959085,5.206,121.7,0.05508,0.54,3.61974744
1559257959131,5.252,121.7,0.05508,0.54,3.61974744
1559257959177,5.298,121.7,0.05508,0.54,3.61974744
1559257959239,5.36,121.7,0.0541,0.539,3.54875983
1559257959285,5.406,121.7,0.0541,0.539,3.54875983
1559257959331,5.452,121.7,0.0541,0.539,3.54875983
1559257959377,5.498,121.7,0.0541,0.539,3.54875983
1559257959438,5.559,121.7,0.05405,0.54,3.5520579
1559257959484,5.605,121.7,0.05405,0.54,3.5520579
1559257959530,5.651,121.7,0.05405,0.54,3.5520579
1559257959576,5.697,121.7,0.05405,0.54,3.5520579
1559257959639,5.76,121.7,0.05405,0.54,3.5520579
1559257959685,5.806,121.7,0.05405,0.54,3.5520579
1559257959731,5.852,121.7,0.05405,0.54,3.5520579
1559257959777,5.898,121.7,0.05405,0.54,3.5520579
1559257959838,5.959,121.7,0.05411,0.538,3.542830606
1559257959884,6.005,121.7,0.05411,0.538,3.542830606
1559257959930,6.051,121.7,0.05411,0.538,3.542830606
1559257959976,6.097,121.7,0.05411,0.538,3.542830606
1559257960038,6.16,121.7,0.05456,0.535,3.55237432
1559257960085,6.206,121.7,0.05456,0.535,3.55237432
1559257960131,6.252,121.7,0.05456,0.535,3.55237432
1559257960177,6.298,121.7,0.05456,0.535,3.55237432
1559257960239,6.36,121.6,0.0544,0.535,3.5390464
1559257960285,6.406,121.6,0.0544,0.535,3.5390464
1559257960331,6.452,121.6,0.0544,0.535,3.5390464
1559257960377,6.498,121.6,0.0544,0.535,3.5390464
1559257960438,6.559,121.6,0.05434,0.537,3.548358528
1559257960484,6.605,121.6,0.05434,0.537,3.548358528
1559257960530,6.651,121.6,0.05434,0.537,3.548358528
1559257960576,6.697,121.6,0.05434,0.537,3.548358528
1559257960639,6.76,121.6,0.05707,0.542,3.761323904
1559257960685,6.806,121.6,0.05707,0.542,3.761323904
1559257960731,6.852,121.6,0.05707,0.542,3.761323904
1559257960777,6.898,121.6,0.05707,0.542,3.761323904
1559257960839,6.96,121.6,0.05765,0.545,3.8205808
1559257960885,7.006,121.6,0.05765,0.545,3.8205808
1559257960931,7.052,121.6,0.05765,0.545,3.8205808
1559257960977,7.099,121.6,0.05765,0.545,3.8205808
1559257961039,7.16,121.6,0.05786,0.546,3.841533696
1559257961085,7.206,121.6,0.05786,0.546,3.841533696
1559257961131,7.252,121.6,0.05786,0.546,3.841533696
1559257961177,7.298,121.6,0.05786,0.546,3.841533696
1559257961239,7.36,121.6,0.05759,0.544,3.809601536
1559257961285,7.406,121.6,0.05759,0.544,3.809601536
1559257961331,7.452,121.6,0.05759,0.544,3.809601536
1559257961377,7.498,121.6,0.05759,0.544,3.809601536
1559257961438,7.559,121.6,0.05788,0.542,3.814708736
1559257961485,7.606,121.6,0.05788,0.542,3.814708736
1559257961531,7.652,121.6,0.05788,0.542,3.814708736
1559257961577,7.698,121.6,0.05788,0.542,3.814708736
1559257961638,7.759,121.6,0.05907,0.543,3.900321216
1559257961684,7.805,121.6,0.05907,0.543,3.900321216
1559257961730,7.851,121.6,0.05907,0.543,3.900321216
1559257961776,7.897,121.6,0.05907,0.543,3.900321216
1559257961839,7.96,121.6,0.05791,0.54,3.80260224
1559257961888,8.009,121.6,0.05791,0.54,3.80260224
1559257961934,8.055,121.6,0.05791,0.54,3.80260224
1559257961980,8.101,121.6,0.05791,0.54,3.80260224
1559257962039,8.16,121.7,0.05787,0.541,3.810143439
1559257962085,8.206,121.7,0.05787,0.541,3.810143439
1559257962131,8.252,121.7,0.05787,0.541,3.810143439
1559257962177,8.298,121.7,0.05787,0.541,3.810143439
1559257962238,8.359,121.7,0.05807,0.539,3.809177141
1559257962284,8.405,121.7,0.05807,0.539,3.809177141
1559257962330,8.451,121.7,0.05807,0.539,3.809177141
1559257962376,8.497,121.7,0.05807,0.539,3.809177141
1559257962439,8.56,121.7,0.05791,0.54,3.80572938
1559257962485,8.606,121.7,0.05791,0.54,3.80572938
1559257962531,8.652,121.7,0.05791,0.54,3.80572938
1559257962577,8.698,121.7,0.05791,0.54,3.80572938
1559257962638,8.759,121.7,0.05758,0.541,3.791049926
1559257962684,8.805,121.7,0.05758,0.541,3.791049926
1559257962730,8.851,121.7,0.05758,0.541,3.791049926
1559257962776,8.897,121.7,0.05758,0.541,3.791049926
1559257962838,8.959,121.7,0.05766,0.541,3.796317102
1559257962885,9.006,121.7,0.05766,0.541,3.796317102
1559257962931,9.052,121.7,0.05766,0.541,3.796317102
1559257962977,9.098,121.7,0.05766,0.541,3.796317102
1559257963039,9.16,121.8,0.05782,0.54,3.80293704
1559257963085,9.206,121.8,0.05782,0.54,3.80293704
1559257963131,9.252,121.8,0.05782,0.54,3.80293704
1559257963177,9.298,121.8,0.05782,0.54,3.80293704
1559257963239,9.36,121.7,0.05599,0.536,3.652294888
1559257963285,9.406,121.7,0.05599,0.536,3.652294888
1559257963331,9.452,121.7,0.05599,0.536,3.652294888
1559257963377,9.498,121.7,0.05599,0.536,3.652294888
1559257963438,9.559,121.7,0.05451,0.534,3.542484978
1559257963484,9.605,121.7,0.05451,0.534,3.542484978
1559257963530,9.651,121.7,0.05451,0.534,3.542484978
1559257963576,9.697,121.7,0.05451,0.534,3.542484978
1559257963639,9.76,121.7,0.05457,0.534,3.546384246
1559257963685,9.806,121.7,0.05457,0.534,3.546384246
1559257963731,9.852,121.7,0.05457,0.534,3.546384246
1559257963777,9.898,121.7,0.05457,0.534,3.546384246
1559257963838,9.959,121.7,0.0546,0.533,3.54168906
1559257963884,10.005,121.7,0.0546,0.533,3.54168906
1559257963930,10.051,121.7,0.0546,0.533,3.54168906
1559257963976,10.097,121.7,0.0546,0.533,3.54168906
1559257964039,10.16,121.7,0.05894,0.544,3.902110912
1559257964085,10.206,121.7,0.05894,0.544,3.902110912
1559257964131,10.252,121.7,0.05894,0.544,3.902110912
1559257964178,10.299,121.7,0.05894,0.544,3.902110912
1559257964238,10.359,121.7,0.05791,0.54,3.80572938
1559257964284,10.405,121.7,0.05791,0.54,3.80572938
1559257964330,10.451,121.7,0.05791,0.54,3.80572938
1559257964377,10.498,121.7,0.05791,0.54,3.80572938
1559257964439,10.56,121.7,0.05781,0.542,3.813228534
1559257964485,10.606,121.7,0.05781,0.542,3.813228534
1559257964531,10.652,121.7,0.05781,0.542,3.813228534
