# Fri May 31 20:52:18 2019
abstime,time_stamp,volt,curr,pf,mul
1559361139036,0.079,122.5,0.05302,0.517,3.35788915
1559361139095,0.138,122.6,0.05626,0.527,3.634969852
1559361139141,0.184,122.6,0.05626,0.527,3.634969852
1559361139187,0.23,122.6,0.05626,0.527,3.634969852
1559361139232,0.275,122.6,0.05626,0.527,3.634969852
1559361139296,0.339,122.6,0.05538,0.524,3.557744112
1559361139342,0.385,122.6,0.05538,0.524,3.557744112
1559361139387,0.43,122.6,0.05538,0.524,3.557744112
1559361139432,0.475,122.6,0.05538,0.524,3.557744112
1559361139495,0.538,122.6,0.05551,0.524,3.566095624
1559361139540,0.583,122.6,0.05551,0.524,3.566095624
1559361139586,0.629,122.6,0.05551,0.524,3.566095624
1559361139632,0.675,122.6,0.05551,0.524,3.566095624
1559361139696,0.739,122.6,0.05562,0.523,3.566343276
1559361139742,0.785,122.6,0.05562,0.523,3.566343276
1559361139788,0.831,122.6,0.05562,0.523,3.566343276
1559361139834,0.877,122.6,0.05562,0.523,3.566343276
1559361139895,0.938,122.5,0.05539,0.525,3.562269375
1559361139941,0.984,122.5,0.05539,0.525,3.562269375
1559361139987,1.03,122.5,0.05539,0.525,3.562269375
1559361140034,1.077,122.5,0.05539,0.525,3.562269375
1559361140095,1.138,122.6,0.05519,0.527,3.565836938
1559361140141,1.184,122.6,0.05519,0.527,3.565836938
1559361140187,1.23,122.6,0.05519,0.527,3.565836938
1559361140233,1.276,122.6,0.05519,0.527,3.565836938
1559361140295,1.339,122.6,0.05543,0.525,3.56775195
1559361140342,1.385,122.6,0.05543,0.525,3.56775195
1559361140388,1.431,122.6,0.05543,0.525,3.56775195
1559361140434,1.477,122.6,0.05543,0.525,3.56775195
1559361140495,1.538,122.6,0.05544,0.524,3.561598656
1559361140541,1.584,122.6,0.05544,0.524,3.561598656
1559361140587,1.63,122.6,0.05544,0.524,3.561598656
1559361140633,1.676,122.6,0.05544,0.524,3.561598656
1559361140696,1.739,122.5,0.05579,0.521,3.560657275
1559361140742,1.785,122.5,0.05579,0.521,3.560657275
1559361140788,1.831,122.5,0.05579,0.521,3.560657275
1559361140834,1.877,122.5,0.05579,0.521,3.560657275
1559361140895,1.938,122.5,0.05566,0.523,3.56599705
1559361140941,1.984,122.5,0.05566,0.523,3.56599705
1559361140987,2.031,122.5,0.05566,0.523,3.56599705
1559361141034,2.077,122.5,0.05566,0.523,3.56599705
1559361141095,2.138,122.5,0.05522,0.527,3.56486515
1559361141141,2.184,122.5,0.05522,0.527,3.56486515
1559361141186,2.23,122.5,0.05522,0.527,3.56486515
1559361141233,2.276,122.5,0.05522,0.527,3.56486515
1559361141295,2.338,122.5,0.05588,0.52,3.559556
1559361141341,2.384,122.5,0.05588,0.52,3.559556
1559361141387,2.43,122.5,0.05588,0.52,3.559556
1559361141433,2.476,122.5,0.05588,0.52,3.559556
1559361141496,2.539,122.5,0.05561,0.524,3.5696059
1559361141542,2.585,122.5,0.05561,0.524,3.5696059
1559361141588,2.631,122.5,0.05561,0.524,3.5696059
1559361141634,2.677,122.5,0.05561,0.524,3.5696059
1559361141695,2.738,122.5,0.05529,0.526,3.56261115
1559361141741,2.784,122.5,0.05529,0.526,3.56261115
1559361141788,2.831,122.5,0.05529,0.526,3.56261115
1559361141834,2.877,122.5,0.05529,0.526,3.56261115
1559361141895,2.938,122.5,0.05576,0.523,3.5724038
1559361141941,2.984,122.5,0.05576,0.523,3.5724038
1559361141987,3.03,122.5,0.05576,0.523,3.5724038
1559361142034,3.077,122.5,0.05576,0.523,3.5724038
1559361142095,3.138,122.5,0.05564,0.524,3.5715316
1559361142141,3.184,122.5,0.05564,0.524,3.5715316
1559361142187,3.23,122.5,0.05564,0.524,3.5715316
1559361142233,3.276,122.5,0.05564,0.524,3.5715316
1559361142295,3.338,122.5,0.05544,0.524,3.5586936
1559361142341,3.384,122.5,0.05544,0.524,3.5586936
1559361142387,3.43,122.5,0.05544,0.524,3.5586936
1559361142433,3.476,122.5,0.05544,0.524,3.5586936
1559361142496,3.539,122.6,0.05617,0.525,3.61538205
1559361142542,3.585,122.6,0.05617,0.525,3.61538205
1559361142589,3.632,122.6,0.05617,0.525,3.61538205
1559361142635,3.678,122.6,0.05617,0.525,3.61538205
1559361142695,3.738,122.6,0.05669,0.525,3.64885185
1559361142741,3.784,122.6,0.05669,0.525,3.64885185
1559361142787,3.83,122.6,0.05669,0.525,3.64885185
1559361142833,3.876,122.6,0.05669,0.525,3.64885185
1559361142896,3.939,122.6,0.05525,0.527,3.56971355
1559361142942,3.985,122.6,0.05525,0.527,3.56971355
1559361142988,4.031,122.6,0.05525,0.527,3.56971355
1559361143035,4.078,122.6,0.05525,0.527,3.56971355
1559361143095,4.138,122.6,0.05526,0.526,3.563584776
1559361143140,4.183,122.6,0.05526,0.526,3.563584776
1559361143187,4.23,122.6,0.05526,0.526,3.563584776
1559361143233,4.276,122.6,0.05526,0.526,3.563584776
1559361143295,4.338,122.6,0.05537,0.527,3.577466774
1559361143341,4.384,122.6,0.05537,0.527,3.577466774
1559361143387,4.43,122.6,0.05537,0.527,3.577466774
1559361143433,4.476,122.6,0.05537,0.527,3.577466774
1559361143494,4.537,122.6,0.05521,0.527,3.567129142
1559361143540,4.583,122.6,0.05521,0.527,3.567129142
1559361143586,4.629,122.6,0.05521,0.527,3.567129142
1559361143633,4.676,122.6,0.05521,0.527,3.567129142
1559361143695,4.738,122.6,0.0554,0.525,3.565821
1559361143741,4.784,122.6,0.0554,0.525,3.565821
1559361143787,4.83,122.6,0.0554,0.525,3.565821
1559361143833,4.876,122.6,0.0554,0.525,3.565821
1559361143896,4.939,122.6,0.0554,0.526,3.57261304
1559361143942,4.985,122.6,0.0554,0.526,3.57261304
1559361143988,5.031,122.6,0.0554,0.526,3.57261304
1559361144034,5.077,122.6,0.0554,0.526,3.57261304
1559361144095,5.138,122.6,0.05635,0.526,3.63387626
1559361144141,5.184,122.6,0.05635,0.526,3.63387626
1559361144187,5.23,122.6,0.05635,0.526,3.63387626
1559361144233,5.276,122.6,0.05635,0.526,3.63387626
1559361144295,5.338,122.6,0.05607,0.528,3.629568096
1559361144340,5.383,122.6,0.05607,0.528,3.629568096
1559361144387,5.43,122.6,0.05607,0.528,3.629568096
1559361144433,5.476,122.6,0.05607,0.528,3.629568096
1559361144495,5.538,122.6,0.05502,0.529,3.568344108
1559361144541,5.584,122.6,0.05502,0.529,3.568344108
1559361144587,5.63,122.6,0.05502,0.529,3.568344108
1559361144634,5.677,122.6,0.05502,0.529,3.568344108
1559361144695,5.738,122.6,0.05507,0.528,3.564835296
1559361144740,5.783,122.6,0.05507,0.528,3.564835296
1559361144787,5.83,122.6,0.05507,0.528,3.564835296
1559361144833,5.876,122.6,0.05507,0.528,3.564835296
1559361144895,5.938,122.5,0.05524,0.528,3.5729232
1559361144941,5.984,122.5,0.05524,0.528,3.5729232
1559361144987,6.03,122.5,0.05524,0.528,3.5729232
1559361145034,6.077,122.5,0.05524,0.528,3.5729232
1559361145095,6.138,122.5,0.05537,0.525,3.560983125
1559361145141,6.184,122.5,0.05537,0.525,3.560983125
1559361145187,6.23,122.5,0.05537,0.525,3.560983125
1559361145233,6.276,122.5,0.05537,0.525,3.560983125
1559361145295,6.338,122.5,0.05605,0.52,3.570385
1559361145341,6.384,122.5,0.05605,0.52,3.570385
1559361145388,6.431,122.5,0.05605,0.52,3.570385
1559361145434,6.477,122.5,0.05605,0.52,3.570385
1559361145495,6.538,122.5,0.05611,0.519,3.567333525
1559361145541,6.584,122.5,0.05611,0.519,3.567333525
1559361145587,6.63,122.5,0.05611,0.519,3.567333525
1559361145633,6.676,122.5,0.05611,0.519,3.567333525
1559361145695,6.738,122.5,0.05597,0.521,3.572145325
1559361145741,6.784,122.5,0.05597,0.521,3.572145325
1559361145788,6.831,122.5,0.05597,0.521,3.572145325
1559361145834,6.877,122.5,0.05597,0.521,3.572145325
1559361145895,6.938,122.5,0.05564,0.524,3.5715316
1559361145941,6.984,122.5,0.05564,0.524,3.5715316
1559361145987,7.03,122.5,0.05564,0.524,3.5715316
1559361146033,7.076,122.5,0.05564,0.524,3.5715316
1559361146095,7.138,122.5,0.05545,0.526,3.57292075
1559361146141,7.184,122.5,0.05545,0.526,3.57292075
1559361146187,7.23,122.5,0.05545,0.526,3.57292075
1559361146233,7.276,122.5,0.05545,0.526,3.57292075
1559361146294,7.337,122.5,0.0553,0.527,3.57002975
1559361146340,7.383,122.5,0.0553,0.527,3.57002975
1559361146386,7.429,122.5,0.0553,0.527,3.57002975
1559361146433,7.476,122.5,0.0553,0.527,3.57002975
1559361146495,7.538,122.5,0.05521,0.527,3.564219575
1559361146541,7.584,122.5,0.05521,0.527,3.564219575
1559361146587,7.63,122.5,0.05521,0.527,3.564219575
1559361146633,7.676,122.5,0.05521,0.527,3.564219575
1559361146694,7.737,122.5,0.05521,0.527,3.564219575
1559361146740,7.783,122.5,0.05521,0.527,3.564219575
1559361146787,7.83,122.5,0.05521,0.527,3.564219575
