# Fri Jun 07 19:51:02 2019
abstime,time_stamp,volt,curr,pf,mul
1559962262782,0.08,121.5,0.05073,0.526,3.24210357
1559962262830,0.128,121.5,0.05073,0.526,3.24210357
1559962262876,0.174,121.5,0.05133,0.528,3.29292216
1559962262921,0.219,121.5,0.05133,0.528,3.29292216
1559962262967,0.265,121.5,0.05133,0.528,3.29292216
1559962263013,0.311,121.5,0.05133,0.528,3.29292216
1559962263066,0.364,121.5,0.04902,0.522,3.10899546
1559962263112,0.41,121.5,0.04902,0.522,3.10899546
1559962263157,0.455,121.5,0.04902,0.522,3.10899546
1559962263203,0.501,121.5,0.04902,0.522,3.10899546
1559962263266,0.564,121.5,0.04893,0.524,3.11517738
1559962263312,0.61,121.5,0.04893,0.524,3.11517738
1559962263358,0.656,121.5,0.04893,0.524,3.11517738
1559962263403,0.701,121.5,0.04893,0.524,3.11517738
1559962263465,0.763,121.6,0.04896,0.522,3.107745792
1559962263511,0.809,121.6,0.04896,0.522,3.107745792
1559962263557,0.855,121.6,0.04896,0.522,3.107745792
1559962263603,0.901,121.6,0.04896,0.522,3.107745792
1559962263665,0.963,121.6,0.04906,0.523,3.120059008
1559962263712,1.01,121.6,0.04906,0.523,3.120059008
1559962263758,1.056,121.6,0.04906,0.523,3.120059008
1559962263804,1.102,121.6,0.04906,0.523,3.120059008
1559962263866,1.164,121.6,0.04892,0.524,3.117104128
1559962263912,1.21,121.6,0.04892,0.524,3.117104128
1559962263958,1.256,121.6,0.04892,0.524,3.117104128
1559962264004,1.302,121.6,0.04892,0.524,3.117104128
1559962264065,1.363,121.6,0.04861,0.526,3.109173376
1559962264111,1.409,121.6,0.04861,0.526,3.109173376
1559962264158,1.456,121.6,0.04861,0.526,3.109173376
1559962264204,1.502,121.6,0.04861,0.526,3.109173376
1559962264266,1.564,121.6,0.04869,0.525,3.1083696
1559962264312,1.61,121.6,0.04869,0.525,3.1083696
1559962264359,1.657,121.6,0.04869,0.525,3.1083696
1559962264405,1.703,121.6,0.04869,0.525,3.1083696
1559962264466,1.764,121.6,0.04862,0.527,3.115725184
1559962264512,1.81,121.6,0.04862,0.527,3.115725184
1559962264558,1.856,121.6,0.04862,0.527,3.115725184
1559962264605,1.903,121.6,0.04862,0.527,3.115725184
1559962264666,1.964,121.6,0.04837,0.528,3.105586176
1559962264712,2.01,121.6,0.04837,0.528,3.105586176
1559962264758,2.056,121.6,0.04837,0.528,3.105586176
1559962264804,2.102,121.6,0.04837,0.528,3.105586176
1559962264865,2.163,121.6,0.04857,0.526,3.106614912
1559962264911,2.209,121.6,0.04857,0.526,3.106614912
1559962264957,2.255,121.6,0.04857,0.526,3.106614912
1559962265003,2.301,121.6,0.04857,0.526,3.106614912
1559962265065,2.363,121.6,0.04884,0.525,3.1179456
1559962265112,2.41,121.6,0.04884,0.525,3.1179456
1559962265158,2.456,121.6,0.04884,0.525,3.1179456
1559962265204,2.502,121.6,0.04884,0.525,3.1179456
1559962265265,2.563,121.6,0.04881,0.524,3.110095104
1559962265311,2.609,121.6,0.04881,0.524,3.110095104
1559962265357,2.655,121.6,0.04881,0.524,3.110095104
1559962265403,2.701,121.6,0.04881,0.524,3.110095104
1559962265466,2.764,121.6,0.04894,0.522,3.106476288
1559962265512,2.81,121.6,0.04894,0.522,3.106476288
1559962265558,2.856,121.6,0.04894,0.522,3.106476288
1559962265604,2.902,121.6,0.04894,0.522,3.106476288
1559962265665,2.963,121.6,0.04885,0.524,3.11264384
1559962265711,3.009,121.6,0.04885,0.524,3.11264384
1559962265757,3.055,121.6,0.04885,0.524,3.11264384
1559962265803,3.101,121.6,0.04885,0.524,3.11264384
1559962265866,3.164,121.5,0.04861,0.526,3.10661649
1559962265912,3.21,121.5,0.04861,0.526,3.10661649
1559962265958,3.256,121.5,0.04861,0.526,3.10661649
1559962266004,3.302,121.5,0.04861,0.526,3.10661649
1559962266065,3.363,121.5,0.04875,0.525,3.109640625
1559962266111,3.409,121.5,0.04875,0.525,3.109640625
1559962266157,3.455,121.5,0.04875,0.525,3.109640625
1559962266204,3.502,121.5,0.04875,0.525,3.109640625
1559962266266,3.564,121.5,0.04869,0.526,3.11172921
1559962266312,3.61,121.5,0.04869,0.526,3.11172921
1559962266358,3.656,121.5,0.04869,0.526,3.11172921
1559962266404,3.702,121.5,0.04869,0.526,3.11172921
1559962266465,3.763,121.5,0.04859,0.527,3.111241995
1559962266511,3.809,121.5,0.04859,0.527,3.111241995
1559962266557,3.855,121.5,0.04859,0.527,3.111241995
1559962266603,3.901,121.5,0.04859,0.527,3.111241995
1559962266666,3.964,121.5,0.04859,0.528,3.11714568
1559962266712,4.01,121.5,0.04859,0.528,3.11714568
1559962266758,4.056,121.5,0.04859,0.528,3.11714568
1559962266804,4.102,121.5,0.04859,0.528,3.11714568
1559962266866,4.164,121.5,0.04866,0.526,3.10981194
1559962266912,4.21,121.5,0.04866,0.526,3.10981194
1559962266958,4.256,121.5,0.04866,0.526,3.10981194
