# Tue Jun 11 20:42:50 2019
abstime,time_stamp,volt,curr,pf,mul
1560310970980,0.08,121.5,0.05199,0.52,3.2847282
1560310971029,0.128,121.5,0.05658,0.527,3.62284569
1560310971075,0.174,121.5,0.05658,0.527,3.62284569
1560310971121,0.22,121.5,0.05658,0.527,3.62284569
1560310971167,0.266,121.5,0.05658,0.527,3.62284569
1560310971228,0.327,121.5,0.05196,0.523,3.30177222
1560310971274,0.373,121.5,0.05196,0.523,3.30177222
1560310971319,0.418,121.5,0.05196,0.523,3.30177222
1560310971365,0.464,121.5,0.05196,0.523,3.30177222
1560310971428,0.527,121.5,0.05201,0.521,3.292311015
1560310971474,0.573,121.5,0.05201,0.521,3.292311015
1560310971520,0.619,121.5,0.05201,0.521,3.292311015
1560310971567,0.666,121.5,0.05201,0.521,3.292311015
1560310971629,0.728,121.5,0.052,0.521,3.291678
1560310971675,0.774,121.5,0.052,0.521,3.291678
1560310971722,0.821,121.5,0.052,0.521,3.291678
1560310971768,0.867,121.5,0.052,0.521,3.291678
1560310971829,0.928,121.5,0.05212,0.52,3.2929416
1560310971875,0.974,121.5,0.05212,0.52,3.2929416
1560310971921,1.02,121.5,0.05212,0.52,3.2929416
1560310971967,1.066,121.5,0.05212,0.52,3.2929416
1560310972028,1.127,121.5,0.05201,0.521,3.292311015
1560310972074,1.173,121.5,0.05201,0.521,3.292311015
1560310972122,1.221,121.5,0.05201,0.521,3.292311015
1560310972168,1.267,121.5,0.05201,0.521,3.292311015
1560310972229,1.328,121.5,0.0521,0.52,3.291678
1560310972275,1.374,121.5,0.0521,0.52,3.291678
1560310972321,1.42,121.5,0.0521,0.52,3.291678
1560310972367,1.466,121.5,0.0521,0.52,3.291678
1560310972428,1.527,121.5,0.05218,0.519,3.29039253
1560310972474,1.573,121.5,0.05218,0.519,3.29039253
1560310972521,1.62,121.5,0.05218,0.519,3.29039253
1560310972567,1.666,121.5,0.05218,0.519,3.29039253
1560310972629,1.728,121.5,0.05239,0.518,3.29726943
1560310972675,1.774,121.5,0.05239,0.518,3.29726943
