# Thu May 30 16:10:26 2019
abstime,time_stamp,volt,curr,pf,mul
1559257826617,0.08,121.6,0.05097,0.533,3.303508416
1559257826664,0.127,121.6,0.06198,0.562,4.235663616
1559257826710,0.174,121.6,0.06198,0.562,4.235663616
1559257826755,0.218,121.6,0.06198,0.562,4.235663616
1559257826801,0.264,121.6,0.06198,0.562,4.235663616
1559257826852,0.316,121.6,0.06081,0.56,4.14091776
1559257826897,0.36,121.6,0.06081,0.56,4.14091776
1559257826943,0.406,121.6,0.06081,0.56,4.14091776
1559257826989,0.452,121.6,0.06081,0.56,4.14091776
1559257827053,0.516,121.5,0.06088,0.56,4.1422752
1559257827098,0.561,121.5,0.06088,0.56,4.1422752
1559257827144,0.607,121.5,0.06088,0.56,4.1422752
1559257827189,0.652,121.5,0.06088,0.56,4.1422752
1559257827252,0.715,121.6,0.06086,0.561,4.151723136
1559257827298,0.761,121.6,0.06086,0.561,4.151723136
1559257827344,0.807,121.6,0.06086,0.561,4.151723136
1559257827390,0.853,121.6,0.06086,0.561,4.151723136
1559257827453,0.916,121.6,0.06101,0.561,4.161955776
1559257827499,0.962,121.6,0.06101,0.561,4.161955776
1559257827545,1.008,121.6,0.06101,0.561,4.161955776
1559257827591,1.054,121.6,0.06101,0.561,4.161955776
1559257827652,1.115,121.6,0.06077,0.561,4.145583552
1559257827698,1.161,121.6,0.06077,0.561,4.145583552
1559257827744,1.207,121.6,0.06077,0.561,4.145583552
1559257827790,1.253,121.6,0.06077,0.561,4.145583552
1559257827853,1.316,121.6,0.06083,0.561,4.149676608
1559257827899,1.362,121.6,0.06083,0.561,4.149676608
1559257827945,1.408,121.6,0.06083,0.561,4.149676608
1559257827991,1.454,121.6,0.06083,0.561,4.149676608
1559257828052,1.515,121.6,0.06056,0.564,4.153350144
1559257828098,1.561,121.6,0.06056,0.564,4.153350144
1559257828144,1.607,121.6,0.06056,0.564,4.153350144
1559257828190,1.653,121.6,0.06056,0.564,4.153350144
1559257828253,1.716,121.6,0.06077,0.562,4.152973184
1559257828299,1.762,121.6,0.06077,0.562,4.152973184
1559257828345,1.808,121.6,0.06077,0.562,4.152973184
1559257828391,1.854,121.6,0.06077,0.562,4.152973184
1559257828452,1.915,121.6,0.06074,0.562,4.150923008
1559257828498,1.961,121.6,0.06074,0.562,4.150923008
1559257828544,2.007,121.6,0.06074,0.562,4.150923008
1559257828590,2.053,121.6,0.06074,0.562,4.150923008
1559257828653,2.116,121.6,0.06095,0.561,4.15786272
1559257828699,2.162,121.6,0.06095,0.561,4.15786272
1559257828745,2.208,121.6,0.06095,0.561,4.15786272
1559257828791,2.254,121.6,0.06095,0.561,4.15786272
1559257828852,2.315,121.6,0.06101,0.561,4.161955776
1559257828898,2.361,121.6,0.06101,0.561,4.161955776
1559257828944,2.407,121.6,0.06101,0.561,4.161955776
1559257828990,2.453,121.6,0.06101,0.561,4.161955776
1559257829053,2.516,121.5,0.06099,0.561,4.157169885
1559257829099,2.562,121.5,0.06099,0.561,4.157169885
1559257829145,2.608,121.5,0.06099,0.561,4.157169885
1559257829191,2.654,121.5,0.06099,0.561,4.157169885
1559257829252,2.715,121.5,0.06081,0.562,4.15228923
1559257829298,2.761,121.5,0.06081,0.562,4.15228923
1559257829344,2.807,121.5,0.06081,0.562,4.15228923
1559257829391,2.854,121.5,0.06081,0.562,4.15228923
1559257829453,2.916,121.5,0.06317,0.568,4.35948804
1559257829499,2.962,121.5,0.06317,0.568,4.35948804
1559257829545,3.008,121.5,0.06317,0.568,4.35948804
1559257829591,3.054,121.5,0.06317,0.568,4.35948804
1559257829652,3.115,121.5,0.06423,0.568,4.43264076
1559257829698,3.161,121.5,0.06423,0.568,4.43264076
1559257829744,3.207,121.5,0.06423,0.568,4.43264076
1559257829790,3.253,121.5,0.06423,0.568,4.43264076
1559257829852,3.315,121.5,0.06442,0.568,4.44575304
1559257829898,3.361,121.5,0.06442,0.568,4.44575304
1559257829944,3.407,121.5,0.06442,0.568,4.44575304
1559257829990,3.453,121.5,0.06442,0.568,4.44575304
1559257830052,3.516,121.5,0.06406,0.571,4.44425859
1559257830098,3.562,121.5,0.06406,0.571,4.44425859
