# Thu May 30 16:08:04 2019
abstime,time_stamp,volt,curr,pf,mul
1559257684939,0.08,121.6,0.05548,0.538,3.629545984
1559257684986,0.127,121.6,0.05548,0.538,3.629545984
1559257685032,0.173,121.6,0.05548,0.538,3.629545984
1559257685078,0.219,121.6,0.06112,0.555,4.12486656
1559257685123,0.264,121.6,0.06112,0.555,4.12486656
1559257685169,0.31,121.6,0.06112,0.555,4.12486656
1559257685214,0.355,121.6,0.06112,0.555,4.12486656
1559257685268,0.409,121.6,0.06109,0.556,4.130270464
1559257685313,0.455,121.6,0.06109,0.556,4.130270464
1559257685358,0.499,121.6,0.06109,0.556,4.130270464
1559257685404,0.546,121.6,0.06109,0.556,4.130270464
1559257685468,0.609,121.5,0.06082,0.559,4.13080317
1559257685514,0.655,121.5,0.06082,0.559,4.13080317
1559257685559,0.7,121.5,0.06082,0.559,4.13080317
1559257685605,0.746,121.5,0.06082,0.559,4.13080317
1559257685668,0.809,121.5,0.06102,0.557,4.12955901
1559257685714,0.855,121.5,0.06102,0.557,4.12955901
1559257685760,0.901,121.5,0.06102,0.557,4.12955901
1559257685806,0.947,121.5,0.06102,0.557,4.12955901
1559257685867,1.008,121.5,0.06187,0.553,4.157014365
1559257685913,1.054,121.5,0.06187,0.553,4.157014365
1559257685959,1.1,121.5,0.06187,0.553,4.157014365
1559257686005,1.146,121.5,0.06187,0.553,4.157014365
1559257686067,1.208,121.6,0.06204,0.548,4.134147072
1559257686114,1.255,121.6,0.06204,0.548,4.134147072
1559257686160,1.301,121.6,0.06204,0.548,4.134147072
1559257686206,1.347,121.6,0.06204,0.548,4.134147072
1559257686268,1.409,121.6,0.06205,0.549,4.14235872
1559257686314,1.455,121.6,0.06205,0.549,4.14235872
1559257686360,1.501,121.6,0.06205,0.549,4.14235872
1559257686406,1.547,121.6,0.06205,0.549,4.14235872
1559257686467,1.608,121.6,0.06201,0.549,4.139688384
1559257686513,1.654,121.6,0.06201,0.549,4.139688384
1559257686560,1.701,121.6,0.06201,0.549,4.139688384
1559257686606,1.747,121.6,0.06201,0.549,4.139688384
1559257686667,1.808,121.6,0.06106,0.557,4.135667072
1559257686713,1.854,121.6,0.06106,0.557,4.135667072
1559257686759,1.9,121.6,0.06106,0.557,4.135667072
1559257686805,1.946,121.6,0.06106,0.557,4.135667072
1559257686867,2.008,121.6,0.0616,0.553,4.14227968
1559257686913,2.054,121.6,0.0616,0.553,4.14227968
1559257686959,2.1,121.6,0.0616,0.553,4.14227968
1559257687005,2.146,121.6,0.0616,0.553,4.14227968
1559257687068,2.209,121.6,0.06157,0.553,4.140262336
1559257687114,2.255,121.6,0.06157,0.553,4.140262336
1559257687160,2.301,121.6,0.06157,0.553,4.140262336
1559257687206,2.347,121.6,0.06157,0.553,4.140262336
1559257687267,2.408,121.6,0.06115,0.557,4.14176288
1559257687313,2.454,121.6,0.06115,0.557,4.14176288
1559257687359,2.5,121.6,0.06115,0.557,4.14176288
1559257687405,2.546,121.6,0.06115,0.557,4.14176288
1559257687468,2.609,121.6,0.06083,0.559,4.134882752
1559257687514,2.655,121.6,0.06083,0.559,4.134882752
1559257687560,2.701,121.6,0.06083,0.559,4.134882752
1559257687606,2.747,121.6,0.06083,0.559,4.134882752
1559257687667,2.808,121.6,0.06075,0.561,4.1442192
1559257687713,2.854,121.6,0.06075,0.561,4.1442192
1559257687759,2.9,121.6,0.06075,0.561,4.1442192
1559257687805,2.946,121.6,0.06075,0.561,4.1442192
1559257687868,3.009,121.7,0.06091,0.56,4.15113832
1559257687914,3.055,121.7,0.06091,0.56,4.15113832
1559257687960,3.101,121.7,0.06091,0.56,4.15113832
1559257688006,3.147,121.7,0.06091,0.56,4.15113832
1559257688067,3.208,121.7,0.06141,0.555,4.147846335
1559257688113,3.254,121.7,0.06141,0.555,4.147846335
1559257688159,3.301,121.7,0.06141,0.555,4.147846335
1559257688205,3.347,121.7,0.06141,0.555,4.147846335
1559257688268,3.409,121.7,0.0616,0.553,4.14568616
1559257688314,3.455,121.7,0.0616,0.553,4.14568616
