# Thu May 30 19:46:41 2019
abstime,time_stamp,volt,curr,pf,mul
1559270801789,0.079,122.0,0.06047,0.529,3.90261286
1559270801836,0.126,122.0,0.06047,0.529,3.90261286
1559270801898,0.188,122.0,0.06883,0.548,4.60169848
1559270801944,0.234,122.0,0.06883,0.548,4.60169848
1559270801989,0.279,122.0,0.06883,0.548,4.60169848
1559270802035,0.325,122.0,0.06883,0.548,4.60169848
1559270802097,0.387,122.2,0.0662,0.563,4.55446732
1559270802143,0.433,122.2,0.0662,0.563,4.55446732
1559270802188,0.478,122.2,0.0662,0.563,4.55446732
1559270802234,0.524,122.2,0.0662,0.563,4.55446732
1559270802297,0.587,122.2,0.0668,0.561,4.57942056
1559270802343,0.633,122.2,0.0668,0.561,4.57942056
1559270802388,0.678,122.2,0.0668,0.561,4.57942056
1559270802434,0.724,122.2,0.0668,0.561,4.57942056
1559270802498,0.788,122.1,0.06653,0.561,4.557178593
1559270802544,0.834,122.1,0.06653,0.561,4.557178593
1559270802590,0.88,122.1,0.06653,0.561,4.557178593
1559270802636,0.926,122.1,0.06653,0.561,4.557178593
1559270802697,0.987,122.1,0.06672,0.561,4.570193232
1559270802743,1.033,122.1,0.06672,0.561,4.570193232
1559270802789,1.079,122.1,0.06672,0.561,4.570193232
1559270802835,1.125,122.1,0.06672,0.561,4.570193232
1559270802898,1.188,122.2,0.06649,0.561,4.558168758
1559270802944,1.234,122.2,0.06649,0.561,4.558168758
1559270802990,1.28,122.2,0.06649,0.561,4.558168758
1559270803036,1.326,122.2,0.06649,0.561,4.558168758
1559270803097,1.387,122.2,0.06677,0.56,4.56920464
1559270803143,1.433,122.2,0.06677,0.56,4.56920464
1559270803189,1.479,122.2,0.06677,0.56,4.56920464
1559270803235,1.525,122.2,0.06677,0.56,4.56920464
1559270803298,1.588,122.2,0.06612,0.561,4.532803704
1559270803344,1.634,122.2,0.06612,0.561,4.532803704
1559270803390,1.68,122.2,0.06612,0.561,4.532803704
1559270803436,1.726,122.2,0.06612,0.561,4.532803704
1559270803497,1.787,122.1,0.06646,0.561,4.552383726
1559270803543,1.833,122.1,0.06646,0.561,4.552383726
1559270803589,1.879,122.1,0.06646,0.561,4.552383726
1559270803635,1.925,122.1,0.06646,0.561,4.552383726
1559270803698,1.988,122.1,0.06546,0.561,4.483885626
1559270803744,2.034,122.1,0.06546,0.561,4.483885626
1559270803790,2.08,122.1,0.06546,0.561,4.483885626
1559270803836,2.126,122.1,0.06546,0.561,4.483885626
1559270803897,2.187,122.1,0.06618,0.563,4.549365414
1559270803943,2.233,122.1,0.06618,0.563,4.549365414
1559270803989,2.279,122.1,0.06618,0.563,4.549365414
1559270804035,2.325,122.1,0.06618,0.563,4.549365414
1559270804097,2.388,122.1,0.06624,0.562,4.545402048
1559270804144,2.434,122.1,0.06624,0.562,4.545402048
1559270804190,2.48,122.1,0.06624,0.562,4.545402048
1559270804236,2.526,122.1,0.06624,0.562,4.545402048
1559270804297,2.587,122.2,0.06546,0.559,4.471559508
1559270804343,2.633,122.2,0.06546,0.559,4.471559508
1559270804389,2.679,122.2,0.06546,0.559,4.471559508
1559270804435,2.725,122.2,0.06546,0.559,4.471559508
1559270804497,2.787,122.1,0.0651,0.559,4.44332889
1559270804544,2.834,122.1,0.0651,0.559,4.44332889
1559270804590,2.88,122.1,0.0651,0.559,4.44332889
1559270804636,2.926,122.1,0.0651,0.559,4.44332889
1559270804697,2.987,122.1,0.06683,0.56,4.56956808
1559270804743,3.033,122.1,0.06683,0.56,4.56956808
1559270804789,3.079,122.1,0.06683,0.56,4.56956808
1559270804835,3.125,122.1,0.06683,0.56,4.56956808
1559270804898,3.188,122.2,0.06687,0.561,4.584219354
1559270804944,3.234,122.2,0.06687,0.561,4.584219354
1559270804990,3.28,122.2,0.06687,0.561,4.584219354
1559270805036,3.326,122.2,0.06687,0.561,4.584219354
1559270805097,3.387,122.2,0.06715,0.56,4.5952088
1559270805143,3.433,122.2,0.06715,0.56,4.5952088
1559270805189,3.479,122.2,0.06715,0.56,4.5952088
1559270805235,3.525,122.2,0.06715,0.56,4.5952088
1559270805297,3.587,122.2,0.0671,0.56,4.5917872
1559270805343,3.633,122.2,0.0671,0.56,4.5917872
1559270805389,3.679,122.2,0.0671,0.56,4.5917872
1559270805435,3.725,122.2,0.0671,0.56,4.5917872
1559270805498,3.788,122.1,0.06674,0.561,4.571563194
1559270805544,3.834,122.1,0.06674,0.561,4.571563194
