# Thu May 30 21:26:16 2019
abstime,time_stamp,volt,curr,pf,mul
1559276776125,0.08,121.4,0.05674,0.528,3.636988608
1559276776173,0.128,121.4,0.05674,0.528,3.636988608
1559276776219,0.174,121.4,0.05674,0.528,3.636988608
1559276776275,0.23,121.4,0.06265,0.545,4.14511195
1559276776321,0.276,121.4,0.06265,0.545,4.14511195
1559276776367,0.322,121.4,0.06265,0.545,4.14511195
1559276776413,0.368,121.4,0.06265,0.545,4.14511195
1559276776474,0.429,121.3,0.06444,0.549,4.291298028
1559276776520,0.475,121.3,0.06444,0.549,4.291298028
1559276776565,0.52,121.3,0.06444,0.549,4.291298028
1559276776611,0.566,121.3,0.06444,0.549,4.291298028
1559276776674,0.629,121.3,0.06447,0.549,4.293295839
1559276776721,0.676,121.3,0.06447,0.549,4.293295839
1559276776767,0.722,121.3,0.06447,0.549,4.293295839
1559276776813,0.768,121.3,0.06447,0.549,4.293295839
1559276776874,0.829,121.3,0.0624,0.543,4.11003216
1559276776920,0.875,121.3,0.0624,0.543,4.11003216
1559276776966,0.921,121.3,0.0624,0.543,4.11003216
1559276777012,0.967,121.3,0.0624,0.543,4.11003216
1559276777075,1.03,121.4,0.05955,0.536,3.87494232
1559276777121,1.076,121.4,0.05955,0.536,3.87494232
1559276777167,1.122,121.4,0.05955,0.536,3.87494232
1559276777213,1.168,121.4,0.05955,0.536,3.87494232
1559276777274,1.229,121.4,0.06435,0.551,4.30446159
1559276777320,1.275,121.4,0.06435,0.551,4.30446159
1559276777365,1.32,121.4,0.06435,0.551,4.30446159
1559276777411,1.366,121.4,0.06435,0.551,4.30446159
1559276777474,1.429,121.3,0.06428,0.552,4.304034528
1559276777519,1.474,121.3,0.06428,0.552,4.304034528
1559276777564,1.519,121.3,0.06428,0.552,4.304034528
1559276777610,1.565,121.3,0.06428,0.552,4.304034528
1559276777674,1.629,121.3,0.06442,0.552,4.313408592
1559276777720,1.675,121.3,0.06442,0.552,4.313408592
1559276777765,1.72,121.3,0.06442,0.552,4.313408592
1559276777811,1.766,121.3,0.06442,0.552,4.313408592
1559276777874,1.829,121.3,0.05926,0.537,3.860083806
1559276777920,1.875,121.3,0.05926,0.537,3.860083806
1559276777965,1.92,121.3,0.05926,0.537,3.860083806
1559276778011,1.966,121.3,0.05926,0.537,3.860083806
1559276778075,2.03,121.3,0.05828,0.533,3.767971012
1559276778121,2.076,121.3,0.05828,0.533,3.767971012
1559276778167,2.122,121.3,0.05828,0.533,3.767971012
1559276778213,2.168,121.3,0.05828,0.533,3.767971012
1559276778274,2.229,121.4,0.05826,0.533,3.769783212
1559276778320,2.275,121.4,0.05826,0.533,3.769783212
1559276778366,2.321,121.4,0.05826,0.533,3.769783212
1559276778413,2.368,121.4,0.05826,0.533,3.769783212
1559276778474,2.429,121.4,0.05748,0.531,3.705356232
1559276778520,2.475,121.4,0.05748,0.531,3.705356232
1559276778566,2.521,121.4,0.05748,0.531,3.705356232
1559276778612,2.567,121.4,0.05748,0.531,3.705356232
1559276778674,2.629,121.3,0.05737,0.53,3.68825993
1559276778720,2.676,121.3,0.05737,0.53,3.68825993
1559276778767,2.722,121.3,0.05737,0.53,3.68825993
1559276778813,2.768,121.3,0.05737,0.53,3.68825993
1559276778874,2.829,121.3,0.05754,0.53,3.69918906
1559276778920,2.875,121.3,0.05754,0.53,3.69918906
1559276778966,2.921,121.3,0.05754,0.53,3.69918906
1559276779012,2.967,121.3,0.05754,0.53,3.69918906
1559276779075,3.03,121.3,0.05925,0.535,3.845058375
1559276779121,3.076,121.3,0.05925,0.535,3.845058375
1559276779167,3.122,121.3,0.05925,0.535,3.845058375
1559276779213,3.168,121.3,0.05925,0.535,3.845058375
