# Fri May 31 17:36:10 2019
abstime,time_stamp,volt,curr,pf,mul
1559349370743,0.08,122.0,0.05538,0.533,3.60113988
1559349370790,0.127,122.0,0.05538,0.533,3.60113988
1559349370836,0.173,122.0,0.05538,0.533,3.60113988
1559349370895,0.232,122.0,0.05811,0.533,3.77866086
1559349370940,0.277,122.0,0.05811,0.533,3.77866086
1559349370985,0.322,122.0,0.05811,0.533,3.77866086
1559349371030,0.367,122.0,0.05811,0.533,3.77866086
1559349371095,0.432,122.0,0.05727,0.529,3.69609126
1559349371141,0.478,122.0,0.05727,0.529,3.69609126
1559349371187,0.524,122.0,0.05727,0.529,3.69609126
1559349371233,0.57,122.0,0.05727,0.529,3.69609126
1559349371295,0.633,122.0,0.05712,0.535,3.7282224
1559349371342,0.679,122.0,0.05712,0.535,3.7282224
1559349371388,0.725,122.0,0.05712,0.535,3.7282224
1559349371434,0.771,122.0,0.05712,0.535,3.7282224
1559349371495,0.832,122.0,0.0571,0.538,3.7478156
1559349371541,0.878,122.0,0.0571,0.538,3.7478156
1559349371587,0.924,122.0,0.0571,0.538,3.7478156
1559349371633,0.97,122.0,0.0571,0.538,3.7478156
1559349371695,1.032,122.0,0.05702,0.536,3.72865184
1559349371741,1.079,122.0,0.05702,0.536,3.72865184
1559349371787,1.125,122.0,0.05702,0.536,3.72865184
1559349371834,1.171,122.0,0.05702,0.536,3.72865184
1559349371895,1.232,122.0,0.05693,0.536,3.72276656
1559349371941,1.278,122.0,0.05693,0.536,3.72276656
1559349371987,1.324,122.0,0.05693,0.536,3.72276656
1559349372033,1.37,122.0,0.05693,0.536,3.72276656
1559349372095,1.432,122.0,0.05683,0.531,3.68156106
1559349372141,1.478,122.0,0.05683,0.531,3.68156106
1559349372187,1.524,122.0,0.05683,0.531,3.68156106
1559349372233,1.571,122.0,0.05683,0.531,3.68156106
1559349372295,1.632,122.0,0.05657,0.533,3.67852082
1559349372341,1.678,122.0,0.05657,0.533,3.67852082
1559349372387,1.724,122.0,0.05657,0.533,3.67852082
1559349372433,1.77,122.0,0.05657,0.533,3.67852082
1559349372495,1.832,122.0,0.05663,0.532,3.67551352
1559349372541,1.878,122.0,0.05663,0.532,3.67551352
1559349372587,1.924,122.0,0.05663,0.532,3.67551352
1559349372633,1.971,122.0,0.05663,0.532,3.67551352
1559349372695,2.032,122.0,0.05643,0.534,3.67630164
1559349372741,2.078,122.0,0.05643,0.534,3.67630164
1559349372787,2.124,122.0,0.05643,0.534,3.67630164
1559349372833,2.17,122.0,0.05643,0.534,3.67630164
1559349372895,2.232,122.0,0.05662,0.533,3.68177212
1559349372941,2.278,122.0,0.05662,0.533,3.68177212
1559349372987,2.324,122.0,0.05662,0.533,3.68177212
1559349373033,2.37,122.0,0.05662,0.533,3.68177212
1559349373094,2.431,122.0,0.05653,0.533,3.67591978
1559349373140,2.477,122.0,0.05653,0.533,3.67591978
1559349373186,2.523,122.0,0.05653,0.533,3.67591978
1559349373233,2.57,122.0,0.05653,0.533,3.67591978
1559349373295,2.632,122.0,0.05618,0.536,3.67372256
1559349373341,2.678,122.0,0.05618,0.536,3.67372256
1559349373387,2.724,122.0,0.05618,0.536,3.67372256
1559349373433,2.77,122.0,0.05618,0.536,3.67372256
1559349373495,2.832,122.0,0.05603,0.539,3.68442074
1559349373541,2.879,122.0,0.05603,0.539,3.68442074
1559349373588,2.925,122.0,0.05603,0.539,3.68442074
1559349373633,2.97,122.0,0.05603,0.539,3.68442074
1559349373694,3.031,122.0,0.05641,0.54,3.7162908
1559349373740,3.077,122.0,0.05641,0.54,3.7162908
1559349373786,3.123,122.0,0.05641,0.54,3.7162908
1559349373833,3.17,122.0,0.05641,0.54,3.7162908
1559349373895,3.232,122.0,0.05619,0.539,3.69494202
1559349373941,3.278,122.0,0.05619,0.539,3.69494202
1559349373987,3.324,122.0,0.05619,0.539,3.69494202
