# Fri May 31 17:11:21 2019
abstime,time_stamp,volt,curr,pf,mul
1559347881459,0.08,122.0,0.05093,0.53,3.2931338
1559347881506,0.127,122.0,0.05093,0.53,3.2931338
1559347881552,0.173,122.0,0.05093,0.53,3.2931338
1559347881597,0.218,122.0,0.05093,0.53,3.2931338
1559347881651,0.272,122.1,0.05145,0.527,3.310637715
1559347881697,0.318,122.1,0.05145,0.527,3.310637715
1559347881743,0.364,122.1,0.05145,0.527,3.310637715
1559347881789,0.41,122.1,0.05145,0.527,3.310637715
1559347881851,0.472,122.1,0.05099,0.525,3.268586475
1559347881897,0.518,122.1,0.05099,0.525,3.268586475
1559347881943,0.564,122.1,0.05099,0.525,3.268586475
1559347881989,0.61,122.1,0.05099,0.525,3.268586475
1559347882051,0.672,122.1,0.05344,0.533,3.477837792
1559347882097,0.718,122.1,0.05344,0.533,3.477837792
1559347882144,0.765,122.1,0.05344,0.533,3.477837792
1559347882190,0.811,122.1,0.05344,0.533,3.477837792
1559347882251,0.872,122.1,0.05275,0.53,3.41361075
1559347882297,0.918,122.1,0.05275,0.53,3.41361075
1559347882343,0.964,122.1,0.05275,0.53,3.41361075
1559347882389,1.01,122.1,0.05275,0.53,3.41361075
1559347882450,1.071,122.1,0.05554,0.534,3.621285756
1559347882496,1.117,122.1,0.05554,0.534,3.621285756
1559347882542,1.163,122.1,0.05554,0.534,3.621285756
1559347882588,1.21,122.1,0.05554,0.534,3.621285756
1559347882651,1.272,122.1,0.05558,0.533,3.617107494
1559347882697,1.318,122.1,0.05558,0.533,3.617107494
1559347882743,1.364,122.1,0.05558,0.533,3.617107494
1559347882789,1.41,122.1,0.05558,0.533,3.617107494
1559347882850,1.471,122.1,0.0553,0.535,3.61238955
1559347882896,1.517,122.1,0.0553,0.535,3.61238955
1559347882942,1.563,122.1,0.0553,0.535,3.61238955
1559347882988,1.61,122.1,0.0553,0.535,3.61238955
1559347883051,1.672,122.1,0.05467,0.541,3.611286987
1559347883097,1.718,122.1,0.05467,0.541,3.611286987
1559347883143,1.764,122.1,0.05467,0.541,3.611286987
1559347883189,1.81,122.1,0.05467,0.541,3.611286987
1559347883250,1.871,122.1,0.05582,0.532,3.625910904
1559347883296,1.917,122.1,0.05582,0.532,3.625910904
1559347883342,1.963,122.1,0.05582,0.532,3.625910904
1559347883388,2.009,122.1,0.05582,0.532,3.625910904
1559347883451,2.072,122.1,0.0559,0.531,3.62428209
1559347883497,2.118,122.1,0.0559,0.531,3.62428209
1559347883543,2.164,122.1,0.0559,0.531,3.62428209
1559347883589,2.21,122.1,0.0559,0.531,3.62428209
1559347883650,2.271,122.1,0.056,0.53,3.623928
1559347883696,2.317,122.1,0.056,0.53,3.623928
1559347883742,2.363,122.1,0.056,0.53,3.623928
1559347883788,2.409,122.1,0.056,0.53,3.623928
1559347883851,2.472,122.1,0.05558,0.534,3.623893812
1559347883897,2.518,122.1,0.05558,0.534,3.623893812
1559347883943,2.564,122.1,0.05558,0.534,3.623893812
1559347883989,2.61,122.1,0.05558,0.534,3.623893812
1559347884050,2.671,122.1,0.05553,0.535,3.627413955
1559347884096,2.717,122.1,0.05553,0.535,3.627413955
1559347884142,2.763,122.1,0.05553,0.535,3.627413955
1559347884188,2.809,122.1,0.05553,0.535,3.627413955
1559347884250,2.872,122.0,0.05556,0.534,3.61962288
1559347884297,2.918,122.0,0.05556,0.534,3.61962288
1559347884343,2.964,122.0,0.05556,0.534,3.61962288
1559347884389,3.01,122.0,0.05556,0.534,3.61962288
1559347884450,3.071,122.1,0.05566,0.533,3.622313838
1559347884496,3.117,122.1,0.05566,0.533,3.622313838
1559347884542,3.163,122.1,0.05566,0.533,3.622313838
1559347884589,3.21,122.1,0.05566,0.533,3.622313838
1559347884651,3.272,122.1,0.0561,0.53,3.6303993
1559347884697,3.318,122.1,0.0561,0.53,3.6303993
1559347884743,3.364,122.1,0.0561,0.53,3.6303993
1559347884789,3.41,122.1,0.0561,0.53,3.6303993
1559347884850,3.471,122.1,0.05648,0.527,3.634301616
1559347884896,3.517,122.1,0.05648,0.527,3.634301616
1559347884942,3.563,122.1,0.05648,0.527,3.634301616
1559347884988,3.609,122.1,0.05648,0.527,3.634301616
1559347885051,3.672,122.0,0.05624,0.528,3.62275584
1559347885097,3.718,122.0,0.05624,0.528,3.62275584
1559347885143,3.764,122.0,0.05624,0.528,3.62275584
1559347885189,3.81,122.0,0.05624,0.528,3.62275584
1559347885251,3.872,122.0,0.05647,0.529,3.64446086
1559347885297,3.918,122.0,0.05647,0.529,3.64446086
1559347885343,3.964,122.0,0.05647,0.529,3.64446086
1559347885389,4.01,122.0,0.05647,0.529,3.64446086
1559347885451,4.072,122.0,0.05693,0.529,3.67414834
1559347885497,4.118,122.0,0.05693,0.529,3.67414834
1559347885543,4.164,122.0,0.05693,0.529,3.67414834
1559347885589,4.21,122.0,0.05693,0.529,3.67414834
1559347885651,4.272,122.1,0.05625,0.527,3.619501875
1559347885696,4.317,122.1,0.05625,0.527,3.619501875
1559347885742,4.363,122.1,0.05625,0.527,3.619501875
