# Tue Jun 04 20:09:26 2019
abstime,time_stamp,volt,curr,pf,mul
1559704166701,0.078,122.3,0.05059,0.527,3.260631739
1559704166749,0.126,122.3,0.05059,0.527,3.260631739
1559704166801,0.178,122.3,0.0509,0.527,3.28061189
1559704166847,0.224,122.3,0.0509,0.527,3.28061189
1559704166892,0.269,122.3,0.0509,0.527,3.28061189
1559704166938,0.315,122.3,0.0509,0.527,3.28061189
1559704167000,0.377,122.3,0.04865,0.522,3.10584519
1559704167046,0.423,122.3,0.04865,0.522,3.10584519
1559704167091,0.468,122.3,0.04865,0.522,3.10584519
1559704167137,0.514,122.3,0.04865,0.522,3.10584519
1559704167201,0.578,122.3,0.04863,0.523,3.110515827
1559704167247,0.624,122.3,0.04863,0.523,3.110515827
1559704167293,0.67,122.3,0.04863,0.523,3.110515827
1559704167339,0.716,122.3,0.04863,0.523,3.110515827
1559704167400,0.777,122.3,0.04869,0.522,3.108398814
1559704167446,0.823,122.3,0.04869,0.522,3.108398814
1559704167492,0.869,122.3,0.04869,0.522,3.108398814
1559704167538,0.915,122.3,0.04869,0.522,3.108398814
1559704167600,0.978,122.3,0.04881,0.522,3.116059686
1559704167647,1.024,122.3,0.04881,0.522,3.116059686
1559704167693,1.07,122.3,0.04881,0.522,3.116059686
1559704167739,1.116,122.3,0.04881,0.522,3.116059686
1559704167800,1.177,122.3,0.04873,0.522,3.110952438
1559704167846,1.223,122.3,0.04873,0.522,3.110952438
1559704167892,1.269,122.3,0.04873,0.522,3.110952438
1559704167938,1.315,122.3,0.04873,0.522,3.110952438
1559704168000,1.377,122.3,0.0489,0.519,3.10386393
1559704168046,1.423,122.3,0.0489,0.519,3.10386393
1559704168092,1.47,122.3,0.0489,0.519,3.10386393
1559704168139,1.516,122.3,0.0489,0.519,3.10386393
1559704168200,1.577,122.3,0.04873,0.522,3.110952438
1559704168246,1.623,122.3,0.04873,0.522,3.110952438
1559704168292,1.669,122.3,0.04873,0.522,3.110952438
1559704168338,1.715,122.3,0.04873,0.522,3.110952438
1559704168400,1.777,122.3,0.04892,0.52,3.11111632
1559704168447,1.824,122.3,0.04892,0.52,3.11111632
1559704168493,1.87,122.3,0.04892,0.52,3.11111632
1559704168539,1.916,122.3,0.04892,0.52,3.11111632
1559704168600,1.977,122.3,0.04888,0.52,3.10857248
1559704168646,2.023,122.3,0.04888,0.52,3.10857248
1559704168692,2.069,122.3,0.04888,0.52,3.10857248
1559704168738,2.115,122.3,0.04888,0.52,3.10857248
1559704168800,2.177,122.3,0.04879,0.521,3.108815857
1559704168846,2.223,122.3,0.04879,0.521,3.108815857
1559704168892,2.269,122.3,0.04879,0.521,3.108815857
1559704168938,2.315,122.3,0.04879,0.521,3.108815857
1559704169000,2.377,122.3,0.04878,0.521,3.108178674
1559704169046,2.424,122.3,0.04878,0.521,3.108178674
1559704169093,2.47,122.3,0.04878,0.521,3.108178674
1559704169139,2.516,122.3,0.04878,0.521,3.108178674
1559704169200,2.577,122.3,0.04898,0.52,3.11493208
1559704169246,2.623,122.3,0.04898,0.52,3.11493208
1559704169292,2.669,122.3,0.04898,0.52,3.11493208
1559704169338,2.715,122.3,0.04898,0.52,3.11493208
1559704169400,2.777,122.3,0.04907,0.518,3.108653198
1559704169446,2.823,122.3,0.04907,0.518,3.108653198
1559704169492,2.869,122.3,0.04907,0.518,3.108653198
1559704169539,2.916,122.3,0.04907,0.518,3.108653198
1559704169600,2.977,122.3,0.04904,0.519,3.112750248
1559704169646,3.023,122.3,0.04904,0.519,3.112750248
1559704169692,3.069,122.3,0.04904,0.519,3.112750248
1559704169738,3.115,122.3,0.04904,0.519,3.112750248
1559704169800,3.177,122.3,0.04896,0.519,3.107672352
1559704169846,3.223,122.3,0.04896,0.519,3.107672352
1559704169892,3.269,122.3,0.04896,0.519,3.107672352
1559704169939,3.316,122.3,0.04896,0.519,3.107672352
1559704170001,3.378,122.3,0.04892,0.519,3.105133404
1559704170047,3.424,122.3,0.04892,0.519,3.105133404
1559704170093,3.47,122.3,0.04892,0.519,3.105133404
1559704170139,3.516,122.3,0.04892,0.519,3.105133404
1559704170200,3.577,122.3,0.04898,0.523,3.132902842
1559704170246,3.623,122.3,0.04898,0.523,3.132902842
1559704170293,3.67,122.3,0.04898,0.523,3.132902842
1559704170339,3.716,122.3,0.04898,0.523,3.132902842
1559704170400,3.777,122.3,0.04869,0.521,3.102444027
1559704170446,3.823,122.3,0.04869,0.521,3.102444027
1559704170492,3.869,122.3,0.04869,0.521,3.102444027
1559704170538,3.915,122.3,0.04869,0.521,3.102444027
1559704170600,3.977,122.3,0.0489,0.52,3.1098444
1559704170646,4.023,122.3,0.0489,0.52,3.1098444
1559704170691,4.068,122.3,0.0489,0.52,3.1098444
1559704170737,4.115,122.3,0.0489,0.52,3.1098444
1559704170800,4.177,122.3,0.04887,0.52,3.10793652
1559704170846,4.223,122.3,0.04887,0.52,3.10793652
1559704170892,4.269,122.3,0.04887,0.52,3.10793652
1559704170939,4.316,122.3,0.04887,0.52,3.10793652
1559704171000,4.377,122.3,0.04882,0.52,3.10475672
1559704171046,4.423,122.3,0.04882,0.52,3.10475672
1559704171092,4.469,122.3,0.04882,0.52,3.10475672
1559704171138,4.515,122.3,0.04882,0.52,3.10475672
1559704171200,4.577,122.3,0.04905,0.518,3.10738617
1559704171246,4.623,122.3,0.04905,0.518,3.10738617
1559704171292,4.669,122.3,0.04905,0.518,3.10738617
1559704171339,4.716,122.3,0.04905,0.518,3.10738617
1559704171399,4.776,122.3,0.04905,0.518,3.10738617
1559704171445,4.823,122.3,0.04905,0.518,3.10738617
1559704171492,4.869,122.3,0.04905,0.518,3.10738617
1559704171538,4.915,122.3,0.04905,0.518,3.10738617
1559704171600,4.977,122.3,0.04894,0.519,3.106402878
1559704171646,5.023,122.3,0.04894,0.519,3.106402878
1559704171692,5.07,122.3,0.04894,0.519,3.106402878
1559704171739,5.116,122.3,0.04894,0.519,3.106402878
1559704171800,5.177,122.3,0.04893,0.519,3.105768141
1559704171846,5.223,122.3,0.04893,0.519,3.105768141
1559704171892,5.269,122.3,0.04893,0.519,3.105768141
1559704171938,5.315,122.3,0.04893,0.519,3.105768141
1559704172000,5.377,122.3,0.04867,0.522,3.107122002
1559704172046,5.424,122.3,0.04867,0.522,3.107122002
1559704172093,5.47,122.3,0.04867,0.522,3.107122002
1559704172139,5.516,122.3,0.04867,0.522,3.107122002
1559704172200,5.577,122.3,0.04899,0.522,3.127550994
1559704172246,5.623,122.3,0.04899,0.522,3.127550994
1559704172292,5.669,122.3,0.04899,0.522,3.127550994
1559704172338,5.715,122.3,0.04899,0.522,3.127550994
1559704172400,5.777,122.3,0.04884,0.521,3.112001772
1559704172446,5.824,122.3,0.04884,0.521,3.112001772
1559704172493,5.87,122.3,0.04884,0.521,3.112001772
1559704172539,5.916,122.3,0.04884,0.521,3.112001772
1559704172600,5.977,122.3,0.04888,0.52,3.10857248
1559704172646,6.023,122.3,0.04888,0.52,3.10857248
1559704172692,6.069,122.3,0.04888,0.52,3.10857248
1559704172738,6.115,122.3,0.04888,0.52,3.10857248
1559704172800,6.177,122.3,0.04859,0.523,3.107957311
1559704172846,6.223,122.3,0.04859,0.523,3.107957311
1559704172892,6.269,122.3,0.04859,0.523,3.107957311
1559704172938,6.315,122.3,0.04859,0.523,3.107957311
1559704173000,6.377,122.3,0.04872,0.521,3.104355576
1559704173046,6.424,122.3,0.04872,0.521,3.104355576
1559704173093,6.47,122.3,0.04872,0.521,3.104355576
1559704173139,6.516,122.3,0.04872,0.521,3.104355576
1559704173200,6.577,122.3,0.04897,0.52,3.11429612
1559704173246,6.623,122.3,0.04897,0.52,3.11429612
1559704173292,6.669,122.3,0.04897,0.52,3.11429612
1559704173338,6.715,122.3,0.04897,0.52,3.11429612
1559704173400,6.777,122.3,0.04881,0.52,3.10412076
1559704173446,6.823,122.3,0.04881,0.52,3.10412076
1559704173493,6.87,122.3,0.04881,0.52,3.10412076
1559704173539,6.916,122.3,0.04881,0.52,3.10412076
1559704173600,6.977,122.3,0.04901,0.52,3.11683996
1559704173646,7.023,122.3,0.04901,0.52,3.11683996
1559704173692,7.069,122.3,0.04901,0.52,3.11683996
1559704173738,7.115,122.3,0.04901,0.52,3.11683996
1559704173799,7.176,122.3,0.05303,0.53,3.43735157
1559704173845,7.222,122.3,0.05303,0.53,3.43735157
1559704173891,7.268,122.3,0.05303,0.53,3.43735157
1559704173938,7.315,122.3,0.05303,0.53,3.43735157
1559704174000,7.377,122.3,0.05328,0.531,3.460072464
1559704174046,7.423,122.3,0.05328,0.531,3.460072464
1559704174092,7.469,122.3,0.05328,0.531,3.460072464
1559704174138,7.515,122.3,0.05328,0.531,3.460072464
1559704174199,7.576,122.3,0.05163,0.531,3.352919319
1559704174245,7.622,122.3,0.05163,0.531,3.352919319
