# Tue Jun 04 21:21:40 2019
abstime,time_stamp,volt,curr,pf,mul
1559708500182,0.08,122.4,0.05369,0.52,3.41726112
1559708500229,0.127,122.4,0.05369,0.52,3.41726112
1559708500276,0.174,122.4,0.05369,0.52,3.41726112
1559708500322,0.22,122.4,0.05369,0.52,3.41726112
1559708500368,0.266,122.3,0.04962,0.513,3.113153838
1559708500414,0.312,122.3,0.04962,0.513,3.113153838
1559708500460,0.358,122.3,0.04962,0.513,3.113153838
1559708500505,0.404,122.3,0.04962,0.513,3.113153838
1559708500551,0.45,122.4,0.04969,0.513,3.120094728
1559708500597,0.496,122.4,0.04969,0.513,3.120094728
1559708500642,0.54,122.4,0.04969,0.513,3.120094728
1559708500689,0.587,122.4,0.04969,0.513,3.120094728
1559708500752,0.65,122.4,0.04978,0.51,3.10746672
1559708500798,0.696,122.4,0.04978,0.51,3.10746672
1559708500844,0.742,122.4,0.04978,0.51,3.10746672
1559708500890,0.788,122.4,0.04978,0.51,3.10746672
1559708500951,0.849,122.4,0.05001,0.507,3.103460568
1559708500997,0.895,122.4,0.05001,0.507,3.103460568
1559708501044,0.942,122.4,0.05001,0.507,3.103460568
1559708501090,0.988,122.4,0.05001,0.507,3.103460568
1559708501152,1.05,122.4,0.04978,0.51,3.10746672
1559708501198,1.096,122.4,0.04978,0.51,3.10746672
1559708501244,1.142,122.4,0.04978,0.51,3.10746672
1559708501291,1.189,122.4,0.04978,0.51,3.10746672
1559708501352,1.25,122.4,0.04995,0.508,3.10585104
1559708501398,1.296,122.4,0.04995,0.508,3.10585104
1559708501444,1.342,122.4,0.04995,0.508,3.10585104
1559708501490,1.388,122.4,0.04995,0.508,3.10585104
1559708501551,1.449,122.4,0.0494,0.513,3.10188528
1559708501597,1.495,122.4,0.0494,0.513,3.10188528
1559708501643,1.541,122.4,0.0494,0.513,3.10188528
1559708501689,1.587,122.4,0.0494,0.513,3.10188528
1559708501752,1.65,122.4,0.0496,0.512,3.10837248
1559708501798,1.696,122.4,0.0496,0.512,3.10837248
1559708501844,1.742,122.4,0.0496,0.512,3.10837248
1559708501890,1.788,122.4,0.0496,0.512,3.10837248
1559708501951,1.849,122.4,0.04965,0.511,3.10542876
1559708501997,1.895,122.4,0.04965,0.511,3.10542876
1559708502044,1.942,122.4,0.04965,0.511,3.10542876
1559708502090,1.988,122.4,0.04965,0.511,3.10542876
1559708502152,2.05,122.4,0.0497,0.511,3.10855608
1559708502198,2.096,122.4,0.0497,0.511,3.10855608
1559708502244,2.142,122.4,0.0497,0.511,3.10855608
1559708502291,2.189,122.4,0.0497,0.511,3.10855608
1559708502352,2.25,122.4,0.04964,0.512,3.110879232
1559708502398,2.296,122.4,0.04964,0.512,3.110879232
1559708502444,2.342,122.4,0.04964,0.512,3.110879232
1559708502490,2.388,122.4,0.04964,0.512,3.110879232
1559708502551,2.449,122.4,0.04956,0.512,3.105865728
1559708502597,2.495,122.4,0.04956,0.512,3.105865728
1559708502643,2.541,122.4,0.04956,0.512,3.105865728
1559708502689,2.587,122.4,0.04956,0.512,3.105865728
1559708502752,2.65,122.4,0.04986,0.509,3.106357776
1559708502798,2.696,122.4,0.04986,0.509,3.106357776
1559708502844,2.742,122.4,0.04986,0.509,3.106357776
1559708502890,2.788,122.4,0.04986,0.509,3.106357776
1559708502951,2.849,122.4,0.04991,0.508,3.103363872
1559708502997,2.895,122.4,0.04991,0.508,3.103363872
1559708503043,2.941,122.4,0.04991,0.508,3.103363872
1559708503089,2.987,122.4,0.04991,0.508,3.103363872
1559708503152,3.05,122.4,0.04984,0.509,3.105111744
1559708503198,3.096,122.4,0.04984,0.509,3.105111744
1559708503244,3.142,122.4,0.04984,0.509,3.105111744
1559708503290,3.188,122.4,0.04984,0.509,3.105111744
1559708503351,3.249,122.3,0.04981,0.509,3.100707367
1559708503397,3.295,122.3,0.04981,0.509,3.100707367
