# Thu Jun 06 17:19:08 2019
abstime,time_stamp,volt,curr,pf,mul
1559866748086,0.08,122.1,0.05513,0.536,3.608015928
1559866748133,0.127,122.1,0.05513,0.536,3.608015928
1559866748179,0.173,122.1,0.05513,0.536,3.608015928
1559866748234,0.228,122.0,0.05132,0.526,3.29330704
1559866748280,0.274,122.0,0.05132,0.526,3.29330704
1559866748327,0.321,122.0,0.05132,0.526,3.29330704
1559866748372,0.366,122.0,0.05132,0.526,3.29330704
1559866748435,0.429,122.1,0.05158,0.525,3.30640695
1559866748481,0.475,122.1,0.05158,0.525,3.30640695
1559866748526,0.52,122.1,0.05158,0.525,3.30640695
1559866748572,0.566,122.1,0.05158,0.525,3.30640695
1559866748634,0.628,122.1,0.05152,0.524,3.296270208
1559866748680,0.674,122.1,0.05152,0.524,3.296270208
1559866748726,0.72,122.1,0.05152,0.524,3.296270208
1559866748773,0.767,122.1,0.05152,0.524,3.296270208
1559866748835,0.829,122.1,0.05159,0.523,3.294449697
1559866748881,0.875,122.1,0.05159,0.523,3.294449697
1559866748927,0.921,122.1,0.05159,0.523,3.294449697
1559866748973,0.967,122.1,0.05159,0.523,3.294449697
1559866749034,1.028,122.1,0.05145,0.525,3.298073625
1559866749081,1.075,122.1,0.05145,0.525,3.298073625
1559866749127,1.121,122.1,0.05145,0.525,3.298073625
1559866749173,1.167,122.1,0.05145,0.525,3.298073625
1559866749235,1.229,122.1,0.05128,0.526,3.293437488
1559866749281,1.275,122.1,0.05128,0.526,3.293437488
1559866749327,1.321,122.1,0.05128,0.526,3.293437488
1559866749373,1.367,122.1,0.05128,0.526,3.293437488
1559866749434,1.428,122.1,0.05151,0.524,3.295630404
1559866749480,1.474,122.1,0.05151,0.524,3.295630404
1559866749526,1.52,122.1,0.05151,0.524,3.295630404
1559866749573,1.567,122.1,0.05151,0.524,3.295630404
1559866749635,1.629,122.2,0.05132,0.526,3.298705904
1559866749681,1.675,122.2,0.05132,0.526,3.298705904
1559866749727,1.721,122.2,0.05132,0.526,3.298705904
1559866749773,1.767,122.2,0.05132,0.526,3.298705904
1559866749834,1.828,122.2,0.05142,0.524,3.292566576
1559866749881,1.875,122.2,0.05142,0.524,3.292566576
1559866749927,1.921,122.2,0.05142,0.524,3.292566576
1559866749973,1.967,122.2,0.05142,0.524,3.292566576
1559866750034,2.028,122.1,0.0516,0.524,3.30138864
1559866750080,2.074,122.1,0.0516,0.524,3.30138864
1559866750126,2.12,122.1,0.0516,0.524,3.30138864
1559866750172,2.166,122.1,0.0516,0.524,3.30138864
1559866750234,2.228,122.1,0.05138,0.526,3.299859948
1559866750281,2.275,122.1,0.05138,0.526,3.299859948
1559866750327,2.321,122.1,0.05138,0.526,3.299859948
1559866750373,2.367,122.1,0.05138,0.526,3.299859948
1559866750434,2.428,122.1,0.0514,0.526,3.30114444
1559866750480,2.474,122.1,0.0514,0.526,3.30114444
1559866750526,2.52,122.1,0.0514,0.526,3.30114444
1559866750572,2.566,122.1,0.0514,0.526,3.30114444
1559866750634,2.628,122.1,0.0515,0.524,3.2949906
1559866750681,2.675,122.1,0.0515,0.524,3.2949906
1559866750727,2.721,122.1,0.0515,0.524,3.2949906
1559866750773,2.767,122.1,0.0515,0.524,3.2949906
1559866750834,2.828,122.1,0.05162,0.524,3.302668248
1559866750880,2.874,122.1,0.05162,0.524,3.302668248
1559866750926,2.92,122.1,0.05162,0.524,3.302668248
1559866750972,2.966,122.1,0.05162,0.524,3.302668248
1559866751035,3.029,122.1,0.0515,0.524,3.2949906
1559866751081,3.075,122.1,0.0515,0.524,3.2949906
1559866751127,3.121,122.1,0.0515,0.524,3.2949906
1559866751173,3.167,122.1,0.0515,0.524,3.2949906
1559866751234,3.228,122.0,0.0515,0.524,3.292292
1559866751280,3.274,122.0,0.0515,0.524,3.292292
1559866751327,3.321,122.0,0.0515,0.524,3.292292
1559866751373,3.367,122.0,0.0515,0.524,3.292292
1559866751434,3.428,122.0,0.05172,0.524,3.30635616
1559866751480,3.474,122.0,0.05172,0.524,3.30635616
1559866751526,3.52,122.0,0.05172,0.524,3.30635616
1559866751572,3.566,122.0,0.05172,0.524,3.30635616
1559866751634,3.628,122.1,0.05156,0.525,3.3051249
1559866751680,3.674,122.1,0.05156,0.525,3.3051249
1559866751726,3.72,122.1,0.05156,0.525,3.3051249
1559866751773,3.767,122.1,0.05156,0.525,3.3051249
1559866751834,3.828,122.1,0.05148,0.524,3.293710992
1559866751880,3.874,122.1,0.05148,0.524,3.293710992
1559866751926,3.92,122.1,0.05148,0.524,3.293710992
1559866751972,3.966,122.1,0.05148,0.524,3.293710992
1559866752034,4.028,122.0,0.05175,0.522,3.295647
1559866752088,4.082,122.0,0.05175,0.522,3.295647
1559866752135,4.129,122.0,0.05175,0.522,3.295647
1559866752181,4.175,122.0,0.05175,0.522,3.295647
1559866752234,4.229,122.0,0.05128,0.526,3.29074016
1559866752280,4.275,122.0,0.05128,0.526,3.29074016
1559866752326,4.321,122.0,0.05128,0.526,3.29074016
1559866752373,4.367,122.0,0.05128,0.526,3.29074016
1559866752435,4.429,122.0,0.05129,0.526,3.29138188
1559866752481,4.475,122.0,0.05129,0.526,3.29138188
1559866752526,4.52,122.0,0.05129,0.526,3.29138188
1559866752572,4.566,122.0,0.05129,0.526,3.29138188
1559866752634,4.628,122.1,0.05146,0.525,3.29871465
1559866752679,4.673,122.1,0.05146,0.525,3.29871465
1559866752725,4.719,122.1,0.05146,0.525,3.29871465
1559866752770,4.764,122.1,0.05146,0.525,3.29871465
1559866752834,4.828,122.1,0.0513,0.526,3.29472198
1559866752880,4.874,122.1,0.0513,0.526,3.29472198
1559866752926,4.92,122.1,0.0513,0.526,3.29472198
1559866752972,4.966,122.1,0.0513,0.526,3.29472198
1559866753035,5.029,122.1,0.05203,0.524,3.328900212
1559866753081,5.075,122.1,0.05203,0.524,3.328900212
1559866753127,5.121,122.1,0.05203,0.524,3.328900212
1559866753173,5.168,122.1,0.05203,0.524,3.328900212
1559866753235,5.229,122.0,0.05133,0.527,3.30021102
1559866753281,5.275,122.0,0.05133,0.527,3.30021102
1559866753327,5.321,122.0,0.05133,0.527,3.30021102
1559866753373,5.367,122.0,0.05133,0.527,3.30021102
1559866753434,5.428,122.0,0.05113,0.528,3.29359008
1559866753480,5.474,122.0,0.05113,0.528,3.29359008
1559866753526,5.52,122.0,0.05113,0.528,3.29359008
1559866753572,5.566,122.0,0.05113,0.528,3.29359008
1559866753634,5.628,122.1,0.05315,0.536,3.47843364
1559866753680,5.674,122.1,0.05315,0.536,3.47843364
1559866753726,5.72,122.1,0.05315,0.536,3.47843364
1559866753772,5.766,122.1,0.05315,0.536,3.47843364
1559866753834,5.828,122.1,0.05432,0.534,3.541740048
1559866753880,5.875,122.1,0.05432,0.534,3.541740048
1559866753927,5.921,122.1,0.05432,0.534,3.541740048
1559866753973,5.967,122.1,0.05432,0.534,3.541740048
1559866754034,6.028,122.1,0.05428,0.534,3.539131992
1559866754080,6.074,122.1,0.05428,0.534,3.539131992
1559866754126,6.12,122.1,0.05428,0.534,3.539131992
1559866754173,6.167,122.1,0.05428,0.534,3.539131992
1559866754234,6.228,122.1,0.05421,0.535,3.541186935
1559866754280,6.274,122.1,0.05421,0.535,3.541186935
1559866754331,6.325,122.1,0.05421,0.535,3.541186935
1559866754377,6.371,122.1,0.05421,0.535,3.541186935
1559866754434,6.428,122.1,0.05418,0.537,3.552457986
1559866754480,6.474,122.1,0.05418,0.537,3.552457986
1559866754526,6.52,122.1,0.05418,0.537,3.552457986
1559866754573,6.567,122.1,0.05418,0.537,3.552457986
1559866754634,6.628,122.1,0.05279,0.534,3.441981906
1559866754680,6.674,122.1,0.05279,0.534,3.441981906
1559866754726,6.72,122.1,0.05279,0.534,3.441981906
1559866754772,6.766,122.1,0.05279,0.534,3.441981906
1559866754834,6.828,122.1,0.05116,0.527,3.291977172
1559866754880,6.874,122.1,0.05116,0.527,3.291977172
1559866754926,6.92,122.1,0.05116,0.527,3.291977172
1559866754973,6.967,122.1,0.05116,0.527,3.291977172
1559866755034,7.028,122.1,0.05307,0.531,3.440798757
1559866755080,7.074,122.1,0.05307,0.531,3.440798757
1559866755126,7.12,122.1,0.05307,0.531,3.440798757
1559866755172,7.166,122.1,0.05307,0.531,3.440798757
1559866755234,7.228,122.1,0.05762,0.543,3.820223286
1559866755281,7.275,122.1,0.05762,0.543,3.820223286
1559866755327,7.321,122.1,0.05762,0.543,3.820223286
1559866755373,7.367,122.1,0.05762,0.543,3.820223286
1559866755434,7.428,122.1,0.05387,0.539,3.545287053
1559866755480,7.474,122.1,0.05387,0.539,3.545287053
1559866755526,7.52,122.1,0.05387,0.539,3.545287053
1559866755573,7.567,122.1,0.05387,0.539,3.545287053
1559866755633,7.627,122.1,0.05461,0.539,3.593987859
1559866755680,7.674,122.1,0.05461,0.539,3.593987859
1559866755726,7.72,122.1,0.05461,0.539,3.593987859
1559866755772,7.766,122.1,0.05461,0.539,3.593987859
1559866755834,7.828,122.1,0.05605,0.539,3.688756995
1559866755880,7.874,122.1,0.05605,0.539,3.688756995
1559866755926,7.92,122.1,0.05605,0.539,3.688756995
1559866755973,7.967,122.1,0.05605,0.539,3.688756995
1559866756034,8.028,122.1,0.05431,0.535,3.547719285
1559866756080,8.074,122.1,0.05431,0.535,3.547719285
1559866756134,8.128,122.1,0.05431,0.535,3.547719285
1559866756180,8.174,122.1,0.05431,0.535,3.547719285
1559866756233,8.227,122.1,0.05457,0.536,3.571366392
1559866756279,8.273,122.1,0.05457,0.536,3.571366392
1559866756325,8.319,122.1,0.05457,0.536,3.571366392
1559866756371,8.365,122.1,0.05457,0.536,3.571366392
1559866756434,8.428,122.0,0.05701,0.539,3.74886358
1559866756480,8.474,122.0,0.05701,0.539,3.74886358
1559866756526,8.52,122.0,0.05701,0.539,3.74886358
1559866756571,8.565,122.0,0.05701,0.539,3.74886358
1559866756634,8.628,122.1,0.05382,0.527,3.463139394
1559866756680,8.674,122.1,0.05382,0.527,3.463139394
1559866756726,8.72,122.1,0.05382,0.527,3.463139394
1559866756772,8.766,122.1,0.05382,0.527,3.463139394
1559866756834,8.828,122.1,0.05367,0.528,3.460040496
1559866756880,8.874,122.1,0.05367,0.528,3.460040496
1559866756926,8.92,122.1,0.05367,0.528,3.460040496
1559866756972,8.966,122.1,0.05367,0.528,3.460040496
1559866757033,9.028,122.1,0.05342,0.529,3.450445878
1559866757079,9.073,122.1,0.05342,0.529,3.450445878
1559866757125,9.12,122.1,0.05342,0.529,3.450445878
1559866757172,9.166,122.1,0.05342,0.529,3.450445878
1559866757234,9.228,122.1,0.0532,0.533,3.46221876
1559866757280,9.274,122.1,0.0532,0.533,3.46221876
1559866757326,9.32,122.1,0.0532,0.533,3.46221876
1559866757372,9.366,122.1,0.0532,0.533,3.46221876
1559866757433,9.428,122.1,0.05343,0.535,3.490234605
1559866757479,9.473,122.1,0.05343,0.535,3.490234605
1559866757525,9.52,122.1,0.05343,0.535,3.490234605
1559866757572,9.566,122.1,0.05343,0.535,3.490234605
1559866757634,9.628,122.1,0.05317,0.533,3.460266381
1559866757680,9.674,122.1,0.05317,0.533,3.460266381
1559866757726,9.72,122.1,0.05317,0.533,3.460266381
1559866757772,9.766,122.1,0.05317,0.533,3.460266381
1559866757833,9.827,122.1,0.05359,0.527,3.448339653
1559866757879,9.873,122.1,0.05359,0.527,3.448339653
