phase, avg pwr, total energy, total time
idle,3.274873,16.390927,5.005057
turn_on,3.470302,0.357028,0.102881
turn_on_idle,3.481773,17.426450,5.005051
connect,3.429940,0.148753,0.043369
connect_idle,3.430507,17.169835,5.005043
100000,3.438884,2.238779,0.651019
50000,3.429953,0.005351,0.001560
20000,3.428620,0.005376,0.001568
10000,3.430990,0.005366,0.001564
5000,3.431199,0.005387,0.001570
2000,3.430141,0.005553,0.001619
1000,3.429939,0.005388,0.001571
500,3.432278,0.010808,0.003149
200,3.453399,3.144285,0.910490
100,3.443031,142.979723,41.527278
50,3.440528,253.298856,73.622096
20,3.417244,651.204641,190.564272
