phase, avg pwr, total energy, total time
idle,3.110259,15.567156,5.005099
turn_on,3.192684,0.510689,0.159956
turn_on_idle,3.309630,16.552951,5.001450
connect,3.260014,0.384708,0.118008
connect_idle,3.262322,16.328191,5.005083
1000000,3.260677,1.571966,0.482098
500000,3.270607,0.008530,0.002608
200000,3.262083,0.008194,0.002512
50000,3.264043,0.008265,0.002532
20000,3.277239,0.008036,0.002452
10000,3.257958,0.007770,0.002385
5000,3.263808,0.007957,0.002438
2000,3.258891,0.007639,0.002344
1000,3.276479,0.007995,0.002440
500,3.264307,0.015486,0.004744
200,3.279340,12.546679,3.825977
100,3.270689,165.413251,50.574443
50,3.267691,176.571254,54.035484
20,3.228601,632.754700,195.984151
