phase, avg pwr, total energy, total time
idle,3.126407,15.648562,5.005286
turn_on,3.115560,0.494461,0.158707
turn_on_idle,3.311560,16.574693,5.005102
connect,3.260023,0.383770,0.117720
connect_idle,3.265231,16.342738,5.005079
set_bw,3.345638,1.060942,0.317112
200,3.259961,0.003527,0.001082
500,3.259918,0.003488,0.001070
1000,3.258435,0.003438,0.001055
2000,3.255582,0.004086,0.001255
5000,3.257714,0.004479,0.001375
10000,3.255746,0.004819,0.001480
20000,3.253121,0.005065,0.001557
50000,3.257224,0.005974,0.001834
100000,3.254920,0.551374,0.169397
200000,3.287904,5.198877,1.581213
500000,3.318828,27.643101,8.329176
1000000,3.324323,65.635818,19.744114
