# Mon Jun 03 14:25:08 2019
abstime,time_stamp,volt,curr,pf,mul
1559597108420,0.08,121.5,0.05248,0.526,3.35394432
1559597108467,0.127,121.5,0.05248,0.526,3.35394432
1559597108513,0.173,121.5,0.05248,0.526,3.35394432
1559597108577,0.237,121.5,0.054,0.533,3.497013
1559597108623,0.283,121.5,0.054,0.533,3.497013
1559597108668,0.328,121.5,0.054,0.533,3.497013
1559597108714,0.374,121.5,0.054,0.533,3.497013
1559597108776,0.436,121.5,0.05435,0.533,3.519678825
1559597108822,0.482,121.5,0.05435,0.533,3.519678825
1559597108867,0.527,121.5,0.05435,0.533,3.519678825
1559597108913,0.573,121.5,0.05435,0.533,3.519678825
1559597108977,0.637,121.5,0.05436,0.533,3.52032642
1559597109022,0.682,121.5,0.05436,0.533,3.52032642
1559597109068,0.728,121.5,0.05436,0.533,3.52032642
1559597109114,0.774,121.5,0.05436,0.533,3.52032642
1559597109176,0.836,121.5,0.05453,0.531,3.518084745
1559597109223,0.883,121.5,0.05453,0.531,3.518084745
1559597109269,0.929,121.5,0.05453,0.531,3.518084745
1559597109315,0.975,121.5,0.05453,0.531,3.518084745
1559597109377,1.037,121.5,0.05496,0.527,3.51911628
1559597109423,1.083,121.5,0.05496,0.527,3.51911628
1559597109469,1.129,121.5,0.05496,0.527,3.51911628
1559597109515,1.175,121.5,0.05496,0.527,3.51911628
1559597109576,1.236,121.6,0.05471,0.53,3.52595008
1559597109622,1.282,121.6,0.05471,0.53,3.52595008
1559597109668,1.329,121.6,0.05471,0.53,3.52595008
1559597109715,1.375,121.6,0.05471,0.53,3.52595008
1559597109777,1.437,121.6,0.05458,0.531,3.524208768
1559597109823,1.483,121.6,0.05458,0.531,3.524208768
1559597109869,1.529,121.6,0.05458,0.531,3.524208768
1559597109915,1.575,121.6,0.05458,0.531,3.524208768
1559597109976,1.636,121.6,0.05462,0.532,3.533433344
1559597110022,1.682,121.6,0.05462,0.532,3.533433344
1559597110069,1.729,121.6,0.05462,0.532,3.533433344
1559597110115,1.775,121.6,0.05462,0.532,3.533433344
1559597110177,1.837,121.6,0.05449,0.531,3.518397504
1559597110223,1.883,121.6,0.05449,0.531,3.518397504
1559597110269,1.929,121.6,0.05449,0.531,3.518397504
1559597110316,1.976,121.6,0.05449,0.531,3.518397504
1559597110377,2.037,121.6,0.05486,0.528,3.522275328
1559597110423,2.083,121.6,0.05486,0.528,3.522275328
1559597110469,2.129,121.6,0.05486,0.528,3.522275328
1559597110515,2.175,121.6,0.05486,0.528,3.522275328
1559597110577,2.237,121.6,0.05461,0.53,3.51950528
1559597110623,2.283,121.6,0.05461,0.53,3.51950528
1559597110669,2.329,121.6,0.05461,0.53,3.51950528
1559597110715,2.375,121.6,0.05461,0.53,3.51950528
1559597110776,2.436,121.6,0.05449,0.531,3.518397504
1559597110823,2.483,121.6,0.05449,0.531,3.518397504
1559597110869,2.529,121.6,0.05449,0.531,3.518397504
1559597110915,2.575,121.6,0.05449,0.531,3.518397504
1559597110976,2.636,121.6,0.05465,0.53,3.5220832
1559597111022,2.682,121.6,0.05465,0.53,3.5220832
1559597111068,2.728,121.6,0.05465,0.53,3.5220832
1559597111114,2.774,121.6,0.05465,0.53,3.5220832
1559597111177,2.837,121.6,0.05467,0.529,3.516724288
1559597111223,2.883,121.6,0.05467,0.529,3.516724288
1559597111269,2.929,121.6,0.05467,0.529,3.516724288
1559597111315,2.975,121.6,0.05467,0.529,3.516724288
1559597111376,3.036,121.6,0.05473,0.531,3.533894208
1559597111422,3.082,121.6,0.05473,0.531,3.533894208
1559597111469,3.129,121.6,0.05473,0.531,3.533894208
1559597111515,3.175,121.6,0.05473,0.531,3.533894208
1559597111577,3.237,121.5,0.05482,0.529,3.52347327
1559597111623,3.283,121.5,0.05482,0.529,3.52347327
1559597111669,3.329,121.5,0.05482,0.529,3.52347327
1559597111715,3.375,121.5,0.05482,0.529,3.52347327
