time_stamp,volt,curr,pf,mul
1559529666787,121.4,0.05088,0.531,3.279897792
1559529666833,121.3,0.05068,0.534,3.282756456
1559529666880,121.3,0.05068,0.534,3.282756456
1559529667665,121.3,0.05068,0.534,3.282756456
1559529667849,121.3,0.05031,0.537,3.277097811
1559529668051,121.3,0.05041,0.536,3.277496888
1559529668097,121.3,0.05028,0.538,3.281242632
1559529668142,121.3,0.05028,0.538,3.281242632
1559529668191,121.3,0.05028,0.538,3.281242632
1559529668268,121.3,0.05041,0.537,3.283611621
1559529668440,121.3,0.05041,0.537,3.283611621
1559529668660,121.3,0.05057,0.534,3.275631294
1559529668705,121.3,0.05057,0.534,3.275631294
1559529668752,121.3,0.05057,0.534,3.275631294
1559529668798,121.3,0.05057,0.534,3.275631294
1559529668844,121.3,0.0505,0.535,3.27722275
1559529668890,121.3,0.0505,0.535,3.27722275
1559529668936,121.3,0.0505,0.535,3.27722275
1559529668983,121.3,0.0505,0.535,3.27722275
1559529669029,121.3,0.05036,0.536,3.274246048
1559529669075,121.3,0.05036,0.536,3.274246048
1559529669121,121.3,0.05036,0.536,3.274246048
1559529669167,121.3,0.05036,0.536,3.274246048
1559529669224,121.4,0.05047,0.534,3.271848972
1559529669270,121.4,0.05047,0.534,3.271848972
1559529669316,121.4,0.05047,0.534,3.271848972
1559529669362,121.4,0.05047,0.534,3.271848972
1559529669423,121.4,0.05029,0.537,3.278495622
1559529669469,121.4,0.05029,0.537,3.278495622
1559529669514,121.4,0.05029,0.537,3.278495622
1559529669560,121.4,0.05029,0.537,3.278495622
1559529669623,121.4,0.05059,0.533,3.273486658
1559529669668,121.4,0.05059,0.533,3.273486658
1559529669715,121.4,0.05059,0.533,3.273486658
1559529669761,121.4,0.05059,0.533,3.273486658
1559529669823,121.4,0.05046,0.536,3.283452384
1559529669870,121.4,0.05046,0.536,3.283452384
1559529669917,121.4,0.05046,0.536,3.283452384
1559529669963,121.4,0.05046,0.536,3.283452384
1559529670023,121.4,0.05027,0.537,3.277191786
1559529670069,121.4,0.05027,0.537,3.277191786
1559529670116,121.4,0.05027,0.537,3.277191786
1559529670162,121.4,0.05027,0.537,3.277191786
1559529670223,121.4,0.05071,0.532,3.275095208
1559529670269,121.4,0.05071,0.532,3.275095208
1559529670316,121.4,0.05071,0.532,3.275095208
1559529670362,121.4,0.05071,0.532,3.275095208
1559529670423,121.4,0.05087,0.53,3.27307754
1559529670469,121.4,0.05087,0.53,3.27307754
1559529670516,121.4,0.05087,0.53,3.27307754
1559529670561,121.4,0.05087,0.53,3.27307754
1559529670864,121.4,0.05088,0.53,3.27372096
1559529670913,121.4,0.05053,0.534,3.275738628
1559529671149,121.4,0.05053,0.534,3.275738628
1559529671197,121.4,0.05021,0.537,3.273280278
1559529671243,121.4,0.05084,0.532,3.283491232
1559529671289,121.4,0.05084,0.532,3.283491232
1559529671335,121.4,0.05084,0.532,3.283491232
1559529671381,121.4,0.05084,0.532,3.283491232
1559529671428,121.4,0.05077,0.532,3.278970296
1559529671476,121.4,0.05077,0.532,3.278970296
1559529671522,121.4,0.05077,0.532,3.278970296
1559529671568,121.4,0.05077,0.532,3.278970296
1559529671623,121.3,0.05056,0.533,3.268850624
1559529671669,121.3,0.05056,0.533,3.268850624
1559529671715,121.3,0.05056,0.533,3.268850624
1559529671760,121.3,0.05056,0.533,3.268850624
1559529671823,121.3,0.05121,0.527,3.273604371
1559529671869,121.3,0.05121,0.527,3.273604371
1559529671915,121.3,0.05121,0.527,3.273604371
1559529671961,121.3,0.05121,0.527,3.273604371
1559529672023,121.3,0.05052,0.535,3.27852066
1559529672068,121.3,0.05052,0.535,3.27852066
1559529672115,121.3,0.05052,0.535,3.27852066
1559529672161,121.3,0.05052,0.535,3.27852066
1559529672222,121.3,0.05065,0.533,3.274669385
1559529672268,121.3,0.05065,0.533,3.274669385
1559529672316,121.3,0.05065,0.533,3.274669385
1559529672362,121.3,0.05065,0.533,3.274669385
1559529672423,121.3,0.05091,0.53,3.27295299
1559529672469,121.3,0.05091,0.53,3.27295299
