time,freq,util
.153609791,600000,38.9831
.324289947,1200000,32.3077
.424878854,1200000,32.5
.526035937,1200000,30.7692
.626908072,1200000,30.7692
.728491145,1200000,26.3158
.829486926,1200000,32.5
.930342031,1200000,32.5
1.045329791,600000,31.9149
1.228977187,600000,33.3333
1.411478280,600000,31.9444
1.594303176,600000,31.4286
1.776983489,600000,30
1.959452551,600000,36
2.142741613,600000,30.9859
2.325913853,1200000,30.4348
2.427093176,1200000,30.7692
2.527920467,1200000,27.027
2.629121092,1200000,32.5
2.730127186,1200000,32.5
2.831304686,1200000,32.5
2.932234634,1200000,28.9474
3.033319426,1200000,33.3333
3.181154842,1200000,33.9286
3.282313071,1200000,28.9474
3.383196821,1200000,32.5
3.484550884,1200000,30.7692
3.585242082,1200000,32.5
3.687931405,1200000,28.9474
3.789120050,600000,32.5
3.931186717,600000,30.3571
4.115980675,600000,30
4.301666248,600000,33.7838
4.487110675,600000,30.5556
4.673212498,600000,31.9444
4.858953175,600000,32.4324
5.042192862,600000,33.3333
5.233941404,600000,34.6667
5.421923175,600000,36
5.614793956,600000,33.7838
5.803037654,600000,30.5556
5.974765310,1200000,31.25
6.077255674,1200000,30
6.178922549,1200000,32.5
6.280201508,1200000,30.7692
6.381096664,1200000,30.7692
6.482802028,1200000,30.7692
6.584531560,1200000,30.7692
6.702151299,600000,28.2609
6.877787185,1200000,30.7692
6.978610101,1200000,30.7692
7.080253955,1200000,34.1463
7.181293695,1200000,32.5
7.282537809,1200000,28.2051
7.383465674,1200000,32.5
7.484465934,1200000,30.7692
7.599963851,600000,32.6087
7.782508851,600000,31.9444
7.967437080,1200000,30.9859
8.118714684,1200000,32.7586
8.219459372,1200000,32.5
8.321090622,1200000,30
8.422214892,1200000,28.9474
8.523501819,1200000,30.7692
8.624382132,1200000,30.7692
8.724994319,600000,34.1463
8.859493382,600000,29.4118
9.045747861,600000,31.5068
9.235664423,600000,30.5556
9.421496194,600000,32.4324
9.606111090,1200000,31.9444
9.746479788,1200000,31.4815
9.848565829,1200000,27.027
9.951088017,1200000,30
10.053406454,1200000,32.5
10.155359996,1200000,34.1463
10.257529840,1200000,31.7073
10.358285881,600000,28.9474
10.509574214,600000,35.3846
10.693552496,600000,32.3944
10.875872860,1200000,30
11.032364370,1200000,34.4262
11.133346089,1200000,32.5
11.234066766,1200000,30.7692
11.334953120,1200000,34.1463
11.435890152,1200000,28.9474
11.536600204,1200000,30.7692
11.637600672,600000,28.9474
11.766622287,1200000,30.7692
11.929886089,1200000,35.3846
12.030964735,1200000,30.7692
12.133355360,1200000,32.5
12.234169422,1200000,28.9474
12.335206141,1200000,32.5
12.436370516,1200000,32.5
12.537753537,600000,28.9474
12.662328432,600000,29.1667
12.847007964,600000,30
13.032539578,600000,30.5556
13.219260880,600000,31.5068
13.404525515,600000,30.9859
13.590148067,600000,33.3333
13.778333432,600000,32.4324
13.963170255,600000,31.9444
14.148824838,600000,32.4324
14.334140515,600000,32.8767
14.520344838,600000,31.5068
14.705154682,1200000,30.9859
14.862820723,1200000,33.871
14.964437754,1200000,32.5
15.066865879,1200000,30.7692
15.171895671,1200000,27.5
15.274039942,1200000,34.1463
15.381301400,1200000,30.9524
15.482469160,600000,28.9474
15.624665150,1200000,30.3571
15.730624004,1200000,30
15.832535827,1200000,30.7692
15.934264317,1200000,30
16.034866191,1200000,35
16.136245619,1200000,28.2051
16.237959681,1200000,30.7692
16.339061348,600000,31.7073
16.521577545,600000,31.4286
16.708897754,600000,34.2105
16.891876816,600000,30.9859
17.076594108,600000,30.9859
17.261235462,600000,32.8767
17.446490514,1200000,28.5714
17.552406920,1200000,30
17.653887233,1200000,32.5
17.754965045,1200000,34.1463
17.856245514,1200000,30.7692
17.957545305,1200000,32.5
18.059235618,1200000,32.5
18.165641191,600000,32.5581
18.351690722,600000,32.4324
18.536665045,1200000,29.5775
18.696183586,1200000,32.7869
18.798591034,1200000,28.9474
18.900916711,1200000,30
19.002319003,1200000,30.7692
19.103101919,1200000,32.5
19.204483794,1200000,30.7692
19.305505201,600000,34.1463
19.438664055,600000,31.4815
19.621840930,600000,32.3944
19.804974784,600000,30
19.988934627,600000,31.9444
20.172021554,600000,32.3944
20.356211867,600000,30
20.541025721,600000,31.5068
20.724188377,600000,30.9859
20.906539158,600000,31.4286
