# Mon May 06 20:25:45 2019
abstime,time_stamp,volt,curr,pf,mul
1557199545162,0.08,122.2,0.00403,0.398,0.196001468
1557199545211,0.129,122.3,0.00405,0.395,0.195649425
1557199545257,0.175,122.3,0.00405,0.395,0.195649425
1557199545303,0.221,122.3,0.00405,0.395,0.195649425
1557199545349,0.267,122.3,0.00405,0.395,0.195649425
1557199545402,0.32,122.3,0.00411,0.395,0.198547935
1557199545447,0.365,122.3,0.00411,0.395,0.198547935
1557199545493,0.411,122.3,0.00411,0.395,0.198547935
1557199545538,0.456,122.3,0.00411,0.395,0.198547935
1557199545602,0.52,122.2,0.00408,0.393,0.195940368
1557199545647,0.565,122.2,0.00408,0.393,0.195940368
1557199545692,0.611,122.2,0.00408,0.393,0.195940368
1557199545737,0.656,122.2,0.00408,0.393,0.195940368
1557199545802,0.72,122.2,0.00405,0.399,0.19746909
1557199545848,0.766,122.2,0.00405,0.399,0.19746909
1557199545895,0.813,122.2,0.00405,0.399,0.19746909
1557199545941,0.859,122.2,0.00405,0.399,0.19746909
1557199546002,0.92,122.2,0.00404,0.4,0.1974752
1557199546048,0.966,122.2,0.00404,0.4,0.1974752
1557199546094,1.012,122.2,0.00404,0.4,0.1974752
1557199546140,1.058,122.2,0.00404,0.4,0.1974752
1557199546202,1.12,122.2,0.00404,0.399,0.196981512
1557199546248,1.166,122.2,0.00404,0.399,0.196981512
1557199546295,1.213,122.2,0.00404,0.399,0.196981512
1557199546341,1.259,122.2,0.00404,0.399,0.196981512
1557199546402,1.32,122.3,0.00406,0.402,0.199608276
1557199546448,1.366,122.3,0.00406,0.402,0.199608276
1557199546494,1.412,122.3,0.00406,0.402,0.199608276
1557199546540,1.458,122.3,0.00406,0.402,0.199608276
1557199546601,1.519,122.2,0.00403,0.396,0.195016536
1557199546647,1.565,122.2,0.00403,0.396,0.195016536
1557199546693,1.611,122.2,0.00403,0.396,0.195016536
1557199546739,1.657,122.2,0.00403,0.396,0.195016536
1557199546802,1.72,122.2,0.00405,0.395,0.19548945
1557199546848,1.766,122.2,0.00405,0.395,0.19548945
1557199546894,1.812,122.2,0.00405,0.395,0.19548945
1557199546940,1.858,122.2,0.00405,0.395,0.19548945
1557199547002,1.92,122.2,0.00408,0.399,0.198931824
1557199547048,1.966,122.2,0.00408,0.399,0.198931824
1557199547094,2.012,122.2,0.00408,0.399,0.198931824
1557199547140,2.058,122.2,0.00408,0.399,0.198931824
1557199547201,2.119,122.3,0.00406,0.398,0.197622124
1557199547247,2.165,122.3,0.00406,0.398,0.197622124
1557199547293,2.211,122.3,0.00406,0.398,0.197622124
1557199547339,2.257,122.3,0.00406,0.398,0.197622124
1557199547401,2.319,122.3,0.00411,0.393,0.197542629
1557199547447,2.365,122.3,0.00411,0.393,0.197542629
1557199547494,2.412,122.3,0.00411,0.393,0.197542629
1557199547540,2.458,122.3,0.00411,0.393,0.197542629
1557199547602,2.52,122.3,0.00404,0.394,0.194672248
1557199547648,2.566,122.3,0.00404,0.394,0.194672248
